"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",17734.98,331.00,328.04,0.30%,14.53%,84.70%,-0.75%,0.92%,1.13,2673.81,53.50,-0.15%,1809852
2,"AA",10015.20,1070.00,1068.50,0.07%,10.31%,61.00%,4.51%,11.39%,4.44,27376.13,9.35,-0.11%,21352384
3,"AADR",,,,,,,,,,9.14,37.45,3.03%,1648
4,"AAIT",,,,,,,,,0.04,1.60,31.52,-0.68%,1290
5,"AAMC",2079.75,2.35,,46.34%,0.02%,15.30%,11.76%,,6.20,4.97,875.00,-1.13%,1410
6,"AAME",86.05,21.30,5.14,75.13%,,4.80%,-4.93%,0.23%,1.47,8.16,4.00,-0.99%,4739
7,"AAN",2185.62,76.10,67.11,0.50%,-5.47%,99.70%,3.50%,7.59%,6.42,793.74,28.92,0.70%,579170
8,"AAOI",162.47,12.60,11.46,1.40%,,17.70%,,0.22%,0.28,90.56,13.12,1.78%,125953
9,"AAON",1627.70,55.14,28.06,0.80%,-2.65%,58.40%,1.39%,3.56%,11.14,89.72,29.82,1.02%,66148
10,"AAP",7690.09,72.75,72.25,0.70%,-2.86%,96.30%,0.06%,3.63%,3.26,802.26,104.95,-0.72%,853290
11,"AAPL",510850.40,904.16,899.28,0.04%,33.13%,61.10%,-1.71%,2.16%,1.56,12454.11,567.90,0.51%,15886561
12,"AAT",1254.63,39.82,34.34,0.70%,4.89%,86.10%,19.89%,2.38%,3.19,256.06,31.68,0.54%,108508
13,"AAU",62.45,60.05,52.97,5.36%,,5.90%,174.02%,0.95%,3.79,133.28,1.10,5.77%,114979
14,"AAV",683.63,168.38,167.07,0.25%,,58.00%,4.02%,0.14%,1.63,147.92,4.27,5.17%,375698
15,"AAWW",933.86,25.12,24.52,1.60%,-2.90%,99.80%,-2.69%,4.65%,3.74,304.67,37.54,1.00%,247490
