"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18284.44,331.00,328.05,0.30%,7.12%,84.90%,-0.62%,0.90%,1.07,2743.91,56.37,2.05%,3206936
2,"AA",10239.90,1070.00,1068.36,0.07%,10.31%,61.00%,4.53%,10.80%,4.31,26784.11,9.70,1.36%,22041816
3,"AADR",,,,,,,,,,6.22,36.29,-0.15%,51898
4,"AAIT",,,,,,,,,0.86,2.04,31.88,1.11%,707
5,"AAMC",2432.25,2.35,,46.34%,0.02%,15.30%,11.76%,,3.55,7.78,1009.00,-2.51%,19419
6,"AAME",86.05,21.30,5.14,75.13%,,4.80%,-4.93%,0.15%,1.00,7.81,3.98,-1.49%,6560
7,"AAN",2187.14,76.10,67.11,0.50%,-6.63%,99.70%,3.40%,7.93%,6.53,814.92,28.95,0.73%,794098
8,"AAOI",195.11,12.60,11.46,1.40%,,17.70%,,0.40%,0.48,95.39,15.14,-2.20%,77538
9,"AAON",1124.31,36.74,28.06,0.30%,-9.82%,58.50%,2.13%,3.63%,10.82,94.18,29.71,-2.91%,104784
10,"AAP",7949.06,72.75,72.26,0.80%,-0.85%,96.30%,0.09%,3.49%,2.86,881.34,108.46,-0.74%,846409
11,"AAPL",504069.20,904.16,899.13,0.04%,33.13%,61.20%,-1.63%,1.89%,1.45,11781.77,554.99,-0.45%,8116623
12,"AAT",1240.70,39.82,34.34,0.60%,0.28%,86.10%,19.90%,2.19%,2.89,261.01,31.37,0.67%,88148
13,"AAU",64.25,60.05,52.94,5.36%,,5.90%,174.02%,0.94%,3.98,125.05,1.06,-0.93%,46443
14,"AAV",715.63,168.38,167.03,0.25%,,58.00%,4.02%,0.18%,1.96,153.50,4.24,-0.24%,61929
15,"AAWW",948.18,25.12,24.51,0.80%,2.55%,99.80%,-2.67%,3.93%,3.04,317.20,37.73,-0.03%,303200
16,"AAXJ",2021.58,33.80,33.80,,,,,0.75%,0.38,656.47,59.35,-0.77%,702057
17,"AB",1973.40,92.26,86.69,0.40%,-16.51%,32.00%,-7.22%,2.55%,5.53,399.97,21.21,-0.84%,253453
18,"ABAX",813.50,22.31,21.08,1.80%,-5.19%,97.40%,-2.90%,9.10%,11.11,172.66,37.00,1.45%,129502
19,"ABB",57195.30,2297.00,2295.97,,,3.60%,0.32%,0.19%,3.46,1278.40,24.83,-0.28%,859504
20,"ABBV",84858.30,1590.00,1589.52,0.06%,1.38%,68.20%,1.33%,0.75%,2.14,5558.54,53.63,0.49%,7987587
21,"ABC",15774.23,230.45,229.55,0.20%,29.14%,89.30%,-0.46%,2.79%,4.47,1432.24,68.35,-0.15%,1700525
22,"ABCB",486.15,23.90,22.99,1.30%,3.67%,69.20%,-0.54%,2.27%,5.26,99.05,20.02,-1.57%,43322
23,"ABCD",81.93,47.36,15.11,71.14%,-2.66%,18.00%,-3.38%,0.14%,0.84,25.20,1.76,1.50%,34028
24,"ABCO",2242.69,35.88,35.85,0.40%,-5.90%,96.80%,1.04%,6.56%,12.88,182.43,63.25,1.20%,176753
25,"ABFS",854.21,25.74,24.30,3.30%,12.00%,96.60%,8.29%,12.51%,6.10,498.47,33.25,0.18%,263253
26,"ABG",1640.30,30.70,30.28,1.20%,-34.84%,98.60%,-3.65%,4.27%,3.91,330.94,53.54,0.21%,167981
27,"ABIO",16.47,10.83,12.88,15.40%,19.74%,5.20%,-52.35%,9.80%,0.95,1322.84,1.58,3.95%,1061849
28,"ABM",1529.26,54.95,49.82,1.70%,5.66%,82.60%,-1.02%,1.40%,3.14,221.79,27.40,-1.55%,119714
29,"ABMC",2.83,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.36,16.38,0.11,-15.38%,15600
30,"ABMD",1045.89,39.26,39.02,2.90%,2.40%,98.60%,0.68%,11.37%,10.04,441.76,26.42,-0.83%,159779
31,"ABR",279.38,43.11,38.30,0.20%,-8.49%,59.10%,24.95%,0.44%,0.68,249.09,6.58,1.54%,67773
32,"ABT",56687.36,1551.80,1543.06,0.10%,0.91%,68.30%,0.31%,1.00%,2.09,7383.28,36.61,0.22%,6911240
33,"ABTL",101.65,8.90,8.78,8.62%,-44.21%,49.90%,5.96%,0.43%,0.23,162.97,12.36,8.23%,250525
34,"ABX",17067.05,1001.00,1160.51,,,73.90%,3.15%,1.41%,0.92,17713.14,17.20,0.88%,15576740
35,"ACAD",2088.13,89.50,90.64,0.10%,-20.44%,88.20%,-3.76%,11.17%,4.08,2482.49,23.00,-1.41%,597759
36,"ACAS",4194.36,286.50,266.99,0.60%,-8.47%,61.20%,-3.89%,1.02%,1.34,2031.67,14.60,-0.27%,2368787
37,"ACAT",723.13,13.38,13.27,1.60%,-14.74%,88.00%,-3.23%,5.03%,5.64,118.38,53.26,-1.46%,95541
38,"ACC",3365.57,104.78,104.27,0.30%,5.36%,99.00%,-0.56%,2.63%,3.07,894.71,32.47,1.09%,896383
39,"ACCL",514.86,55.66,55.13,0.92%,-17.68%,89.90%,-0.01%,1.51%,6.80,122.41,9.33,0.86%,65364
40,"ACCO",729.31,113.60,112.49,0.30%,-22.16%,,0.02%,14.06%,19.88,795.80,6.42,0.00%,583673
41,"ACCU",,,,,,,,,,18.01,27.72,-0.43%,29540
42,"ACE",33816.19,340.89,338.36,0.10%,-0.87%,93.80%,0.82%,1.18%,3.36,1187.18,98.80,-0.40%,1233563
43,"ACET",608.16,27.76,26.64,2.60%,36.25%,66.30%,-1.02%,1.24%,1.23,269.08,22.53,2.83%,222404
44,"ACFC",9.84,2.50,24.12,34.25%,,1.50%,2.74%,0.20%,0.98,49.44,4.00,1.78%,18218
45,"ACFN",64.04,18.09,20.46,6.90%,16.09%,42.00%,-6.62%,13.42%,8.37,328.23,3.54,0.00%,128846
46,"ACG",1705.24,242.91,242.83,,,25.10%,18.20%,0.13%,0.35,895.53,7.04,0.28%,1034197
47,"ACGL",7504.42,131.50,127.98,0.90%,-4.29%,92.50%,-2.77%,2.14%,8.02,340.57,56.87,-0.35%,343802
48,"ACH",4652.43,540.98,156.18,,,2.10%,0.19%,1.98%,30.36,101.99,8.43,-1.98%,103316
49,"ACHC",2308.35,50.04,46.86,0.50%,-44.42%,72.50%,0.43%,11.89%,21.30,261.55,46.48,0.76%,332097
50,"ACHN",303.47,96.65,96.43,0.20%,-0.71%,94.70%,-5.88%,18.03%,5.44,3197.59,3.02,-3.82%,1269543
51,"ACI",867.53,212.11,210.89,0.54%,1.78%,62.20%,-5.89%,22.36%,5.11,9228.65,4.08,-0.24%,7681123
52,"ACIM",,,,,,,,,,2.14,64.80,-0.02%,6188
53,"ACIW",2459.01,39.13,38.05,0.80%,-3.69%,98.90%,2.73%,6.87%,9.24,282.98,62.87,0.03%,272666
54,"ACLS",239.96,109.07,107.94,1.40%,2.07%,50.10%,-3.73%,1.27%,2.11,646.75,2.25,2.27%,428903
55,"ACM",2772.18,98.03,85.15,0.90%,-39.08%,72.80%,1.78%,0.95%,1.29,626.37,27.84,-1.56%,787272
56,"ACMP",9070.88,178.04,188.90,31.43%,50.02%,74.10%,38.91%,0.54%,2.47,416.98,51.02,0.14%,232270
57,"ACN",47928.13,642.30,635.89,0.30%,9.43%,81.50%,-2.46%,2.64%,5.24,3205.41,74.00,-0.83%,4083175
58,"ACNB",107.56,5.98,5.84,1.70%,0.99%,6.90%,5.90%,0.05%,0.88,3.43,18.15,0.95%,11469
