"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"TCX",0.42,0.97,351.69%,383.39%,528.58%,319.16%,892.91%,96.04,14.00,350.16%,-3.11%,364.63%,41191
2,"ELMD",0.36,0.27,205.21%,210.56%,187.65%,27.82%,277.78%,92.04,3.40,62.68%,55.25%,4.78%,4630462
3,"AXGN",-0.31,0.30,21.33%,12.48%,9.61%,-28.16%,79.60%,69.83,4.49,25.07%,-3.44%,29.53%,1584356
4,"HGSH",1.39,0.56,17.35%,6.58%,-26.39%,-54.02%,114.03%,56.60,5.95,24.48%,26.33%,-1.46%,214176
5,"ERB",0.72,0.23,26.56%,37.53%,131.50%,-11.94%,340.32%,68.90,2.73,24.09%,19.74%,3.64%,589712
6,"FONR",1.49,1.58,23.67%,41.46%,146.53%,-5.07%,389.79%,69.97,21.21,19.89%,19.48%,0.34%,773789
7,"ZOOM",0.71,0.70,9.71%,29.40%,22.49%,-49.04%,117.73%,58.22,4.79,19.45%,-22.74%,54.61%,745029
8,"CSFS",,0.19,8.47%,5.96%,-26.54%,-63.39%,56.86%,56.61,1.60,17.65%,20.30%,-2.21%,185779
9,"WPCS",0.53,0.54,-8.38%,-1.73%,-24.36%,-56.74%,72.73%,50.11,2.28,15.74%,11.76%,3.55%,5448351
10,"BOSC",-0.20,0.78,4.86%,41.26%,99.69%,-28.57%,203.92%,63.77,7.75,15.50%,15.50%,0.00%,215657
11,"VHI",0.82,0.80,17.64%,7.87%,5.62%,-16.32%,44.63%,69.02,17.58,15.43%,11.76%,3.28%,135810
12,"JRJC",1.27,0.44,42.78%,79.32%,207.32%,12.52%,482.41%,82.40,6.29,14.16%,14.16%,0.00%,2084191
13,"ONVO",,0.76,20.60%,26.48%,90.02%,-18.90%,371.06%,66.67,11.07,12.84%,5.93%,6.52%,11671624
14,"XLRN",,2.55,37.30%,63.98%,67.60%,5.15%,136.00%,83.26,39.60,12.31%,12.66%,-0.31%,254162
15,"USU",2.04,1.02,-2.10%,-13.33%,-32.16%,-77.27%,154.62%,49.75,6.62,12.01%,4.58%,7.11%,943776
16,"NETE",,0.34,71.78%,32.46%,0.78%,-33.38%,130.00%,78.51,4.37,11.76%,9.80%,1.79%,23321
17,"ADEP",2.21,0.90,37.84%,60.47%,191.79%,9.32%,609.66%,83.68,16.89,11.49%,10.46%,0.92%,464786
18,"MEA",1.56,0.10,20.66%,19.93%,34.93%,-8.00%,80.00%,75.82,2.07,11.29%,11.89%,-0.54%,1296298
19,"TRMR",,0.32,26.78%,-5.13%,-23.61%,-47.70%,61.56%,56.78,5.80,10.90%,11.54%,-0.57%,340377
20,"REED",1.29,0.34,17.38%,22.75%,46.90%,8.57%,110.00%,73.75,7.98,10.83%,10.22%,0.56%,366398
21,"RLJE",,0.17,11.06%,1.97%,0.12%,-21.09%,47.38%,62.01,4.79,10.62%,10.62%,0.00%,26711
22,"HTZ",2.75,0.66,13.66%,19.29%,17.22%,3.14%,82.06%,80.57,28.62,10.46%,4.84%,5.36%,32684566
23,"EGLE",2.94,0.37,28.41%,7.75%,7.46%,-47.54%,220.98%,60.61,4.59,10.34%,10.34%,0.00%,1463776
24,"CUDA",,2.33,52.84%,68.49%,68.49%,0.71%,112.99%,,39.68,10.31%,8.42%,1.75%,476635
25,"IMMU",1.90,0.26,8.94%,13.44%,4.47%,-37.41%,118.01%,62.42,4.60,10.31%,-1.50%,11.99%,2496161
26,"IDRA",1.92,0.37,53.13%,90.71%,214.92%,6.93%,2336.84%,79.89,4.63,10.24%,9.72%,0.48%,4117114
27,"CMGE",,1.31,33.87%,38.26%,79.50%,5.12%,741.00%,80.49,25.23,10.22%,10.17%,0.04%,203924
28,"CIX",0.78,0.60,8.55%,6.10%,6.57%,-26.11%,29.53%,62.59,14.08,9.57%,2.70%,6.69%,42187
29,"CDXS",2.03,0.08,1.60%,-7.96%,-29.66%,-51.56%,12.90%,48.86,1.40,9.38%,9.38%,0.00%,445707
30,"FREE",3.47,0.28,67.72%,203.65%,262.83%,-58.97%,1300.00%,73.66,2.38,9.17%,3.93%,5.05%,6691496
31,"RVLT",2.16,0.19,14.88%,9.89%,3.55%,-37.73%,470.83%,63.74,3.42,9.08%,9.08%,0.00%,1625831
32,"ROIAK",1.80,0.16,10.64%,14.70%,52.82%,1.61%,426.39%,72.90,3.79,8.91%,7.67%,1.15%,413590
33,"ROIA",,0.09,11.32%,15.56%,53.10%,7.04%,435.21%,74.27,3.80,8.88%,9.83%,-0.86%,80191
34,"VTUS",,0.17,20.83%,27.12%,39.26%,-2.55%,100.00%,84.49,3.82,8.83%,9.14%,-0.28%,305089
35,"TGD",,0.07,5.41%,-9.65%,-43.07%,-65.00%,15.46%,48.97,1.12,8.74%,6.67%,1.94%,686602
36,"PSTI",-1.31,0.10,7.74%,5.43%,11.51%,-6.13%,42.51%,64.74,3.52,8.64%,7.32%,1.23%,462680
37,"CANF",,0.69,-11.73%,-7.71%,21.09%,-36.47%,82.12%,44.05,6.01,8.48%,1.86%,6.50%,182836
38,"IOT",0.31,0.15,4.00%,3.05%,16.37%,-10.89%,58.92%,57.46,4.99,8.48%,5.94%,2.39%,27004
39,"GST",1.23,0.38,20.10%,35.39%,93.31%,1.76%,585.15%,75.38,6.92,8.46%,6.13%,2.19%,3127173
40,"ARTX",0.93,0.26,20.76%,51.24%,104.88%,-10.74%,283.52%,69.58,3.49,8.39%,9.40%,-0.93%,628324
41,"CYTR",1.14,0.62,50.79%,105.01%,137.93%,-7.66%,248.33%,71.64,6.27,8.29%,2.79%,5.35%,7293913
42,"NOAH",,0.95,-8.43%,-10.18%,27.77%,-29.44%,233.57%,41.04,18.00,8.24%,6.19%,1.92%,1243995
43,"NES",0.92,1.07,7.03%,-8.25%,-41.52%,-62.01%,28.17%,48.55,16.79,8.18%,7.97%,0.19%,709021
44,"QDEL",0.56,0.98,19.81%,21.56%,21.92%,3.83%,68.89%,82.75,30.89,7.93%,0.26%,7.65%,580280
45,"DXYN",1.90,0.61,9.15%,9.59%,39.79%,-4.69%,307.41%,68.40,13.20,7.93%,8.11%,-0.16%,75329
46,"AMSC",1.64,0.08,10.51%,-7.42%,-29.51%,-50.90%,19.71%,54.95,1.64,7.89%,8.61%,-0.66%,2251448
47,"TWGP",0.76,0.29,-2.80%,-9.67%,-74.85%,-84.66%,40.25%,49.36,3.38,7.64%,3.68%,3.82%,2943042
48,"EQS",0.20,0.12,4.93%,4.68%,0.97%,-17.08%,26.75%,58.58,1.99,7.57%,10.56%,-2.70%,20038
49,"ACRX",,0.61,19.38%,34.16%,29.65%,-16.22%,200.00%,73.22,11.31,7.51%,6.50%,0.95%,1152949
50,"PCO",2.57,0.15,6.04%,-2.38%,-5.00%,-25.83%,67.50%,53.33,2.01,7.49%,6.35%,1.07%,223558
51,"ALG",1.18,1.90,7.60%,14.61%,33.45%,1.81%,90.17%,65.65,60.69,7.47%,5.53%,1.84%,121255
52,"ESPR",,0.95,5.18%,-0.31%,-12.24%,-31.64%,26.06%,52.97,13.74,7.43%,6.84%,0.55%,45217
53,"PLG",2.08,0.06,2.14%,-0.78%,4.30%,-23.03%,46.25%,54.36,1.17,7.34%,6.36%,0.92%,402329
