"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",17708.50,331.00,328.04,0.30%,14.53%,84.70%,-0.75%,0.92%,1.13,2681.58,54.83,2.49%,2853161
2,"AA",10004.50,1070.00,1068.50,0.07%,10.31%,61.00%,4.51%,11.39%,4.45,27359.84,9.36,0.11%,16791342
3,"AADR",,,,,,,,,,7.68,36.51,-2.52%,7050
4,"AAIT",,,,,,,,,0.04,1.62,32.16,1.99%,512
5,"AAMC",2056.25,2.35,,46.34%,0.02%,15.30%,11.76%,,6.17,4.98,890.00,1.71%,2501
6,"AAME",85.20,21.30,5.14,75.13%,,4.80%,-4.93%,0.23%,1.47,8.15,4.02,0.50%,9600
7,"AAN",2200.84,76.10,67.11,0.50%,-5.47%,99.70%,3.50%,7.59%,6.41,794.99,28.92,0.00%,828874
8,"AAOI",165.36,12.60,11.46,1.40%,,17.70%,,0.22%,0.28,91.26,14.37,9.53%,192131
9,"AAON",1644.24,55.14,28.06,0.80%,-2.65%,58.40%,1.39%,3.56%,11.11,89.96,30.76,3.15%,84109
10,"AAP",7634.80,72.75,72.25,0.70%,-2.86%,96.30%,0.06%,3.63%,3.23,810.95,104.55,-0.38%,1178346
11,"AAPL",513472.49,904.16,899.28,0.04%,33.13%,61.10%,-1.71%,2.16%,1.54,12571.46,560.02,-1.39%,12180990
12,"AAT",1261.40,39.82,34.34,0.70%,4.89%,86.10%,19.89%,2.38%,3.20,255.33,31.69,0.03%,113238
13,"AAU",66.06,60.05,52.97,5.36%,,5.90%,174.02%,0.95%,3.76,134.18,1.06,-3.64%,131042
14,"AAV",719.00,168.38,167.07,0.25%,,58.00%,4.02%,0.14%,1.58,152.97,4.21,-1.41%,177064
15,"AAWW",943.15,25.12,24.52,1.60%,-2.90%,99.80%,-2.69%,4.65%,3.73,305.34,37.46,-0.21%,235299
16,"AAXJ",2025.30,33.80,33.80,,,,,0.75%,0.35,719.92,60.84,1.54%,527867
17,"AB",2068.42,92.26,86.69,0.10%,91.18%,32.20%,-6.77%,2.23%,5.18,373.52,22.15,-1.20%,1377150
18,"ABAX",805.02,22.31,21.06,2.60%,-5.23%,97.40%,-2.89%,9.31%,11.47,170.91,36.47,1.05%,99639
19,"ABB",57287.18,2297.00,2295.97,,,3.60%,0.44%,0.20%,3.56,1311.92,25.36,1.68%,510526
20,"ABBV",79118.40,1590.00,1589.52,0.06%,1.38%,68.10%,1.30%,0.80%,2.56,4947.82,51.35,3.20%,7285629
21,"ABC",15933.24,230.45,229.57,0.20%,28.78%,88.90%,-0.41%,2.64%,4.47,1353.55,70.29,1.66%,1297696
22,"ABCB",473.48,23.90,22.99,1.80%,2.62%,69.20%,-0.54%,2.34%,5.58,96.20,20.13,1.62%,59935
23,"ABCD",71.04,47.36,15.11,0.10%,26.77%,18.00%,-3.21%,0.12%,0.80,23.71,1.50,0.00%,5227
24,"ABCO",2229.05,35.88,35.85,0.40%,-5.90%,96.80%,1.05%,6.69%,13.77,174.10,63.74,2.61%,134647
25,"ABFS",869.65,25.74,24.30,3.40%,12.18%,96.60%,8.26%,13.12%,6.11,522.05,33.63,-0.47%,296201
26,"ABG",1583.81,30.70,30.28,1.20%,-34.84%,98.50%,-3.66%,4.27%,3.98,324.76,52.28,1.34%,204504
27,"ABIO",17.87,10.83,12.88,15.40%,19.74%,6.00%,-48.78%,11.07%,1.15,1236.03,1.55,-6.06%,2098428
28,"ABM",1516.62,54.95,49.82,1.70%,4.83%,82.60%,-1.04%,1.49%,3.69,201.48,27.81,0.76%,395956
29,"ABMC",2.17,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.36,16.25,0.12,20.00%,550
30,"ABMD",1087.89,39.26,39.02,2.90%,-3.96%,98.70%,0.77%,12.41%,11.00,440.34,27.68,-0.11%,223313
31,"ABR",280.24,43.11,38.30,0.20%,-8.49%,59.10%,24.95%,0.51%,0.80,243.28,6.59,1.38%,98252
32,"ABT",57292.56,1551.80,1543.14,0.10%,0.84%,68.20%,0.19%,1.01%,2.07,7516.33,37.53,1.65%,4060390
33,"ABTL",109.57,8.87,8.78,8.62%,-44.31%,49.90%,5.99%,0.57%,0.32,159.83,12.27,-0.73%,104924
34,"ABX",15445.43,1001.00,1161.43,,,73.90%,3.15%,1.72%,1.13,17679.82,15.40,-0.19%,13446259
35,"ACAD",2191.06,89.50,90.65,0.10%,-20.44%,88.10%,-3.85%,10.91%,3.82,2590.48,24.39,-0.37%,639589
36,"ACAS",4280.31,286.50,267.04,0.70%,-2.39%,61.20%,-3.76%,0.76%,1.00,2026.51,15.07,0.87%,1831535
37,"ACAT",737.32,13.38,13.27,1.60%,-15.08%,88.00%,-3.17%,4.06%,4.74,113.73,56.14,1.87%,99294
38,"ACC",3400.14,104.78,104.28,0.30%,4.66%,99.00%,-0.56%,2.77%,3.23,894.33,32.99,1.66%,671201
39,"ACCL",492.03,55.66,55.13,0.92%,-17.68%,89.90%,-0.01%,1.49%,6.56,124.91,8.92,0.90%,87748
40,"ACCO",675.92,113.60,112.50,0.40%,-13.35%,,0.02%,14.16%,19.51,816.53,6.08,2.18%,371860
41,"ACCU",,,,,,,,,,15.73,28.13,1.74%,53400
42,"ACE",34119.58,340.89,338.12,0.10%,7.24%,93.60%,0.76%,1.18%,3.38,1183.09,101.95,1.86%,1025297
43,"ACET",615.65,27.76,26.67,2.20%,30.86%,66.30%,-1.02%,1.30%,1.34,258.28,22.28,0.45%,338411
44,"ACFC",9.57,2.50,24.12,34.25%,,1.50%,2.74%,0.06%,0.37,40.02,3.84,0.52%,47040
45,"ACFN",66.57,18.09,20.51,6.40%,12.54%,42.00%,-6.47%,12.68%,8.05,322.95,3.58,-2.72%,146198
46,"ACG",1697.95,242.91,242.91,0.10%,359.09%,25.00%,18.04%,0.09%,0.25,893.03,7.00,0.14%,1593814
47,"ACGL",7589.89,131.50,128.05,0.90%,-5.58%,92.50%,-2.74%,2.17%,8.02,347.08,58.60,1.52%,216486
48,"ACH",4895.87,540.98,156.18,,,2.10%,0.20%,1.95%,31.52,96.73,9.19,1.55%,53288
49,"ACHC",2321.36,50.04,46.86,0.50%,-62.61%,72.50%,0.50%,11.38%,21.97,242.67,45.81,-1.25%,403531
50,"ACHN",325.70,96.65,96.45,0.20%,-0.71%,94.70%,-5.87%,18.55%,5.60,3197.52,3.36,-0.30%,1098341
51,"ACI",948.14,212.11,211.11,0.54%,1.78%,62.30%,-5.85%,22.32%,5.23,9012.43,4.27,-4.47%,8733534
52,"ACIM",,,,,,,,,,1.46,63.87,0.82%,864
53,"ACIW",2514.56,39.13,38.10,0.80%,-3.69%,98.90%,2.73%,7.61%,9.02,321.34,64.47,0.31%,174765
54,"ACLS",244.33,109.07,107.94,1.40%,2.07%,50.10%,-3.73%,1.27%,1.86,737.51,2.22,-0.89%,350399
55,"ACM",2797.66,98.03,85.15,1.00%,-39.98%,72.70%,1.61%,1.05%,1.47,610.33,29.04,1.75%,332444
56,"ACMP",9163.46,178.04,164.32,31.43%,84.03%,74.50%,38.50%,0.58%,2.31,415.19,51.85,0.74%,574295
57,"ACN",48679.61,642.30,635.92,0.30%,9.30%,81.50%,-2.34%,2.23%,4.45,3181.70,75.53,-0.34%,3250245
58,"ACNB",104.45,5.97,5.78,1.70%,0.99%,6.90%,5.91%,0.06%,0.99,3.56,17.99,2.86%,1900
59,"ACO",995.80,32.50,24.82,6.30%,-4.92%,71.00%,-1.13%,6.55%,17.34,93.78,30.97,1.08%,126246
60,"ACOR",1273.15,40.32,40.49,1.90%,25.99%,86.70%,2.41%,6.62%,7.90,339.12,31.58,0.00%,294341
61,"ACPW",55.96,19.30,18.10,0.90%,-19.47%,44.40%,-13.20%,2.12%,3.21,119.59,2.96,2.07%,196078
62,"ACRE",132.81,10.22,28.72,1.20%,,53.00%,62.67%,3.46%,3.34,297.62,13.05,0.38%,161477
63,"ACRX",371.08,41.46,42.41,0.20%,13.46%,82.60%,20.61%,10.84%,6.30,729.64,8.71,-2.68%,363617
64,"ACST",100.12,85.57,30.60,,,,,0.55%,1.62,104.00,1.16,-0.85%,30298
65,"ACT",21584.25,132.50,173.01,0.50%,-27.95%,69.20%,1.49%,1.19%,1.40,1475.46,166.73,2.35%,1527964
66,"ACTG",646.66,48.33,48.71,2.10%,3.26%,93.00%,5.64%,14.18%,9.53,724.34,13.71,2.47%,1022575
67,"ACTS",177.95,68.71,65.49,5.61%,,5.20%,-1.35%,0.03%,0.32,59.06,2.62,1.16%,34245
68,"ACU",47.74,3.19,2.75,13.20%,8.51%,38.10%,13.13%,0.03%,0.20,4.38,15.25,1.87%,8877
69,"ACUR",80.68,47.46,47.79,0.10%,-97.16%,64.20%,-2.04%,1.69%,1.89,427.84,1.69,-0.59%,115330
70,"ACW",167.03,47.59,47.01,26.43%,51.47%,76.60%,-2.89%,5.77%,6.69,405.50,3.56,1.42%,189895
71,"ACWI",,,,,,,,,0.36,1103.90,56.55,1.18%,465263
72,"ACWX",,,,,,,,,0.59,330.18,45.93,1.30%,363891
73,"ACXM",2504.76,73.78,74.63,1.30%,4.13%,91.70%,1.02%,3.01%,4.71,476.88,36.24,6.75%,983164
74,"ACY",28.18,1.54,1.12,45.74%,,25.10%,6.31%,0.17%,0.33,5.53,18.63,2.03%,1679
75,"ADAT",54.93,31.21,34.15,0.40%,26.31%,25.70%,-0.62%,0.58%,1.39,143.58,1.82,3.41%,729628
76,"ADBE",27746.55,504.12,498.04,0.10%,-92.30%,90.90%,-0.49%,1.63%,2.00,4061.22,55.60,1.02%,3318693
77,"ADC",366.28,12.98,12.48,1.10%,16.28%,68.40%,7.56%,1.51%,1.73,108.50,28.28,0.25%,126017
78,"ADEP",117.21,10.12,10.78,0.40%,-88.38%,53.60%,-1.36%,1.61%,0.64,268.99,10.96,-5.35%,225462
79,"ADES",566.27,10.08,9.40,6.40%,2.22%,50.30%,3.60%,4.00%,3.76,100.15,55.70,-0.89%,35365
80,"ADGE",74.50,49.02,25.71,11.80%,6.72%,4.80%,-21.04%,0.41%,4.87,21.38,1.54,1.32%,23020
81,"ADHD",148.15,9.02,6.83,,,15.40%,0.87%,2.78%,2.70,70.38,16.50,0.43%,32508
82,"ADI",15183.46,311.01,307.96,0.10%,6.14%,87.30%,0.78%,2.41%,3.80,1957.70,49.27,0.92%,2210152
83,"ADK",57.31,14.73,13.02,19.99%,,21.30%,60.92%,1.22%,5.71,27.75,3.96,1.80%,12179
84,"ADM",27411.67,661.00,642.83,0.20%,-4.48%,75.20%,1.23%,1.35%,2.06,4208.50,41.94,1.13%,3080209
85,"ADNC",221.77,21.64,21.06,1.70%,-97.23%,84.90%,3.38%,1.99%,2.79,150.07,10.33,0.78%,120949
86,"ADP",37702.25,480.10,478.28,0.20%,20.60%,76.70%,-1.83%,0.93%,2.44,1813.01,79.66,1.44%,1867231
87,"ADRA",,,,,,,,,7.68,0.87,29.57,1.20%,100
88,"ADRD",,,,,,,,,1.07,5.13,24.54,1.07%,1685
89,"ADRE",,,,,,,,,0.13,26.64,37.67,1.51%,198878
90,"ADRU",,,,,,,,,1.35,4.39,24.25,0.92%,1304
91,"ADS",11759.57,48.71,47.38,3.30%,-0.25%,,-2.45%,16.49%,18.66,418.73,248.70,3.02%,589929
92,"ADSK",10249.21,223.10,224.07,0.30%,2.61%,92.50%,3.55%,2.78%,1.87,3331.46,46.42,1.04%,2031137
93,"ADT",8840.58,217.00,201.42,0.30%,6.37%,93.00%,0.72%,13.22%,9.27,2873.96,40.52,-0.54%,3390013
94,"ADTN",1525.74,57.95,54.84,12.42%,-0.06%,98.90%,-5.27%,4.86%,5.07,526.22,26.29,-0.15%,487329
95,"ADUS",287.53,10.79,9.90,44.00%,-0.50%,76.40%,5.82%,5.04%,4.17,119.76,27.38,2.70%,155140
96,"ADVS",1786.59,51.58,48.76,0.50%,-97.00%,87.20%,-2.78%,3.06%,4.99,298.57,34.90,0.75%,139657
97,"ADX",1159.51,92.69,83.66,0.10%,117.13%,19.90%,-1.82%,1.01%,7.64,110.80,12.60,0.72%,58425
98,"ADXS",17.34,4.78,11.24,5.20%,,2.10%,,0.31%,0.15,231.16,3.59,-1.10%,64464
99,"AE",238.53,4.22,2.47,47.40%,-4.40%,38.60%,3.17%,3.15%,9.46,8.20,57.64,1.93%,5362
100,"AEC",816.17,49.95,62.35,1.10%,-6.63%,86.90%,8.76%,6.08%,5.81,651.91,16.35,0.06%,800876
101,"AEE",8755.43,242.60,242.30,0.14%,0.30%,62.80%,0.99%,1.93%,3.02,1550.14,36.44,0.97%,1790692
102,"AEG",17251.41,2013.00,1993.15,,,7.20%,-2.08%,0.09%,1.94,975.60,8.72,1.75%,735544
103,"AEGN",804.76,38.67,37.39,0.80%,-3.43%,98.50%,-0.94%,6.77%,11.95,211.65,20.86,0.24%,209897
104,"AEGR",1966.75,29.05,27.23,0.90%,-68.25%,,-1.34%,12.04%,4.71,696.78,67.00,-1.03%,550273
105,"AEHR",29.78,10.64,8.10,7.90%,9.95%,11.70%,42.32%,0.12%,0.19,48.65,2.91,3.86%,78118
106,"AEIS",892.07,39.88,37.02,0.60%,-56.75%,90.20%,-1.12%,2.13%,1.71,460.75,22.43,0.27%,525703
107,"AEL",1593.06,65.13,66.01,3.90%,3.59%,,3.19%,21.73%,13.85,1035.96,24.62,0.65%,613088
108,"AEM",4412.67,172.57,173.44,,,74.60%,0.71%,0.90%,0.77,2023.90,25.45,-0.47%,1952715
109,"AEO",3160.79,192.73,170.62,0.10%,-16.11%,78.60%,-0.56%,5.40%,2.16,4265.83,14.85,-9.45%,16310275
110,"AEP",22632.65,486.93,486.99,0.07%,-13.46%,65.10%,0.27%,1.24%,1.66,3656.64,47.10,1.33%,3556849
111,"AEPI",284.77,5.60,4.43,9.10%,0.79%,54.70%,6.80%,2.50%,0.72,153.90,51.03,0.31%,94291
112,"AER",2396.15,113.51,83.08,0.20%,94.00%,68.70%,3.37%,0.72%,2.02,294.59,21.49,1.80%,338557
113,"AERG",1.13,91.67,77.18,21.63%,-0.18%,17.94%,-13.42%,1.00%,11.80,65.13,0.01,-14.63%,122174
114,"AERI",13.98,0.97,8.60,2.60%,,,,0.02%,0.03,73.01,15.35,6.97%,348153
115,"AERT",4.96,49.57,34.56,30.28%,0.07%,4.95%,-5.03%,0.16%,1.47,37.19,0.10,0.00%,29849
116,"AES",10937.08,742.00,740.66,0.10%,-3.13%,93.40%,-0.89%,1.20%,1.88,4726.58,15.02,1.90%,7460448
117,"AET",24050.99,371.10,366.22,0.20%,-2.88%,91.60%,-2.43%,1.48%,1.80,3019.66,66.02,1.87%,1996992
118,"AETI",70.03,8.00,4.71,28.30%,-22.30%,23.30%,68.04%,1.37%,1.55,41.64,8.85,1.14%,11976
119,"AEY",26.10,10.00,4.89,0.90%,15.39%,7.80%,2.36%,0.16%,0.71,11.02,2.62,0.38%,7300
120,"AEZS",28.35,25.54,43.24,7.06%,,21.40%,4.19%,2.59%,1.12,1001.24,1.10,-0.90%,1161521
121,"AF",1321.91,97.20,82.62,1.30%,-3.29%,75.00%,-1.15%,5.98%,9.34,528.95,13.68,0.59%,470804
122,"AFAM",266.50,9.30,8.30,0.20%,5.68%,61.70%,-3.92%,2.34%,4.55,42.63,29.73,3.77%,74178
123,"AFB",352.64,28.74,,18.96%,,8.40%,0.26%,,0.16,111.03,12.22,-0.41%,191581
124,"AFCB",39.86,1.99,1.20,1.10%,-4.36%,6.40%,-12.37%,0.26%,0.77,4.01,20.00,0.00%,4205
125,"AFCE",950.14,23.60,22.87,1.00%,-5.98%,91.40%,-1.26%,2.10%,2.88,166.82,40.66,0.99%,140813
126,"AFFM",40.07,15.41,15.20,0.18%,1.56%,75.79%,-0.26%,0.02%,0.35,8.05,2.75,5.77%,2500
