"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ADAT","Authentidate Holding Corp.","Technology","Healthcare Information Services","USA",46.19,,1.76,18.92%,1043733
2,"BEST","Shiner International, Inc.","Consumer Goods","Packaging & Containers","China",9.91,,0.42,16.67%,28200
3,"CALI","China Auto Logistic Inc.","Services","Auto Dealerships","China",10.86,9.48,4.30,46.26%,4245644
4,"CBMX","CombiMatrix Corporation","Healthcare","Medical Laboratories & Research","USA",8.87,,2.95,18.00%,5467111
5,"CDTI","Clean Diesel Technologies Inc.","Industrial Goods","Pollution & Treatment Controls","USA",10.52,,1.66,15.28%,1313328
6,"CONN","Conns Inc.","Services","Electronics Stores","USA",2091.52,29.53,69.82,19.43%,6687452
7,"DEJ","Dejour Energy Inc.","Basic Materials","Independent Oil & Gas","Canada",14.89,,0.12,17.30%,1429624
8,"GPRC","Guanwei Recycling Corp.","Industrial Goods","Waste Management","China",29.77,2.44,3.48,21.68%,682689
9,"IGC","India Globalization Capital, Inc.","Industrial Goods","Heavy Construction","USA",5.74,,0.99,20.73%,789342
10,"MEI","Methode Electronics Inc.","Technology","Diversified Electronics","USA",926.06,18.54,35.28,43.07%,4473717
11,"NEWN","New Energy Systems Group","Technology","Diversified Electronics","China",1.03,,0.09,28.57%,16200
12,"OBAS","Optibase Ltd.","Financial","Property Management","Israel",20.82,11.12,6.48,18.90%,6865
13,"OXFD","Oxford Immunotec Global PLC","Healthcare","Diagnostic Substances","United Kingdom",242.26,,18.03,16.70%,44451
14,"PBYI","Puma Biotechnology, Inc.","Healthcare","Biotechnology","USA",1325.40,,77.70,68.15%,3587050
15,"PLUG","Plug Power Inc.","Technology","Diversified Electronics","USA",87.20,,1.81,42.52%,69432840
16,"RCPT","Receptos, Inc.","Healthcare","Biotechnology","USA",402.13,,27.64,21.76%,1449910
17,"TSTC","Telestone Technologies Corp.","Technology","Communication Equipment","China",1.48,,0.15,25.00%,19521
18,"WEST","Westinghouse Solar, Inc.","Services","Electronics Wholesale","USA",0.45,,0.03,26.76%,895786
19,"WPCS","WPCS International Incorporated","Technology","Diversified Communication Services","USA",2.81,,3.24,15.30%,1336953
