"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ALSE","Alseres Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1.38,,0.04,-32.83%,2100
2,"CWTR","Coldwater Creek Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",20.50,,0.16,-76.12%,8501856
3,"HEAT","SmartHeat Inc.","Industrial Goods","Industrial Equipment & Components","China",0.55,,0.10,-23.08%,1908
4,"MNKD","MannKind Corp.","Healthcare","Biotechnology","USA",1821.88,,4.02,-16.77%,30164960
5,"MNTA","Momenta Pharmaceuticals Inc.","Healthcare","Drugs - Generic","USA",735.24,,11.65,-16.85%,4200032
6,"MRNA","Marina Biotech, Inc.","Healthcare","Biotechnology","USA",9.87,,0.89,-17.59%,275685
7,"PRAN","Prana Biotechnology Ltd.","Healthcare","Drug Manufacturers - Other","Australia",413.63,,2.80,-71.60%,23595696
8,"SCIL","Scientific Learning Corp.","Services","Education & Training Services","USA",6.54,,0.18,-35.71%,30505
9,"WHX","Whiting USA Trust I","Basic Materials","Independent Oil & Gas","USA",48.51,1.68,2.53,-27.71%,2115798
