"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ATOS","Atossa Genetics, Inc.","Healthcare","Diagnostic Substances","USA",50.66,,2.55,-20.31%,4244562
2,"BIB","ProShares Ultra Nasdaq Biotechnology","Financial","Exchange Traded Fund","USA",,,86.99,-53.15%,312024
3,"BNSO","Bonso Electronics International Inc.","Industrial Goods","Industrial Electrical Equipment","Hong Kong",12.86,,2.06,-15.92%,189735
4,"COVS","Covisint Corporation","Technology","Application Software","USA",390.37,,10.19,-20.60%,849886
5,"DEER","Deer Consumer Products, Inc.","Consumer Goods","Home Furnishings & Fixtures","China",1.68,0.04,0.04,-20.00%,1300
6,"DGAZ","VelocityShares 3x Inv Natural Gas ETN","Financial","Exchange Traded Fund","USA",,,4.75,-24.72%,29194876
7,"DGII","Digi International Inc.","Technology","Networking & Communication Devices","USA",310.30,54.95,10.24,-15.30%,496441
8,"DL","China Distance Education Holdings Limited","Services","Education & Training Services","China",847.78,104.42,20.17,-19.51%,753606
9,"KOLD","ProShares UltraShort DJ-UBS Natural Gas","Financial","Exchange Traded Fund","USA",,,46.75,-16.64%,409579
10,"KSU","Kansas City Southern","Services","Railroads","USA",12901.15,39.22,99.49,-15.17%,14627547
11,"NEWN","New Energy Systems Group","Technology","Diversified Electronics","China",1.03,,0.05,-28.57%,14764
12,"RITT","RiT Technologies Ltd.","Technology","Communication Equipment","Israel",18.69,,1.78,-16.83%,992778
13,"RTRX","Retrophin, Inc.","Healthcare","Drug Manufacturers - Major","USA",189.00,,10.43,-15.20%,279976
14,"TESS","TESSCO Technologies Inc.","Services","Electronics Wholesale","USA",323.52,19.27,33.61,-15.34%,142403
15,"TSTC","Telestone Technologies Corp.","Technology","Communication Equipment","China",3.70,,0.23,-23.33%,26920
