"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18287.75,331.00,332.41,0.30%,4.97%,85.40%,1.30%,0.64%,0.80,2662.27,55.15,-0.18%,6528378
2,"AA",12169.41,1070.31,1069.37,0.20%,54.82%,68.80%,12.95%,12.23%,4.81,27187.79,11.40,0.26%,14232707
3,"AADR",,,,,,,,,,4.31,37.60,1.08%,3898
4,"AAIT",,,,,,,,,0.48,2.49,32.49,3.47%,871
5,"AAL",11561.76,336.00,751.64,0.70%,,18.30%,,8.40%,4.58,13772.03,34.31,-0.29%,7062183
6,"AAMC",2336.31,2.35,1.70,2.50%,3.53%,60.80%,4.69%,3.89%,4.34,15.19,999.70,0.47%,12098
7,"AAME",83.92,21.30,5.14,75.13%,,4.80%,1.29%,0.24%,1.16,10.44,3.95,0.25%,26188
8,"AAN",2247.78,75.23,66.89,0.40%,-5.64%,0.80%,,13.23%,6.85,1291.48,29.77,-0.37%,811885
9,"AAOI",176.46,12.60,11.44,1.50%,,25.00%,41.11%,1.42%,2.33,69.89,13.66,-2.43%,108945
10,"AAON",1060.01,36.74,28.06,0.30%,-12.68%,58.40%,0.17%,3.54%,8.06,123.04,29.41,1.94%,115785
11,"AAP",9265.39,72.76,72.40,0.60%,-29.99%,99.70%,3.09%,2.49%,2.02,895.09,126.79,-0.43%,1018748
12,"AAPL",487454.20,896.07,890.69,0.04%,20.51%,61.10%,-1.15%,1.86%,1.31,12579.55,545.99,0.37%,9242445
13,"AAT",1328.30,39.82,34.42,1.00%,-22.56%,86.10%,8.48%,1.76%,3.89,155.33,33.44,0.24%,146264
14,"AAU",112.66,61.23,52.91,5.36%,,5.90%,165.15%,0.77%,2.59,158.08,1.79,-2.72%,215499
15,"AAV",520.70,134.20,167.07,0.25%,,58.00%,5.10%,0.13%,1.70,132.21,3.92,1.03%,106239
16,"AAWW",824.78,25.04,24.52,1.30%,3.50%,96.20%,-3.38%,11.41%,7.24,386.21,32.33,-1.85%,220365
17,"AAXJ",,,,,,,,,0.77,718.73,57.51,-0.54%,644982
18,"AB",2198.51,92.26,94.60,0.30%,-0.80%,29.00%,-3.63%,2.91%,7.21,381.70,24.80,4.07%,802845
19,"ABAX",857.43,22.27,21.05,2.10%,-0.43%,97.20%,2.97%,14.01%,15.32,192.60,38.98,1.25%,160635
20,"ABB",58366.77,2297.00,2295.97,,,3.80%,3.12%,0.18%,2.57,1566.05,25.31,-0.39%,2203403
21,"ABBV",81573.84,1608.00,1589.52,0.06%,-15.30%,69.70%,1.64%,0.59%,1.37,6841.97,51.46,1.44%,4952769
22,"ABC",15658.84,230.28,226.26,0.20%,3.83%,88.70%,-0.41%,2.42%,3.23,1694.28,68.50,0.74%,1525866
23,"ABCB",482.58,24.02,21.75,2.90%,8.57%,66.70%,-5.26%,1.66%,4.20,86.09,20.34,1.24%,60262
24,"ABCD",91.80,47.56,11.39,71.14%,-2.66%,15.20%,-18.01%,0.05%,0.17,32.14,1.86,-3.63%,15848
25,"ABCO",2214.99,36.06,35.97,0.30%,-18.77%,96.80%,1.13%,6.90%,11.01,225.54,62.78,2.21%,526858
26,"ABFS",827.21,25.79,24.30,3.40%,14.80%,94.90%,-1.81%,7.34%,4.34,410.42,32.23,0.47%,342708
27,"ABG",1502.43,30.50,30.26,1.70%,-8.80%,95.20%,-3.49%,3.49%,3.72,283.73,49.03,-0.47%,237685
28,"ABIO",19.39,10.83,13.24,2.60%,30.72%,15.40%,-2.18%,24.47%,2.20,1473.55,1.79,0.00%,834717
29,"ABM",1518.17,55.33,50.69,1.80%,10.30%,82.10%,0.66%,1.73%,4.26,205.90,27.60,0.58%,206769
30,"ABMC",2.63,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.34,17.31,0.12,0.00%,956
31,"ABMD",1114.12,39.59,39.38,1.90%,-0.53%,99.70%,2.52%,11.30%,12.32,361.09,28.77,2.24%,449265
32,"ABR",305.52,43.40,37.49,0.50%,-12.15%,60.00%,1.77%,0.38%,1.34,106.64,7.23,2.70%,201550
33,"ABT",60815.27,1567.00,1543.45,0.10%,0.71%,69.20%,1.28%,0.71%,1.56,7016.34,38.93,0.31%,6766282
34,"ABTL",160.66,8.90,8.78,8.62%,-44.21%,57.70%,6.16%,0.52%,0.17,271.04,17.85,-1.11%,274593
35,"ABX",22068.90,1085.00,1161.10,,,73.90%,2.90%,1.04%,0.78,15578.87,20.36,0.10%,13574582
36,"ACAD",2141.83,89.50,90.64,0.10%,1.13%,89.60%,1.33%,10.82%,7.56,1297.01,24.40,1.96%,1400776
