"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ATOS","Atossa Genetics, Inc.","Healthcare","Diagnostic Substances","USA",37.10,,1.28,-15.79%,794776
2,"BOSC","B.O.S. Better Online Solutions Ltd.","Technology","Information Technology Services","Israel",7.81,,4.79,-21.48%,137274
3,"CWTR","Coldwater Creek Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",4.00,,0.09,-27.69%,2996035
4,"HPJ","Highpower International, Inc.","Industrial Goods","Industrial Electrical Equipment","China",80.39,95.83,4.21,-26.78%,1916262
5,"MBIS","Mediabistro Inc.","Technology","Internet Information Providers","USA",9.89,,1.29,-20.86%,111677
6,"NEWL","NewLead Holdings Ltd.","Services","Shipping","Greece",0.57,,0.34,-26.09%,5108920
7,"NVFY","Nova Lifestyle, Inc.","Consumer Goods","Home Furnishings & Fixtures","USA",149.30,27.50,6.13,-20.39%,555212
8,"RTRX","Retrophin, Inc.","Healthcare","Drug Manufacturers - Major","USA",372.63,,13.01,-15.30%,1199802
9,"SMTX","SMTC Corp.","Technology","Printed Circuit Boards","Canada",32.10,,1.52,-22.45%,842536
10,"XXII","22nd Century Group, Inc.","Healthcare","Biotechnology","USA",164.90,,2.20,-22.26%,1433711
