"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1401,"CWI",,,,,,,,,,47.65,37.10,-0.43%,61848
1402,"CWST",219.82,40.04,37.07,0.90%,-14.27%,74.10%,1.03%,2.58%,6.80,140.34,5.50,0.18%,140701
1403,"CWT",1035.83,47.80,47.07,1.50%,8.31%,64.80%,2.69%,1.81%,4.72,180.77,22.06,1.80%,240832
1404,"CX",15750.29,1209.70,1195.85,,,41.90%,4.47%,7.58%,6.94,13061.44,12.87,-1.15%,6795090
1405,"CXA",,,,,,,,,,16.44,23.48,0.06%,8779
1406,"CXDC",526.72,48.68,15.94,68.18%,,13.60%,10.85%,3.96%,1.93,327.74,10.94,1.11%,292531
1407,"CXE",,,,,,,,,0.56,69.08,4.98,0.61%,49189
1408,"CXH",,,,,,,,,0.26,25.87,9.49,0.32%,36376
1409,"CXO",14888.02,111.73,109.38,1.30%,2.25%,91.40%,0.83%,2.23%,2.09,1165.21,131.80,-1.09%,1063053
1410,"CXP",3270.46,124.97,124.81,0.10%,,22.90%,66.69%,1.19%,1.58,939.15,26.29,0.46%,1282406
1411,"CXW",3804.50,116.31,114.97,1.00%,7.29%,92.70%,-0.97%,6.00%,10.22,675.57,32.53,-0.55%,557664
1412,"CY",1626.09,157.72,146.08,6.30%,10.11%,72.90%,5.37%,8.12%,4.78,2480.20,10.25,-0.58%,1591617
1413,"CYAN",27.35,5.48,3.53,0.10%,0.89%,22.20%,6.01%,0.05%,0.18,9.82,4.85,-2.81%,2827
1414,"CYB",,,,,,,,,,45.66,24.92,0.04%,14244
1415,"CYBE",52.01,6.55,6.44,1.20%,5.36%,52.70%,5.79%,0.61%,1.63,24.23,8.09,1.89%,15260
1416,"CYBX",1649.51,26.83,26.29,2.20%,-14.49%,98.70%,0.88%,8.43%,10.61,208.87,60.80,-1.11%,260076
1417,"CYCC",74.13,22.67,20.98,8.58%,8.11%,10.00%,0.22%,8.86%,12.31,150.99,3.24,-0.91%,83564
1418,"CYD",776.13,37.26,17.24,25.09%,,23.00%,-0.33%,0.31%,1.13,46.85,20.84,0.05%,23166
1419,"CYH",4829.81,115.27,111.67,1.90%,12.19%,94.50%,12.58%,4.73%,2.82,1871.83,41.77,-0.31%,979785
1420,"CYN",3921.95,54.96,47.61,0.30%,-27.96%,81.50%,-2.65%,2.03%,3.54,272.18,71.09,-0.38%,220693
1421,"CYNI",179.67,46.79,44.39,5.70%,26.82%,61.10%,-2.50%,4.63%,6.35,324.03,3.71,-3.39%,133153
1422,"CYNO",491.26,22.32,21.26,0.10%,-33.01%,83.10%,4.10%,4.10%,3.10,281.02,21.78,-1.04%,160915
1423,"CYOU",1453.63,52.84,10.59,,,50.50%,-5.35%,12.38%,4.55,287.91,27.00,-1.85%,71767
1424,"CYRN",78.03,26.36,21.26,,,12.10%,-0.47%,0.89%,1.90,99.79,2.99,1.01%,20509
1425,"CYS",1479.43,162.04,160.64,0.90%,5.65%,59.30%,-3.59%,4.59%,2.88,2556.47,9.24,1.20%,2128349
1426,"CYT",3573.45,35.86,35.53,0.60%,2.87%,94.30%,2.06%,1.35%,2.03,237.22,99.35,-0.30%,178940
1427,"CYTK",191.52,36.62,31.65,25.04%,5.68%,69.60%,17.06%,11.05%,2.37,1474.85,4.99,-4.59%,628751
1428,"CYTR",218.06,55.77,46.53,8.50%,5.57%,42.20%,131.35%,20.85%,4.46,2174.16,4.18,6.91%,1407809
1429,"CYTX",187.85,75.44,61.94,12.10%,0.40%,20.40%,10.63%,15.64%,21.55,449.36,2.41,-3.21%,306364
1430,"CZA",,,,,,,,,,11.69,47.47,0.36%,7706
1431,"CZFC",21.08,1.97,1.55,1.60%,14.53%,13.80%,0.37%,0.00%,0.04,0.77,10.70,0.00%,0
1432,"CZNC",233.19,12.43,12.13,2.30%,4.00%,30.10%,0.05%,1.92%,10.36,22.50,18.67,-0.48%,13026
1433,"CZR",2689.70,144.22,82.17,0.50%,66.11%,58.30%,8.97%,11.54%,7.57,1252.27,18.23,-2.25%,515397
1434,"CZWI",41.13,5.16,4.10,1.20%,47.71%,20.20%,-0.48%,0.10%,1.35,3.06,8.00,0.38%,800
1435,"CZZ",3414.91,269.74,158.76,19.19%,,64.90%,8.00%,0.95%,1.12,1349.58,12.50,-1.26%,1298767
1436,"D",39851.92,581.61,579.16,0.30%,5.57%,59.80%,-0.55%,1.84%,4.61,2309.45,68.96,0.64%,2473187
1437,"DAC",655.71,109.65,21.50,7.40%,,6.30%,8.21%,0.32%,2.74,25.47,5.95,-0.50%,8618
1438,"DAEG",20.84,16.41,9.75,0.80%,-89.84%,14.20%,-19.04%,0.01%,0.05,23.93,1.26,-0.79%,7473
1439,"DAG",,,,,,,,,,26.63,7.95,-2.33%,11901
1440,"DAIO",20.80,7.79,6.79,5.50%,31.25%,24.00%,33.58%,0.19%,0.41,31.31,2.65,-0.75%,16726
1441,"DAKT",553.66,43.12,35.81,4.90%,0.86%,50.50%,4.53%,1.56%,3.29,169.21,12.41,-3.35%,396136
1442,"DAL",34035.91,847.93,844.60,0.40%,-0.47%,86.60%,-1.49%,1.79%,1.34,11322.42,39.91,-0.57%,7775045
1443,"DAN",3482.98,156.75,156.10,0.50%,20.62%,,8.66%,5.58%,4.23,2061.42,22.14,-0.36%,1110046
1444,"DANG",835.38,80.48,53.33,0.46%,,27.80%,-9.78%,13.53%,1.40,5162.18,10.02,-3.47%,2284430
1445,"DAR",3311.35,164.58,161.84,1.40%,7.26%,98.90%,-0.92%,3.28%,4.57,1161.34,19.99,-0.65%,729583
1446,"DARA",13.44,8.40,8.19,0.90%,85.87%,20.00%,152.25%,10.38%,1.52,560.11,1.19,-25.62%,8001507
1447,"DATA",4180.16,67.97,40.07,0.80%,115.13%,86.90%,19.34%,4.86%,0.89,2192.03,58.04,-5.63%,2064781
1448,"DATE",188.95,32.69,11.99,19.25%,,4.80%,-8.19%,3.19%,2.42,158.00,5.92,2.42%,160961
1449,"DAVE",225.40,7.16,5.85,9.00%,45.33%,64.50%,8.35%,7.61%,6.67,66.66,32.07,1.87%,64766
1450,"DB",41956.46,1022.58,1019.48,,,,,1.31%,9.75,1365.38,40.53,-1.22%,1098710
1451,"DBA",,,,,,,,,,1079.38,27.71,-1.00%,2138832
1452,"DBAP",,,,,,,,,,0.46,26.76,0.00%,0
1453,"DBAW",,,,,,,,,,14.15,25.68,0.00%,0
1454,"DBB",,,,,,,,,,159.61,16.27,-0.43%,860035
1455,"DBBR",,,,,,,,,,5.78,14.67,-1.01%,5988
1456,"DBC",,,,,,,,,,1401.34,26.03,-0.76%,5528658
1457,"DBD",2449.25,64.59,64.32,0.60%,19.41%,99.80%,-1.44%,11.90%,8.95,854.59,37.53,-1.03%,491221
1458,"DBE",,,,,,,,,,99.79,29.77,-0.53%,41416
1459,"DBEF",,,,,,,,,,157.37,27.99,0.04%,67355
1460,"DBEM",,,,,,,,,,12.01,21.72,-0.91%,3251
1461,"DBEU",,,,,,,,,,100.32,27.87,-0.04%,51217
1462,"DBGR",,,,,,,,,,8.77,26.55,-0.15%,5729
1463,"DBIZ",,,,,,,,,,14.03,27.51,0.04%,3872
1464,"DBJP",,,,,,,,,,122.06,35.65,0.20%,28851
1465,"DBKO",,,,,,,,,,11.93,25.44,0.00%,0
1466,"DBMX",,,,,,,,,,2.85,24.70,-0.40%,2000
1467,"DBO",,,,,,,,,,74.31,29.47,-0.71%,82974
1468,"DBP",,,,,,,,,,40.90,40.04,-0.57%,33798
1469,"DBS",,,,,,,,,,4.17,31.01,-0.99%,10345
1470,"DBU",,,,,,,,,,7.07,20.23,-0.49%,20019
1471,"DBUK",,,,,,,,,,0.55,26.68,0.00%,0
1472,"DBV",,,,,,,,,,183.46,26.08,0.15%,30859
1473,"DCA",,,,,,,,,0.78,130.45,4.65,-0.64%,93099
