"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ABMC","American Bio Medica Corp.","Healthcare","Diagnostic Substances","USA",2.17,,0.13,30.00%,1958
2,"ALIM","Alimera Sciences, Inc.","Healthcare","Drug Manufacturers - Major","USA",64.45,,2.43,19.12%,211963
3,"CTC","IFM Investments Limited","Financial","Real Estate Development","China",24.79,,1.93,15.45%,16351
4,"DSTI","DayStar Technologies Inc.","Technology","Semiconductor - Specialized","USA",1.11,,0.30,15.38%,4703
5,"ECTE","Echo Therapeutics, Inc.","Healthcare","Drug Manufacturers - Major","USA",17.74,,4.65,72.86%,10941958
6,"ELTK","Eltek Ltd.","Technology","Printed Circuit Boards","Israel",11.17,42.25,2.13,26.04%,2868345
7,"ETAK","Elephant Talk Communications Corp.","Technology","Long Distance Carriers","Netherlands",106.82,,1.04,15.56%,2707500
8,"GIG","GigOptix, Inc.","Technology","Semiconductor Equipment & Materials","USA",31.40,,1.82,25.52%,1097406
9,"LIVE","LiveDeal, Inc.","Technology","Internet Information Providers","USA",10.07,,3.67,25.15%,387735
10,"MBIS","Mediabistro Inc.","Technology","Internet Information Providers","USA",13.19,,4.13,88.58%,6172924
11,"MRNA","Marina Biotech, Inc.","Healthcare","Biotechnology","USA",1.83,,0.23,15.00%,66270
12,"PLM","Polymet Mining Corp.","Basic Materials","Industrial Metals & Minerals","Canada",220.69,,1.23,17.14%,2669146
13,"SCKT","Socket Mobile, Inc.","Technology","Computer Peripherals","USA",4.91,,1.17,15.84%,3500
14,"UBIC","UBIC, Inc.","Technology","Information Technology Services","Japan",72.90,8.82,5.36,19.11%,6250
15,"ZLCS","Zalicus Inc.","Healthcare","Biotechnology","USA",20.41,,1.15,29.21%,6688741
