"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"OBAF",0.05,0.53,21.88%,21.21%,21.20%,-2.22%,27.64%,88.83,22.49,0.00%,0.00%,0.00%,0
2,"LIQT",,0.19,-3.89%,-13.31%,-25.15%,-46.00%,19.62%,43.32,1.89,0.00%,0.00%,0.00%,0
3,"VISN",3.02,2.30,31.23%,19.06%,137.04%,-22.69%,1503.39%,66.38,28.38,0.00%,0.00%,0.00%,0
4,"MY",2.73,0.33,-5.65%,-4.00%,26.09%,-31.11%,160.00%,47.62,2.99,0.00%,0.00%,0.00%,0
5,"KPTI",,2.84,-6.68%,-8.47%,18.66%,-30.37%,115.03%,46.40,33.33,0.00%,0.00%,0.00%,0
6,"WUBA",,4.28,-3.74%,1.39%,13.80%,-26.22%,105.44%,49.77,43.45,0.00%,0.00%,0.00%,0
7,"BIND",,0.98,-8.30%,-13.15%,-13.52%,-29.77%,33.49%,43.35,11.16,0.00%,0.00%,0.00%,0
8,"QUNR",,2.51,3.34%,4.74%,8.74%,-16.04%,38.17%,54.05,30.84,0.00%,0.00%,0.00%,0
9,"DRL",2.57,0.74,4.00%,-4.69%,-36.50%,-57.08%,26.09%,53.48,10.73,0.00%,0.00%,0.00%,0
10,"CLDN",,1.35,-13.80%,-12.61%,-12.61%,-38.87%,15.91%,,10.49,0.00%,0.00%,0.00%,0
11,"SA",0.84,0.44,-0.87%,-5.33%,-17.19%,-53.60%,20.30%,50.41,8.00,0.00%,0.00%,0.00%,0
12,"LJPC",2.37,1.54,-6.20%,16.10%,62.61%,-40.92%,284.00%,52.74,11.52,0.00%,0.00%,0.00%,0
13,"CUDA",,2.61,-4.57%,-6.14%,4.61%,-27.09%,73.75%,46.21,32.37,0.00%,0.00%,0.00%,0
14,"VIPS",,13.24,-1.54%,9.48%,79.51%,-21.63%,513.24%,51.50,142.64,0.00%,0.00%,0.00%,0
15,"BIOL",2.78,0.16,-9.02%,-13.87%,-4.77%,-60.82%,104.27%,41.53,2.33,0.00%,0.00%,0.00%,0
16,"CTRP",1.39,2.79,10.71%,15.79%,18.54%,-9.18%,175.61%,66.77,55.48,0.00%,0.00%,0.00%,0
17,"CPSS",1.12,0.33,-1.37%,-7.72%,-2.58%,-38.51%,24.96%,45.62,7.01,0.00%,0.00%,0.00%,0
18,"AVEO",0.85,0.09,-6.56%,-12.48%,-25.54%,-82.02%,11.03%,42.31,1.51,0.00%,0.00%,0.00%,0
19,"KWK",1.73,0.19,11.43%,-2.20%,20.56%,-20.16%,103.47%,55.84,2.93,0.00%,0.00%,0.00%,0
