"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18254.65,331.00,332.41,0.30%,4.97%,85.40%,1.30%,0.64%,0.83,2565.05,55.94,1.43%,4799678
2,"AA",12201.52,1070.31,1069.37,0.20%,54.82%,68.80%,12.95%,12.23%,4.77,27405.00,11.76,3.16%,33274280
3,"AADR",,,,,,,,,,4.35,37.51,-0.33%,2730
4,"AAIT",,,,,,,,,0.48,2.49,32.76,0.83%,465
5,"AAL",11528.16,336.00,751.64,0.70%,,18.30%,,8.40%,4.60,13724.85,34.59,0.82%,7244519
6,"AAMC",2348.00,2.35,1.70,2.50%,3.53%,60.80%,4.69%,3.89%,4.23,15.59,970.01,-3.00%,15170
7,"AAME",84.13,21.30,5.14,75.13%,,4.80%,1.29%,0.24%,1.12,10.88,3.94,-0.25%,11205
8,"AAN",2239.51,75.23,66.89,0.40%,-5.64%,0.80%,,13.23%,6.74,1313.48,29.51,-0.87%,664181
9,"AAOI",172.17,12.60,11.44,1.50%,,25.00%,41.11%,1.42%,2.28,71.24,15.02,9.96%,100786
10,"AAON",1080.58,36.74,28.06,0.30%,-12.68%,58.40%,0.17%,3.54%,8.02,123.63,28.69,-2.45%,90837
11,"AAP",9225.37,72.76,72.40,0.60%,-29.99%,99.70%,3.09%,2.49%,1.98,913.21,125.94,-0.67%,1091169
12,"AAPL",489246.34,896.07,890.69,0.04%,20.51%,61.10%,-1.15%,1.86%,1.31,12608.60,537.37,-1.58%,10975419
13,"AAT",1331.48,39.82,34.42,1.00%,-22.56%,86.10%,8.48%,1.76%,3.88,155.70,33.63,0.57%,224959
14,"AAU",110.21,61.23,52.91,5.36%,,5.90%,165.15%,0.77%,2.57,159.74,1.61,-10.56%,309428
15,"AAV",526.06,134.20,167.07,0.25%,,58.00%,5.10%,0.13%,1.77,127.46,3.96,1.02%,66075
16,"AAWW",809.51,25.04,24.52,1.30%,3.50%,96.20%,-3.38%,11.41%,7.23,387.10,32.07,-0.80%,301410
17,"AAXJ",,,,,,,,,0.76,729.66,57.52,0.02%,451907
18,"AB",2288.00,92.26,94.60,0.30%,-0.80%,29.00%,-3.63%,2.91%,7.19,383.12,25.64,3.39%,1249492
19,"ABAX",868.12,22.27,21.05,2.10%,-0.43%,97.20%,2.97%,14.01%,15.32,192.60,38.70,-0.72%,298487
20,"ABB",58137.07,2297.00,2295.97,,,3.80%,3.12%,0.18%,2.54,1580.56,25.31,-0.02%,2449628
21,"ABBV",82747.68,1608.00,1589.52,0.06%,-15.30%,69.70%,1.64%,0.59%,1.38,6792.53,51.19,-0.52%,5169986
22,"ABC",15773.97,230.28,226.26,0.20%,3.83%,88.70%,-0.41%,2.42%,3.22,1700.29,68.11,-0.57%,1914963
23,"ABCB",488.59,24.02,21.75,2.90%,8.57%,66.70%,-5.26%,1.66%,4.18,86.53,20.15,-0.93%,95935
24,"ABCD",88.47,47.56,11.39,71.14%,-2.66%,15.20%,-18.01%,0.05%,0.18,30.64,1.97,5.91%,36951
25,"ABCO",2264.04,36.06,35.97,0.30%,-18.77%,96.80%,1.13%,6.90%,10.76,230.67,63.82,1.66%,366160
26,"ABFS",831.08,25.79,24.30,3.40%,14.80%,94.90%,-1.81%,7.34%,4.40,405.41,31.63,-1.86%,665066
27,"ABG",1495.41,30.50,30.26,1.70%,-8.80%,95.20%,-3.49%,3.49%,3.68,286.26,49.07,0.08%,218650
28,"ABIO",19.39,10.83,13.24,2.60%,30.72%,15.40%,-2.18%,24.47%,2.16,1497.68,1.77,-1.12%,268645
29,"ABM",1527.03,55.33,50.69,1.80%,10.30%,82.10%,0.66%,1.73%,4.26,205.99,27.38,-0.80%,205081
30,"ABMC",2.61,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.34,17.40,0.12,0.00%,0
31,"ABMD",1139.06,39.59,39.38,1.90%,-0.53%,99.70%,2.52%,11.30%,12.16,366.04,28.70,-0.24%,325733
32,"ABR",313.77,43.40,37.49,0.50%,-12.15%,60.00%,1.77%,0.38%,1.32,108.09,7.09,-1.94%,155074
33,"ABT",61003.31,1567.00,1543.45,0.10%,0.71%,69.20%,1.28%,0.71%,1.55,7060.75,38.76,-0.44%,7003084
34,"ABTL",158.88,8.90,8.78,8.62%,-44.21%,57.70%,6.16%,0.52%,0.17,273.23,17.85,0.00%,123469
35,"ABX",22090.60,1085.00,1161.10,,,73.90%,2.90%,1.04%,0.78,15529.71,19.77,-2.90%,14027695
36,"ACAD",2183.90,89.50,90.64,0.10%,1.13%,89.60%,1.33%,10.82%,7.59,1293.09,24.00,-1.64%,846463
37,"ACAS",4320.42,286.50,267.13,1.10%,-2.90%,63.20%,2.70%,0.95%,1.11,2293.01,15.34,1.72%,9433439
38,"ACAT",622.02,13.42,12.66,0.50%,6.34%,92.90%,2.84%,5.89%,3.42,218.10,46.02,-0.71%,233097
39,"ACC",3797.34,104.78,104.12,0.60%,30.79%,99.00%,2.42%,2.15%,2.67,839.61,36.33,0.25%,1161687
40,"ACCL",695.75,55.66,55.13,0.92%,-17.68%,89.30%,-0.65%,1.72%,1.12,850.76,12.49,-0.08%,475201
41,"ACCO",689.55,113.60,112.60,0.30%,-22.86%,,-3.79%,14.76%,24.48,679.07,6.06,-0.16%,641141
42,"ACCU",,,,,,,,,,20.85,26.83,-1.11%,1450
43,"ACE",33223.04,340.89,338.34,0.40%,3.41%,93.80%,0.67%,1.10%,2.13,1743.15,96.67,-0.81%,1473925
44,"ACET",535.72,27.87,26.89,2.30%,9.01%,65.20%,-0.70%,1.68%,1.34,336.31,18.24,-5.10%,727441
45,"ACFC",26.26,6.57,14.49,1.20%,,31.70%,-45.06%,0.08%,0.15,76.85,4.01,0.25%,3936
46,"ACFN",67.30,18.09,20.47,2.70%,46.92%,37.70%,-12.19%,12.48%,11.78,216.80,3.61,-2.96%,121881
47,"ACG",1795.12,242.91,242.79,,,25.70%,1.94%,0.11%,0.23,1171.61,7.33,-0.81%,973401
48,"ACGL",7362.18,131.63,127.98,0.90%,-4.44%,93.50%,1.08%,1.86%,5.72,416.42,55.22,-1.27%,302659
49,"ACH",5055.73,543.04,156.18,,,2.00%,-1.29%,1.66%,17.68,146.93,9.28,-0.32%,153345
50,"ACHC",2670.63,50.04,46.86,0.30%,-54.53%,72.50%,-2.31%,13.37%,17.84,351.26,51.45,-3.60%,460514
51,"ACHN",354.70,96.65,96.45,0.10%,-0.71%,94.40%,-0.50%,17.32%,7.35,2273.54,3.47,-5.45%,1796850
52,"ACI",888.85,212.14,209.58,0.54%,-1.29%,61.30%,-1.38%,18.36%,4.13,9311.07,4.33,3.34%,9083689
53,"ACIM",,,,,,,,,,3.94,61.85,-0.86%,3132
54,"ACIW",2292.33,39.13,38.05,1.00%,-2.00%,98.90%,-2.76%,5.64%,7.55,284.16,59.02,0.73%,302177
55,"ACLS",240.34,109.75,108.37,0.50%,-8.04%,52.50%,7.03%,0.78%,0.98,861.79,2.20,0.46%,490265
56,"ACM",2950.69,96.30,88.92,1.00%,-16.19%,72.20%,0.12%,0.53%,0.80,596.28,30.07,-1.86%,678711
57,"ACMP",10229.89,178.04,174.30,0.10%,0.04%,72.40%,-1.79%,0.58%,2.39,423.68,56.91,-0.96%,488417
58,"ACN",52584.72,636.70,507.49,0.30%,14.44%,82.00%,1.01%,2.76%,4.49,3124.03,83.26,0.81%,3738412
59,"ACNB",111.33,5.98,5.84,1.70%,3.04%,7.90%,12.90%,0.03%,0.55,3.68,18.70,0.48%,1126
60,"ACO",1447.11,32.60,24.80,6.40%,0.97%,72.30%,2.26%,5.99%,6.38,232.85,44.90,1.15%,656804
61,"ACOR",1398.12,40.32,40.53,1.80%,17.11%,99.80%,-1.39%,8.28%,7.31,459.26,34.77,0.26%,845471
62,"ACPW",67.68,19.34,18.10,0.30%,-53.60%,46.30%,4.51%,2.21%,4.56,87.61,3.42,-2.29%,48049
63,"ACRE",378.53,27.98,25.98,1.20%,-84.65%,57.30%,8.20%,3.11%,3.36,240.29,13.54,0.07%,258059
64,"ACRX",506.25,41.46,42.40,0.10%,13.46%,86.40%,5.85%,11.04%,7.49,624.87,11.99,-1.80%,436868
65,"ACST",128.95,103.99,48.36,,,,,0.10%,0.10,511.54,1.23,-0.81%,89058
66,"ACT",26694.78,132.50,173.04,0.40%,-46.41%,78.10%,15.52%,1.22%,1.33,1585.96,209.40,3.94%,8771532
67,"ACTG",722.05,48.33,46.17,1.60%,-3.37%,82.20%,12.49%,17.68%,12.39,658.65,14.87,-0.47%,887228
68,"ACTS",169.67,68.69,65.49,5.61%,,6.00%,18.14%,0.01%,0.10,54.62,2.47,0.00%,44077
69,"ACU",49.27,3.19,2.75,10.80%,-1.71%,39.10%,2.89%,0.12%,0.62,5.34,15.50,0.32%,2800
70,"ACUR",89.70,47.46,47.87,1.40%,-12.51%,64.40%,0.49%,1.00%,1.85,258.58,1.90,0.53%,421349
71,"ACW",187.97,47.59,47.00,0.10%,1.25%,90.80%,-0.58%,6.98%,12.56,261.22,3.85,-2.53%,195998
72,"ACWI",,,,,,,,,0.99,1506.61,56.91,-0.61%,1423086
73,"ACWX",,,,,,,,,0.34,504.16,45.76,-0.63%,161051
