"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AXN","Aoxing Pharmaceutical Company, Inc.","Healthcare","Drug Manufacturers - Major","USA",76.09,,1.55,38.27%,4173046
2,"CALA","Calithera Biosciences, Inc.","Healthcare","Biotechnology","USA",238.65,,15.45,16.08%,1295479
3,"CLDN","Celladon Corporation","Healthcare","Biotechnology","USA",500.23,,24.70,15.10%,2259527
4,"DRRX","DURECT Corporation","Healthcare","Drug Manufacturers - Other","USA",152.37,,1.69,26.11%,3107764
5,"DUST","Direxion Daily Gold Miners Bear 3X ETF","Financial","Exchange Traded Fund","USA",,,18.99,22.44%,6391174
6,"ICEL","Cellular Dynamics International, Inc.","Healthcare","Biotechnology","USA",88.91,,6.49,15.48%,489091
7,"JDST","Direxion Daily Jr Gld Mnrs Bear 3X ETF","Financial","Exchange Traded Fund","USA",,,12.43,21.51%,4103959
8,"MDSY","ModSys International Ltd.","Technology","Application Software","USA",42.54,,2.80,17.15%,100
9,"ONP","Orient Paper, Inc.","Consumer Goods","Paper & Paper Products","China",19.30,1.38,1.15,21.05%,168768
