"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"CTCT",1.60,1.55,12.08%,5.72%,16.34%,-14.25%,140.17%,61.72,28.22,0.00%,0.00%,0.00%,0
2,"HIIQ",,0.85,11.37%,5.91%,5.84%,-23.13%,43.03%,62.75,12.00,0.00%,0.00%,0.00%,0
3,"THTI",0.40,0.22,-2.78%,13.25%,30.77%,-50.70%,81.82%,51.77,1.40,0.00%,0.00%,0.00%,0
4,"UEC",1.89,0.13,-16.20%,-25.70%,-38.22%,-54.72%,20.00%,34.74,1.20,0.00%,0.00%,0.00%,0
5,"DPRX",,0.97,-4.29%,-4.29%,-4.29%,-34.43%,26.83%,,10.40,0.00%,0.00%,0.00%,0
6,"UBIC",,0.98,33.74%,58.62%,46.83%,-24.96%,124.59%,69.98,9.50,0.00%,0.00%,0.00%,0
7,"PXLW",2.32,0.59,4.91%,8.49%,30.87%,-33.59%,184.83%,55.29,6.01,0.00%,0.00%,0.00%,0
8,"GTN",3.01,0.76,14.05%,5.51%,16.53%,-25.12%,138.66%,59.18,11.36,0.00%,0.00%,0.00%,0
9,"PTX",1.45,0.42,9.09%,39.94%,78.84%,-9.47%,224.40%,64.89,5.45,0.00%,0.00%,0.00%,0
10,"AQQ",0.53,0.23,3.62%,13.00%,-14.38%,-52.12%,53.64%,54.31,1.69,0.00%,0.00%,0.00%,0
11,"PRTA",,3.07,-10.02%,-1.27%,36.48%,-31.15%,372.14%,47.31,33.90,0.00%,0.00%,0.00%,0
12,"ATHL",,1.61,6.46%,9.27%,19.70%,-2.57%,50.26%,61.68,37.94,0.00%,0.00%,0.00%,0
13,"TLOG",,0.68,6.15%,-6.05%,-11.25%,-47.86%,30.56%,52.58,7.69,0.00%,0.00%,0.00%,0
14,"CRRS",0.63,0.29,1.74%,11.70%,-6.24%,-47.45%,134.96%,51.57,2.89,0.00%,0.00%,0.00%,0
15,"DANG",4.90,1.23,0.28%,12.00%,43.41%,-23.57%,293.51%,54.22,14.56,0.00%,0.00%,0.00%,0
16,"RSYS",1.20,0.26,-1.03%,-0.12%,5.86%,-31.73%,75.74%,50.88,3.55,0.00%,0.00%,0.00%,0
17,"INO",4.09,0.27,-7.45%,-1.75%,38.21%,-20.76%,479.63%,47.08,3.13,0.00%,0.00%,0.00%,0
18,"GNVC",1.82,0.26,3.83%,-11.31%,58.67%,-32.00%,1056.00%,49.21,2.89,0.00%,0.00%,0.00%,0
19,"CYTK",1.56,0.64,4.62%,6.40%,11.83%,-30.67%,65.28%,55.63,9.90,0.00%,0.00%,0.00%,0
20,"ESYS",0.96,0.84,1.36%,2.17%,33.40%,-22.88%,193.67%,55.30,13.45,0.00%,0.00%,0.00%,0
21,"RARE",,5.15,8.33%,13.82%,13.82%,-15.72%,68.00%,61.07,58.80,0.00%,0.00%,0.00%,0
22,"PCRX",,4.91,6.12%,4.13%,39.67%,-12.62%,195.06%,57.10,72.88,0.00%,0.00%,0.00%,0
23,"AEHR",1.90,0.21,2.85%,9.29%,22.24%,-20.61%,223.86%,56.34,2.85,0.00%,0.00%,0.00%,0
24,"ITCI",,1.57,-1.44%,3.73%,4.42%,-13.64%,89.08%,50.76,18.36,0.00%,0.00%,0.00%,0
25,"ENZY",,1.36,-7.71%,-14.11%,-12.39%,-38.24%,52.21%,40.98,21.69,0.00%,0.00%,0.00%,0
26,"PETX",,1.30,-10.28%,-21.02%,-5.94%,-46.08%,141.01%,32.62,15.81,0.00%,0.00%,0.00%,0
27,"HPTX",,1.67,1.47%,-2.60%,6.74%,-18.62%,68.59%,52.12,26.84,0.00%,0.00%,0.00%,0
28,"HXM",1.21,0.12,8.39%,-4.24%,-14.46%,-83.33%,43.52%,50.95,1.55,0.00%,0.00%,0.00%,0
29,"OMED",,2.61,-9.33%,-12.89%,20.78%,-32.03%,138.44%,44.07,28.78,0.00%,0.00%,0.00%,0
30,"AMRI",1.67,1.10,-6.44%,10.30%,31.63%,-17.81%,89.35%,51.30,16.89,0.00%,0.00%,0.00%,0
31,"KPTI",,2.95,3.53%,0.65%,30.59%,-23.15%,137.35%,54.71,36.79,0.00%,0.00%,0.00%,0
32,"DMRC",0.39,1.39,3.73%,4.69%,40.51%,-11.38%,83.40%,57.96,32.61,0.00%,0.00%,0.00%,0
33,"APPY",0.64,0.23,-15.69%,-12.89%,13.46%,-42.27%,94.78%,39.85,2.24,0.00%,0.00%,0.00%,0
34,"RCON",2.48,0.49,1.32%,-5.41%,40.22%,-36.87%,225.81%,51.85,5.05,0.00%,0.00%,0.00%,0
35,"TSYS",1.37,0.13,14.34%,16.73%,8.30%,-18.38%,43.96%,72.97,2.62,0.00%,0.00%,0.00%,0
36,"SNTA",2.70,0.35,0.83%,-15.41%,-19.70%,-58.29%,21.08%,45.34,4.48,0.00%,0.00%,0.00%,0
37,"FLML",0.65,0.95,12.64%,28.11%,78.91%,-3.34%,252.44%,66.59,14.45,0.00%,0.00%,0.00%,0
38,"ECOL",1.19,1.48,12.60%,15.72%,26.94%,-0.66%,71.45%,75.44,42.26,0.00%,0.00%,0.00%,0
39,"CZR",,1.04,-8.30%,-14.19%,-3.84%,-27.34%,64.10%,40.62,19.43,0.00%,0.00%,0.00%,0
40,"MXWL",1.33,1.22,5.03%,25.20%,59.62%,-11.08%,187.20%,59.16,14.36,0.00%,0.00%,0.00%,0
41,"GIG",2.47,0.13,4.82%,5.22%,19.23%,-12.12%,109.64%,54.88,1.74,0.00%,0.00%,0.00%,0
42,"SAIC",,1.41,7.10%,6.14%,10.21%,-1.38%,34.74%,63.16,38.75,0.00%,0.00%,0.00%,0
43,"BPTH",0.92,0.26,-7.93%,-29.11%,12.01%,-51.05%,542.50%,35.62,2.57,0.00%,0.00%,0.00%,0
44,"ROVI",1.69,1.10,-4.77%,-4.34%,9.25%,-15.63%,40.00%,45.61,22.40,0.00%,0.00%,0.00%,0
45,"CLDX",2.34,1.48,-13.34%,-29.41%,-29.76%,-56.23%,54.41%,36.22,17.00,0.00%,0.00%,0.00%,0
46,"ACRX",,0.80,-4.70%,-3.32%,8.35%,-17.01%,111.59%,47.88,11.32,0.00%,0.00%,0.00%,0
47,"BV",,0.41,-0.31%,3.37%,-11.82%,-32.52%,20.31%,53.44,7.76,0.00%,0.00%,0.00%,0
