"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18116.26,333.51,333.12,0.20%,2.30%,84.60%,-0.25%,0.80%,1.28,2081.75,55.28,1.77%,2055279
2,"AA",19120.46,1178.82,1176.16,0.20%,2.17%,67.30%,-1.91%,4.99%,3.09,18984.64,16.76,3.33%,18488308
3,"AAC",438.20,20.67,7.41,42.90%,-3.65%,,,0.01%,0.00,243.50,21.78,2.74%,311446
4,"AADR",,,,,,,,,,3.46,37.37,0.00%,1120
5,"AAIT",,,,,,,,,0.02,1.76,34.42,3.61%,3030
6,"AAL",28905.58,717.26,716.15,0.20%,2.43%,70.30%,-0.06%,2.68%,1.46,13133.40,41.35,2.61%,12509689
7,"AAMC",1287.98,2.24,1.59,4.50%,11.14%,74.90%,3.39%,11.17%,15.11,11.78,540.00,-6.09%,7098
8,"AAME",79.94,20.71,4.63,77.33%,-0.03%,4.90%,-0.10%,0.14%,1.21,5.20,3.85,-0.26%,8823
9,"AAN",1751.35,72.31,71.88,0.70%,19.33%,,2.72%,5.05%,4.85,747.13,24.76,2.23%,468128
10,"AAOI",225.70,14.80,14.38,2.80%,4.54%,63.90%,-0.03%,10.45%,5.87,255.81,16.15,5.90%,233775
11,"AAON",1069.39,55.01,42.17,21.30%,1.11%,57.50%,0.24%,3.62%,9.11,167.53,19.65,1.08%,173407
12,"AAP",10633.92,72.98,72.52,0.60%,2.82%,99.60%,2.67%,2.57%,2.51,744.84,146.96,0.86%,724478
13,"AAPL",627561.82,5866.16,5862.68,0.05%,30.82%,63.50%,-0.43%,1.70%,1.69,59026.60,108.00,0.95%,43518548
14,"AAT",1620.41,42.62,36.51,0.50%,7.37%,99.30%,-0.44%,2.52%,6.03,152.26,38.34,0.84%,250680
15,"AAU",85.63,69.06,57.19,5.36%,,5.90%,123.32%,0.39%,1.55,145.02,1.18,-4.84%,286877
16,"AAV",708.82,169.17,168.09,0.25%,,58.00%,4.00%,0.31%,1.34,384.90,4.27,1.91%,223496
17,"AAVL",794.46,22.26,11.28,29.60%,,29.40%,57.00%,7.15%,3.55,226.89,35.88,0.53%,76702
18,"AAWW",918.71,25.26,24.71,1.90%,-9.94%,99.90%,-0.08%,9.94%,9.71,252.89,36.92,1.51%,236175
19,"AAXJ",,,,,,,,,1.75,618.50,62.88,0.50%,956015
20,"AB",2539.76,97.16,91.58,0.20%,18.98%,29.00%,2.94%,0.98%,3.53,254.81,26.60,1.76%,460606
21,"ABAC",65.49,27.75,12.28,53.91%,,0.60%,-4.10%,0.91%,2.04,54.49,2.40,1.69%,85383
22,"ABAX",1160.46,22.52,21.22,5.90%,7.01%,,-0.51%,14.85%,16.14,195.20,52.65,2.17%,323261
23,"ABB",49969.22,2299.55,2291.83,,,4.50%,16.33%,0.15%,1.99,1768.08,21.94,0.97%,648654
24,"ABBV",97487.27,1593.45,1572.33,0.08%,14.76%,84.50%,4.61%,7.04%,7.81,14171.95,63.46,3.73%,14728451
25,"ABC",19036.40,224.38,212.47,0.20%,0.22%,85.90%,-0.49%,2.97%,4.08,1546.73,85.41,0.67%,3221610
26,"ABCB",660.48,26.74,24.04,2.00%,2.49%,63.10%,0.15%,4.20%,10.03,100.73,24.80,0.40%,186502
27,"ABCD",67.80,44.90,13.16,0.10%,-0.10%,11.00%,-0.46%,0.05%,0.35,18.67,1.53,1.32%,18013
28,"ABCO",1922.45,36.30,36.00,0.80%,19.80%,,1.23%,8.05%,9.22,314.50,53.67,1.34%,273179
29,"ABCW",269.87,9.05,,21.38%,,,,,0.00,28.90,30.04,0.74%,1527
30,"ABG",2066.04,29.77,29.47,0.70%,-36.35%,99.40%,1.75%,6.01%,4.94,358.80,70.04,0.92%,394347
31,"ABIO",24.35,20.99,17.48,1.90%,-5.23%,13.20%,-0.04%,12.83%,11.12,201.62,1.12,-3.45%,115684
32,"ABM",1529.78,55.75,50.36,1.90%,2.02%,85.00%,-0.62%,2.75%,6.42,215.71,27.64,0.73%,375448
33,"ABMD",1268.42,40.46,39.80,2.60%,7.57%,,-0.01%,17.68%,29.08,242.00,32.79,4.59%,1302187
34,"ABR",344.71,50.47,38.63,3.30%,14.04%,59.50%,1.30%,0.47%,1.76,102.52,6.73,-1.46%,55871
35,"ABT",65395.92,1503.70,1500.64,0.10%,7.74%,68.80%,-0.23%,0.75%,2.43,4614.28,43.59,0.23%,5982059
36,"ABTL",79.74,9.00,8.85,6.31%,,62.20%,-2.32%,1.41%,0.94,132.23,9.24,4.29%,88247
