"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",19462.38,333.26,332.37,0.30%,1.01%,86.30%,1.15%,0.96%,1.60,1992.85,58.40,-0.87%,1677989
2,"AA",16423.78,1172.29,1170.74,0.20%,47.31%,68.10%,9.07%,6.49%,3.87,19623.75,14.01,-1.20%,10223908
3,"AADR",,,,,,,,,,2.44,38.17,-0.65%,14061
4,"AAIT",,,,,,,,,0.25,2.01,33.93,-0.50%,788
5,"AAL",28952.04,720.20,716.11,0.80%,372.03%,58.20%,64.92%,1.87%,1.31,10209.69,40.20,-4.94%,37280208
6,"AAMC",2441.49,2.24,1.55,3.00%,4.67%,74.40%,13.48%,9.30%,8.17,17.65,1089.95,1.89%,12335
7,"AAME",77.75,20.79,4.72,8.70%,,5.10%,2.81%,0.09%,0.41,10.06,3.74,1.08%,7458
8,"AAN",2470.99,72.23,70.05,0.70%,24.35%,0.80%,,8.29%,6.12,948.19,34.21,-1.24%,462852
9,"AAOI",329.82,14.79,13.70,1.10%,18.16%,49.10%,78.69%,4.98%,2.77,246.13,22.30,-0.13%,160578
10,"AAON",1178.43,36.62,28.06,21.50%,-1.48%,58.00%,-1.29%,3.67%,8.13,126.72,32.18,-0.86%,80915
11,"AAP",9066.23,72.95,72.51,0.70%,-15.96%,95.50%,0.33%,2.63%,2.56,746.26,124.28,-1.47%,541918
12,"AAPL",556477.33,6029.66,6024.40,0.04%,6.82%,62.00%,-2.94%,0.28%,0.24,70299.78,92.29,-1.67%,54535392
13,"AAT",1419.75,41.93,35.84,1.10%,-7.61%,99.90%,2.35%,2.20%,5.09,154.94,33.86,-0.50%,118585
14,"AAU",95.40,65.34,52.88,5.36%,,5.90%,140.18%,0.37%,1.87,105.87,1.46,10.61%,472497
15,"AAV",1142.10,168.95,167.73,0.25%,,58.00%,4.01%,0.43%,1.50,477.14,6.76,1.50%,336472
16,"AAWW",934.77,25.23,24.65,2.30%,12.18%,94.30%,7.13%,11.99%,11.24,262.98,37.05,-2.68%,152767
17,"AAXJ",,,,,,,,,2.33,438.97,62.64,-0.46%,174104
18,"AB",2429.10,96.24,90.81,0.40%,-0.76%,28.60%,-0.88%,2.11%,4.94,388.98,25.24,-1.37%,1139734
19,"ABAX",967.80,22.46,21.12,6.10%,12.85%,97.20%,8.36%,15.44%,22.26,146.53,43.09,0.07%,104907
20,"ABB",53796.44,2308.86,2291.55,,,6.00%,7.49%,0.25%,2.83,2062.01,23.30,-0.34%,2641559
21,"ABBV",85323.16,1590.07,1588.25,0.10%,35.78%,70.40%,0.32%,0.88%,2.42,5791.82,53.66,-1.05%,3941015
