"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"LPDX",,0.15,65.92%,68.00%,46.13%,0.00%,85.36%,89.32,5.19,62.70%,0.00%,62.70%,8234409
2,"CNET",1.21,0.44,115.54%,170.57%,158.15%,-32.41%,398.15%,68.00,2.69,26.89%,22.27%,3.77%,10423418
3,"IG",0.86,0.30,21.93%,38.61%,78.28%,11.68%,388.89%,78.36,8.80,18.12%,16.56%,1.34%,4555730
4,"RGDO",,0.12,9.97%,-41.52%,-78.92%,-91.63%,22.92%,36.76,1.18,15.69%,16.83%,-0.98%,1872099
5,"BOTA",1.19,0.09,9.69%,-1.86%,-38.08%,-64.78%,18.57%,54.35,2.49,14.22%,15.81%,-1.38%,130005
6,"AIXG",2.13,0.27,10.43%,9.47%,-2.70%,-19.39%,17.39%,64.26,14.38,14.13%,-0.96%,15.24%,360107
7,"ATOS",,0.24,-27.12%,-19.89%,-19.50%,-74.05%,41.12%,37.23,1.51,12.69%,7.86%,4.48%,877997
8,"RCON",2.43,0.35,9.43%,14.98%,13.98%,-37.63%,158.55%,60.05,4.99,12.64%,12.64%,0.00%,186840
9,"IMPR",,0.71,9.50%,4.37%,1.37%,-14.58%,22.46%,60.92,14.94,12.42%,14.31%,-1.66%,92760
10,"STRP",,0.48,32.42%,37.46%,55.04%,11.20%,157.25%,84.96,13.30,11.95%,11.58%,0.34%,381912
11,"STV",0.48,0.23,1.50%,-9.37%,21.74%,-23.40%,202.24%,49.68,3.83,11.34%,11.66%,-0.29%,261776
12,"FORD",-0.16,0.07,14.94%,14.80%,0.40%,-28.57%,30.43%,66.84,1.50,11.11%,13.64%,-2.22%,597775
13,"ICLD",-2.43,0.30,-4.56%,-10.57%,-45.20%,-76.43%,107.73%,44.77,4.57,10.65%,11.74%,-0.97%,442421
14,"RLGT",0.35,0.10,14.44%,16.65%,22.84%,4.29%,76.33%,80.83,3.65,10.61%,1.11%,9.39%,520339
15,"MAGS",0.71,0.41,6.06%,17.94%,28.74%,-18.99%,60.97%,62.02,4.99,9.91%,9.43%,0.44%,355322
16,"MHR",1.49,0.32,-3.33%,-6.84%,-20.66%,-35.28%,15.61%,45.82,6.00,9.89%,-4.31%,14.84%,13341394
17,"SWFT",2.77,0.48,0.66%,-2.09%,-9.26%,-21.45%,11.06%,52.45,20.98,9.56%,9.90%,-0.31%,10310877
18,"RBY",0.32,0.08,5.42%,-1.07%,14.20%,-21.47%,113.85%,54.47,1.39,9.45%,10.32%,-0.79%,1691368
19,"NXTD",,0.43,-1.80%,-15.34%,-29.02%,-60.83%,108.82%,49.55,2.84,9.23%,13.60%,-3.85%,1547409
20,"RENT",1.19,2.41,17.77%,20.66%,17.65%,-10.38%,95.39%,70.79,61.84,8.87%,8.93%,-0.05%,343704
21,"ALIM",1.35,0.28,-9.80%,-9.85%,-12.04%,-39.22%,210.91%,41.66,5.13,8.69%,10.56%,-1.69%,565344
22,"SAND",,0.24,-10.68%,-22.33%,-18.90%,-40.83%,15.48%,33.50,4.55,8.59%,9.64%,-0.95%,1123626
23,"HAWK",,0.50,8.37%,7.89%,15.60%,1.68%,49.28%,69.81,30.23,8.55%,0.77%,7.72%,1459712
24,"THTI",0.45,0.17,3.17%,14.10%,28.98%,-44.37%,102.56%,53.62,1.58,8.22%,12.86%,-4.11%,183822
25,"AGTC",,1.26,12.23%,8.97%,7.05%,-44.66%,71.35%,62.56,19.02,7.58%,9.69%,-1.92%,71676
26,"JRJC",2.11,1.09,9.80%,38.11%,68.89%,-23.32%,423.56%,61.09,9.11,7.56%,8.45%,-0.83%,3147256
27,"SGB",0.09,0.39,3.77%,0.60%,8.12%,-13.16%,57.27%,56.74,14.25,7.55%,5.56%,1.89%,13386
28,"SCOK",1.36,1.00,-8.56%,30.99%,137.89%,-58.27%,371.08%,49.52,3.91,7.42%,7.71%,-0.27%,2173345
29,"MACK",,0.38,10.65%,18.79%,29.31%,-6.42%,283.90%,70.70,7.87,7.37%,9.76%,-2.18%,5705837
