"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"ARDX",,0.89,38.53%,39.37%,30.58%,-12.04%,67.11%,77.85,19.00,33.71%,23.38%,8.37%,894772
2,"LAKE",-0.27,0.49,28.97%,40.36%,36.09%,-4.15%,89.68%,74.25,9.01,29.64%,12.91%,14.82%,5744569
3,"RVP",0.52,0.14,18.82%,20.41%,12.56%,-10.25%,56.09%,70.12,3.59,23.79%,1.99%,21.38%,662840
4,"ANGI",,0.25,5.53%,-2.56%,-34.71%,-66.45%,20.86%,56.80,7.59,19.15%,-0.78%,20.09%,10520032
5,"TKMR",,1.60,21.44%,39.41%,59.52%,-20.74%,260.03%,65.36,24.95,18.02%,-4.66%,23.79%,28351614
6,"RTGN",,0.35,13.11%,7.82%,-6.43%,-33.29%,39.51%,61.39,5.65,16.74%,12.10%,4.13%,58818
7,"PTLA",,1.21,9.41%,11.45%,14.38%,-6.86%,49.67%,63.06,29.32,15.98%,8.51%,6.88%,1535032
8,"FRO",2.48,0.11,-0.69%,-29.96%,-54.17%,-72.20%,22.03%,41.03,1.44,14.29%,4.35%,9.52%,2373684
9,"GBIM",,0.74,-15.25%,-17.36%,-22.85%,-47.40%,16.54%,40.26,7.89,14.18%,14.68%,-0.43%,16606
10,"CGA",0.83,0.23,-2.43%,2.10%,-17.43%,-55.88%,18.42%,51.25,2.25,13.64%,0.45%,13.13%,4325745
11,"MASI",0.72,0.46,11.79%,7.05%,-5.97%,-25.40%,24.46%,69.83,24.02,12.88%,12.61%,0.23%,3961093
12,"OCRX",2.59,0.24,2.67%,-1.23%,-41.84%,-72.42%,23.04%,54.31,5.50,12.24%,13.40%,-1.02%,86722
13,"AYI",1.58,2.01,6.50%,10.11%,4.97%,-10.61%,43.06%,68.91,130.62,10.97%,4.50%,6.19%,1756349
14,"APT",0.66,0.22,29.53%,41.80%,59.34%,4.97%,142.57%,76.21,3.59,10.46%,2.57%,7.69%,2949914
15,"NYT",1.47,0.20,3.30%,-0.77%,-15.77%,-28.82%,9.63%,58.00,12.30,9.63%,9.53%,0.09%,3989796
16,"DGSE",0.04,0.07,4.68%,2.46%,-23.40%,-50.00%,20.00%,55.72,1.50,9.49%,9.49%,0.00%,38666
17,"VLTC",2.53,0.17,-5.09%,-7.43%,-42.51%,-70.50%,13.11%,47.23,1.64,8.62%,0.62%,7.95%,44052
18,"BWC",0.71,0.36,5.26%,1.54%,-7.58%,-16.69%,8.65%,62.18,29.90,7.98%,3.10%,4.73%,2297110
19,"CVEO",,1.56,-47.29%,-49.25%,-49.47%,-55.92%,7.93%,16.88,12.52,7.84%,5.65%,2.07%,7802467
20,"MSB",1.86,0.57,1.45%,5.39%,1.75%,-15.06%,11.14%,54.62,20.55,7.65%,6.64%,0.94%,104284
21,"ADMS",,0.76,13.60%,15.99%,13.93%,-7.63%,66.22%,70.24,19.98,7.30%,8.00%,-0.64%,82041
22,"ASM",1.64,0.12,-15.64%,-25.87%,-19.21%,-48.24%,72.94%,29.97,1.47,7.30%,10.53%,-2.92%,119860
23,"NLNK",,1.73,-9.58%,-6.80%,-13.92%,-57.09%,43.44%,44.29,22.95,7.14%,-4.34%,12.00%,1655779
24,"CERU",,0.36,13.88%,7.78%,-15.82%,-43.92%,34.93%,62.15,4.52,7.11%,8.65%,-1.42%,82067
25,"GLYC",,0.51,-4.31%,-6.39%,-25.56%,-61.03%,22.92%,45.10,7.40,6.63%,-0.13%,6.77%,96202
26,"FLWS",1.82,0.25,11.14%,30.06%,37.39%,2.00%,68.65%,76.01,7.64,6.26%,5.09%,1.11%,523403
27,"MCOX",2.34,0.20,2.65%,0.48%,3.58%,-29.07%,32.26%,53.37,4.10,6.22%,5.40%,0.78%,31340
28,"HNH",0.93,0.82,8.67%,11.14%,21.02%,-1.03%,62.15%,67.20,27.89,6.21%,6.49%,-0.27%,95455
29,"TEAR",3.17,0.22,-4.56%,-9.66%,-37.49%,-70.86%,9.73%,44.32,3.61,6.18%,5.56%,0.59%,283950
30,"PRAA",0.93,1.14,-0.13%,-3.14%,-0.84%,-13.31%,16.66%,48.41,55.45,6.17%,5.96%,0.19%,1882937
31,"CBAN",0.57,0.11,7.25%,7.71%,13.11%,-0.42%,30.27%,71.78,7.10,5.97%,5.97%,0.00%,19721
32,"JTPY",,0.17,-7.66%,-14.94%,-22.48%,-63.77%,19.97%,38.69,1.62,5.86%,10.18%,-3.92%,35215
33,"RCAP",,0.76,1.95%,7.46%,-3.12%,-39.91%,57.23%,56.65,23.81,5.73%,-2.58%,8.53%,2465227
34,"SSY",1.07,0.13,10.75%,21.28%,22.88%,-47.28%,127.94%,62.85,1.55,5.44%,6.90%,-1.36%,13851
35,"VICL",1.55,0.04,0.21%,-4.56%,-7.10%,-34.08%,16.83%,50.06,1.18,5.36%,4.42%,0.89%,2390428
36,"CMRX",,1.51,6.99%,15.53%,38.11%,-6.13%,124.46%,59.81,29.09,5.32%,4.72%,0.58%,612642
37,"MTL",2.65,0.15,-12.79%,-27.88%,-39.14%,-65.80%,98.33%,43.26,1.19,5.31%,-2.46%,7.96%,4684038
38,"QURE",,0.43,-2.75%,-7.56%,-19.49%,-48.11%,17.37%,47.33,9.73,5.19%,6.11%,-0.86%,38866
39,"REPH",,0.32,-11.41%,-36.69%,-50.85%,-68.52%,14.76%,33.57,3.11,5.07%,5.78%,-0.68%,15983
40,"XBKS",0.28,0.09,3.91%,3.09%,8.01%,-1.63%,20.91%,62.50,6.65,5.06%,3.26%,1.74%,78269
