"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMCF","Andatee China Marine Fuel Services Corporation","Basic Materials","Oil & Gas Equipment & Services","China",26.88,,3.04,16.03%,723827
2,"CMGE","China Mobile Games and Entertainment Group Limited","Technology","Multimedia & Graphics Software","China",500.38,31.16,18.48,16.30%,1642383
3,"DGLY","Digital Ally Inc.","Technology","Scientific & Technical Instruments","USA",15.75,,7.01,21.07%,7289517
4,"EVRY","EveryWare Global, Inc.","Consumer Goods","Home Furnishings & Fixtures","USA",45.55,,2.56,24.27%,3763131
5,"HGSH","China HGS Real Estate Inc.","Financial","Real Estate Development","China",211.69,8.10,5.60,19.15%,1530147
6,"HTBX","Heat Biologics, Inc.","Healthcare","Biotechnology","USA",26.83,,5.30,28.02%,1362883
7,"KUTV","Ku6 Media Co., Ltd.","Services","Entertainment - Diversified","China",59.57,,1.55,23.02%,449210
8,"RITT","RiT Technologies Ltd.","Technology","Communication Equipment","Israel",11.73,,1.19,29.34%,180499
9,"ZBB","ZBB Energy Corporation","Industrial Goods","Industrial Electrical Equipment","USA",30.81,,1.44,18.03%,1550153
