"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ATHX","Athersys, Inc.","Healthcare","Biotechnology","USA",210.51,,1.33,-51.28%,12143096
2,"ELTK","Eltek Ltd.","Technology","Printed Circuit Boards","Israel",14.30,19.64,1.65,-23.61%,306091
3,"NETE","Net Element, Inc.","Technology","Internet Software & Services","USA",91.00,,2.37,-15.96%,34547
4,"NEWL","NewLead Holdings Ltd.","Services","Shipping","Greece",0.16,,0.10,-20.38%,14200413
5,"OGXI","OncoGenex Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",143.07,,3.85,-60.31%,3566712
6,"RUBI","the Rubicon Project, Inc.","Technology","Application Software","USA",676.69,,16.30,-16.37%,630180
7,"SQNS","Sequans Communications S.A.","Technology","Semiconductor - Integrated Circuits","France",111.20,,1.59,-15.43%,1423380
8,"STS","Supreme Industries Inc.","Consumer Goods","Trucks & Other Vehicles","USA",110.73,17.33,5.74,-15.09%,426674
