"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ADAT","Authentidate Holding Corp.","Technology","Healthcare Information Services","USA",37.76,,1.59,31.32%,1340919
2,"ASTM","Aastrom Biosciences, Inc.","Healthcare","Biotechnology","USA",7.79,,4.35,27.57%,370010
3,"EMIS","Emisphere Technologies, Inc.","Healthcare","Drug Delivery","USA",5.76,,0.22,15.79%,259900
4,"FREE","FreeSeas Inc.","Services","Shipping","Greece",0.66,,0.37,15.00%,5700685
5,"HAUP","Hauppauge Digital Inc.","Technology","Computer Peripherals","USA",1.62,,0.20,24.38%,30000
6,"JOB","General Employment Enterprises Inc.","Services","Staffing & Outsourcing Services","USA",4.34,,0.25,25.00%,106706
7,"LD","iPath DJ-UBS Lead TR Sub-Idx ETN","Financial","Exchange Traded Fund","USA",,,72.15,49.84%,0
8,"MBLX","Metabolix, Inc.","Basic Materials","Specialty Chemicals","USA",29.27,,1.12,31.76%,1042924
9,"MCOX","Mecox Lane Limited","Services","Specialty Retail, Other","China",41.09,,4.36,22.82%,83334
10,"NLST","Netlist Inc.","Technology","Semiconductor- Memory Chips","USA",18.50,,0.71,16.39%,227203
11,"OCRX","Ocera Therapeutics, Inc.","Healthcare","Biotechnology","USA",20.01,,10.80,24.14%,26653
12,"SHIP","Seanergy Maritime Holdings Corp.","Services","Shipping","Greece",13.99,,1.43,22.22%,89986
13,"SINO","Sino-Global Shipping America, Ltd.","Services","Air Delivery & Freight Services","USA",17.78,,2.18,23.87%,272475
14,"TSTC","Telestone Technologies Corp.","Technology","Communication Equipment","China",1.36,,0.15,35.45%,55100
15,"ZOOM","ZOOM Technologies, Inc.","Technology","Communication Equipment","China",7.09,,6.46,169.17%,3496437
