"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AQU","Aquasition Corp.","Conglomerates","Conglomerates","China",216.07,,7.07,-16.82%,963
2,"DGLY","Digital Ally Inc.","Technology","Scientific & Technical Instruments","USA",59.40,,18.65,-15.23%,1179231
3,"DLIA","dELiA*s, Inc.","Services","Catalog & Mail Order Houses","USA",23.40,,0.27,-15.62%,2746170
4,"GENE","Genetic Technologies Limited","Healthcare","Biotechnology","Australia",14.43,,0.55,-18.36%,428247
5,"MGPI","MGP Ingredients Inc.","Consumer Goods","Processed & Packaged Goods","USA",216.67,64.68,10.42,-15.22%,391220
6,"NETE","Net Element, Inc.","Technology","Internet Software & Services","USA",218.59,,2.88,-49.47%,14376345
7,"NIHD","NII Holdings Inc.","Technology","Wireless Communications","USA",22.43,,0.08,-36.15%,26435252
8,"NPSP","NPS Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",3484.51,1635.00,27.28,-16.56%,6151066
9,"RADA","RADA Electronic Industries Ltd.","Services","Electronics Wholesale","Israel",31.79,,2.92,-17.98%,2153177
10,"RLOC","ReachLocal, Inc.","Services","Advertising Agencies","USA",147.50,,4.28,-15.42%,2503219
11,"SCOK","SinoCoking Coal and Coke Chemical Industries, Inc.","Basic Materials","Nonmetallic Mineral Mining","China",134.47,159.25,5.40,-15.23%,1762037
