"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"RGDX",0.66,0.10,9.57%,3.35%,-15.18%,-51.54%,30.28%,59.34,1.42,0.00%,0.00%,0.00%,0
2,"APC",1.83,2.42,17.31%,19.37%,13.52%,-0.98%,34.83%,85.34,99.02,0.00%,0.00%,0.00%,0
3,"MPET",1.66,0.08,13.86%,22.67%,43.56%,-1.85%,63.92%,77.60,1.59,0.00%,0.00%,0.00%,0
4,"AQQ",0.45,0.22,3.75%,15.40%,-14.61%,-51.84%,54.55%,56.20,1.70,0.00%,0.00%,0.00%,0
5,"CPRX",0.52,0.15,7.26%,13.67%,26.74%,-34.25%,433.33%,60.42,2.40,0.00%,0.00%,0.00%,0
6,"IPWR",,1.07,-9.40%,8.09%,20.27%,-29.39%,72.62%,48.60,8.89,0.00%,0.00%,0.00%,0
7,"EDAP",1.94,0.19,2.42%,0.55%,12.53%,-28.57%,34.45%,54.60,3.20,0.00%,0.00%,0.00%,0
8,"GOL",2.67,0.20,19.56%,21.14%,27.14%,-21.91%,100.36%,78.49,5.49,0.00%,0.00%,0.00%,0
9,"K",0.50,0.86,7.01%,10.04%,8.69%,-0.57%,20.13%,85.52,66.39,0.00%,0.00%,0.00%,0
10,"PLCC",0.74,0.11,23.06%,33.57%,10.45%,-39.47%,101.75%,65.33,1.15,0.00%,0.00%,0.00%,0
11,"ASTC",2.16,0.19,14.31%,-1.47%,61.82%,-33.33%,342.62%,57.27,2.70,0.00%,0.00%,0.00%,0
12,"VHC",2.32,1.29,5.75%,-8.54%,-18.75%,-41.03%,22.08%,50.74,15.48,0.00%,0.00%,0.00%,0
13,"JRJC",1.90,0.45,-3.03%,-19.21%,39.89%,-37.07%,352.63%,43.79,5.16,0.00%,0.00%,0.00%,0
14,"RDNT",1.93,0.20,19.22%,46.35%,45.13%,-2.02%,126.00%,81.09,3.39,0.00%,0.00%,0.00%,0
15,"AUO",1.60,0.09,12.35%,20.08%,14.88%,-23.29%,40.96%,79.91,3.82,0.00%,0.00%,0.00%,0
16,"SBSA",1.27,0.32,10.90%,30.55%,58.48%,-1.81%,170.83%,75.52,6.50,0.00%,0.00%,0.00%,0
