"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BTH","Blyth, Inc.","Consumer Goods","Personal Products","USA",107.12,,9.07,35.98%,2287436
2,"BYFC","Broadway Financial Corporation","Financial","Savings & Loans","USA",25.60,2.79,1.70,29.77%,102618
3,"CBLI","Cleveland BioLabs, Inc.","Healthcare","Biotechnology","USA",22.80,,0.56,40.25%,4516571
4,"INFI","Infinity Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",530.49,,15.73,44.05%,17683164
5,"ISNS","Image Sensing Systems, Inc.","Technology","Application Software","USA",33.28,,7.78,16.64%,39918368
6,"MAGS","Magal Security Systems Ltd.","Services","Security & Protection Services","Israel",71.22,,5.13,16.33%,4287406
7,"MTBC","Medical Transcription Billing, Corp.","Technology","Healthcare Information Services","USA",37.22,,3.92,15.63%,421989
8,"PRLS","Peerless Systems Corp.","Technology","Application Software","USA",10.00,,4.46,22.30%,152065
9,"RUSL","Direxion Daily Russia Bull 3X ETF","Financial","Exchange Traded Fund","USA",,,16.23,17.69%,1710648
10,"SGOC","SGOCO Group, Ltd.","Consumer Goods","Electronic Equipment","China",37.22,4.27,3.14,50.24%,2013052
11,"TCCO","Technical Communications Corporation","Technology","Communication Equipment","USA",7.23,,4.85,23.41%,119365
12,"TPI","Tianyin Pharmaceutical Co., Inc.","Healthcare","Drug Manufacturers - Other","China",18.25,3.44,0.74,19.35%,177623
13,"TWTI","RBS Oil Trendpilot ETN","Financial","Exchange Traded Fund","USA",,,23.65,15.59%,923
14,"VII","Vicon Industries Inc.","Technology","Security Software & Services","USA",19.12,,5.10,20.28%,8075179
15,"VRTA","Vestin Realty Mortgage I, Inc","Financial","Mortgage Investment","USA",11.15,,2.45,25.64%,22255
