"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"VOCS",1.06,1.04,29.47%,35.98%,64.63%,-0.11%,122.61%,74.33,17.92,0.00%,0.00%,0.00%,0
2,"AGIO",,4.57,12.33%,29.33%,60.97%,-8.92%,187.57%,63.53,45.35,0.00%,0.00%,0.00%,0
3,"UBIC",,0.93,19.78%,44.92%,31.05%,-33.25%,99.76%,65.83,8.45,0.00%,0.00%,0.00%,0
4,"QCOR",0.93,4.77,23.74%,20.35%,33.88%,-5.32%,208.00%,69.97,80.58,0.00%,0.00%,0.00%,0
5,"HNR",2.38,0.21,6.96%,0.68%,-4.17%,-30.76%,52.54%,58.04,4.21,0.00%,0.00%,0.00%,0
6,"CART",-0.03,0.21,23.43%,39.33%,63.82%,-6.14%,141.86%,85.60,5.20,0.00%,0.00%,0.00%,0
7,"IDIX",0.00,0.52,-11.36%,-15.07%,10.46%,-37.66%,98.29%,42.24,5.81,0.00%,0.00%,0.00%,0
8,"CRESY",1.74,0.39,9.05%,11.26%,14.13%,-11.00%,52.79%,67.45,10.28,0.00%,0.00%,0.00%,0
9,"OIBR-C",,0.10,-3.55%,-9.06%,-11.97%,-34.03%,18.93%,46.90,1.57,0.00%,0.00%,0.00%,0
10,"AFH",,0.68,4.81%,10.38%,25.21%,-5.86%,133.06%,60.47,14.45,0.00%,0.00%,0.00%,0
11,"PXLW",2.32,0.53,-4.95%,-0.51%,21.18%,-39.12%,161.14%,47.84,5.51,0.00%,0.00%,0.00%,0
12,"FLML",0.65,0.92,6.21%,19.45%,66.02%,-11.17%,223.90%,59.25,13.28,0.00%,0.00%,0.00%,0
13,"RDNT",1.92,0.22,28.79%,57.35%,60.24%,-5.29%,150.67%,86.00,3.76,0.00%,0.00%,0.00%,0
14,"PBR-A",,0.49,24.30%,28.84%,7.26%,-24.24%,47.42%,80.55,14.83,0.00%,0.00%,0.00%,0
15,"STS",0.95,0.31,14.38%,18.51%,34.52%,-2.38%,103.28%,69.90,8.22,0.00%,0.00%,0.00%,0
16,"VTNR",-1.29,0.49,40.19%,75.03%,124.69%,-1.56%,221.70%,80.90,7.56,0.00%,0.00%,0.00%,0
17,"IRS",1.71,0.32,9.90%,13.75%,23.97%,-4.28%,86.91%,73.82,12.07,0.00%,0.00%,0.00%,0
18,"EDN",2.18,0.49,16.34%,28.93%,66.90%,-17.29%,329.19%,71.18,7.94,0.00%,0.00%,0.00%,0
19,"SRPT",0.87,1.85,-3.76%,-6.32%,-21.21%,-55.53%,104.04%,47.02,24.73,0.00%,0.00%,0.00%,0
20,"WSTG",0.87,0.76,25.63%,39.25%,63.57%,-0.50%,115.33%,86.35,21.89,0.00%,0.00%,0.00%,0
21,"ZOOM",3.50,0.42,-14.74%,-14.37%,2.68%,-52.29%,80.00%,36.63,3.96,0.00%,0.00%,0.00%,0
22,"PBR",1.85,0.48,21.77%,26.88%,6.24%,-25.19%,44.04%,81.35,14.22,0.00%,0.00%,0.00%,0
23,"NTE",0.68,0.23,11.38%,12.28%,-3.64%,-47.45%,27.23%,70.85,6.72,0.00%,0.00%,0.00%,0
24,"ENG",1.16,0.06,4.31%,4.84%,23.25%,-13.83%,440.00%,56.63,1.62,0.00%,0.00%,0.00%,0
25,"TFSL",0.90,0.27,4.27%,7.55%,9.16%,-0.46%,27.58%,66.99,12.86,0.00%,0.00%,0.00%,0
26,"RGEN",1.01,0.90,-0.12%,-4.15%,17.96%,-18.31%,91.32%,51.64,14.10,0.00%,0.00%,0.00%,0
27,"BGS",0.62,0.72,10.95%,10.51%,2.16%,-9.24%,26.00%,74.33,33.47,0.00%,0.00%,0.00%,0
28,"BBRG",1.59,0.43,4.69%,5.03%,-0.58%,-18.17%,12.28%,63.93,15.63,0.00%,0.00%,0.00%,0
29,"KFS",1.01,0.23,25.28%,31.00%,50.45%,-1.82%,96.72%,82.59,5.39,0.00%,0.00%,0.00%,0
30,"INSY",1.53,3.60,-15.88%,-12.46%,36.10%,-36.01%,498.02%,37.82,37.06,0.00%,0.00%,0.00%,0
31,"LPCN",,0.30,1.64%,-2.40%,-6.81%,-20.50%,13.73%,51.89,7.95,0.00%,0.00%,0.00%,0
32,"ENSV",-0.12,0.16,-0.02%,2.35%,47.37%,-11.27%,183.72%,53.57,2.44,0.00%,0.00%,0.00%,0
33,"DRL",2.57,0.67,-9.92%,-17.33%,-44.67%,-62.52%,10.11%,41.06,9.37,0.00%,0.00%,0.00%,0
34,"BBD",1.74,0.42,17.14%,26.46%,20.00%,-13.25%,46.94%,82.82,14.87,0.00%,0.00%,0.00%,0
35,"RGLS",,0.81,-17.88%,-20.96%,-12.68%,-40.73%,31.05%,37.21,7.64,0.00%,0.00%,0.00%,0
