"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",19515.71,333.26,332.59,0.30%,2.78%,85.70%,0.21%,0.71%,1.34,1764.90,58.33,-0.39%,1844309
2,"AA",19327.10,1176.33,1174.72,0.20%,1.60%,69.00%,1.99%,5.16%,3.94,15387.09,16.50,0.43%,13042173
3,"AADR",,,,,,,,,,5.73,38.36,-0.21%,19549
4,"AAIT",,,,,,,,,0.35,3.89,34.68,-0.46%,749
5,"AAL",29117.69,720.20,715.78,0.70%,12.05%,70.10%,20.35%,2.11%,1.21,12535.43,40.60,0.42%,6494982
6,"AAMC",1276.46,2.24,1.56,3.60%,11.01%,72.50%,-2.35%,13.08%,10.53,19.37,593.50,4.15%,19954
7,"AAME",86.32,20.70,4.62,75.13%,,4.90%,1.10%,0.12%,0.50,11.49,4.17,0.00%,4912
8,"AAN",1877.17,72.31,71.91,0.70%,26.17%,0.80%,-87.63%,7.40%,7.26,733.01,25.58,-1.46%,556245
9,"AAOI",289.19,14.80,13.74,1.10%,-1.81%,63.00%,27.20%,8.66%,5.12,232.40,19.56,0.10%,169430
10,"AAON",1050.69,55.01,42.17,21.50%,-1.47%,57.40%,-0.80%,3.24%,8.03,170.07,18.65,-2.36%,63642
11,"AAP",9780.78,72.98,72.52,0.60%,3.06%,96.80%,1.73%,2.39%,2.31,750.18,135.14,0.84%,400138
12,"AAPL",601960.56,5987.87,5983.71,0.04%,1.74%,62.50%,0.48%,1.73%,1.93,53552.43,100.57,0.04%,52015984
13,"AAT",1505.34,42.62,36.51,1.10%,28.16%,86.10%,3.11%,2.40%,5.25,166.42,35.30,-0.06%,116440
14,"AAU",96.54,64.36,52.93,5.36%,,5.90%,145.42%,0.36%,1.21,157.13,1.45,-3.33%,91850
15,"AAV",968.14,168.96,167.64,0.25%,,58.00%,4.01%,0.11%,0.44,408.75,5.73,0.00%,419683
16,"AAWW",851.77,25.26,24.68,2.20%,5.51%,94.30%,-1.00%,9.12%,9.82,229.38,33.42,-0.89%,125448
17,"AAXJ",,,,,,,,,2.58,485.40,66.05,-0.05%,795486
18,"AB",2536.42,96.81,91.23,0.20%,19.06%,28.40%,0.09%,1.03%,3.11,303.63,26.76,2.14%,231464
19,"ABAX",1031.64,22.52,21.22,5.90%,9.57%,97.20%,-1.04%,13.43%,16.25,175.34,46.08,0.59%,126080
20,"ABB",52277.07,2293.86,2291.83,,,3.80%,-4.18%,0.19%,2.57,1669.76,22.68,-0.48%,1231828
21,"ABBV",88039.93,1592.33,1574.53,0.10%,36.52%,80.90%,16.10%,4.04%,6.51,9769.23,55.06,-0.42%,7580188
22,"ABC",17261.55,224.38,212.44,0.20%,-50.67%,86.10%,-0.03%,3.28%,4.44,1568.60,76.86,-0.09%,718520
23,"ABCB",608.07,26.74,24.08,2.10%,3.31%,62.90%,1.00%,3.22%,10.89,71.27,22.36,-1.67%,41413
24,"ABCD",79.46,44.89,13.16,0.10%,-2.82%,11.50%,1.30%,0.04%,0.22,24.20,1.69,-4.52%,7212
25,"ABCO",1842.81,36.29,36.00,0.80%,82.22%,96.80%,-1.53%,9.28%,13.11,255.03,50.34,-0.87%,205019
26,"ABG",2105.60,30.34,29.80,1.00%,-24.23%,99.50%,-0.95%,4.91%,6.19,236.52,69.30,-0.14%,124192
27,"ABIO",28.82,21.04,17.44,2.60%,29.62%,13.30%,7.86%,16.82%,14.83,197.75,1.36,-0.73%,92195
