"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",19820.28,331.00,330.88,0.30%,4.97%,84.80%,0.16%,0.90%,1.30,2282.28,60.34,0.77%,2335194
2,"AA",11045.59,1070.31,1067.15,0.07%,10.31%,60.80%,-0.19%,11.03%,4.64,25363.12,10.59,2.62%,31927484
3,"AADR",,,,,,,,,,5.47,37.42,-0.01%,1954
4,"AAIT",,,,,,,,,0.84,2.07,32.40,0.09%,192
5,"AAL",9700.32,336.00,751.64,0.70%,,0.10%,,10.03%,6.17,12222.41,28.84,-0.10%,11177463
6,"AAMC",2704.85,2.35,,46.34%,0.02%,15.30%,11.76%,,3.44,8.80,1197.00,4.00%,92999
7,"AAME",86.26,21.30,5.14,75.13%,,4.80%,3.06%,0.21%,1.17,9.37,4.02,-0.74%,23248
8,"AAN",2036.46,76.10,67.09,0.50%,-4.28%,0.80%,,9.10%,8.32,733.14,26.69,-0.26%,1180955
9,"AAOI",174.94,12.60,11.45,0.90%,,19.10%,7.74%,1.17%,1.61,83.31,13.97,0.65%,63592
10,"AAON",1155.90,36.74,28.06,0.30%,-12.68%,58.30%,0.01%,3.76%,9.60,109.80,32.40,2.99%,68688
11,"AAP",8555.05,72.75,72.23,0.80%,4.87%,96.30%,0.04%,3.90%,3.04,927.28,117.47,-0.11%,958424
12,"AAPL",494024.00,904.16,899.25,0.04%,-4.49%,61.30%,-0.01%,1.57%,1.24,11382.99,557.36,2.01%,13761202
13,"AAT",1273.75,39.82,34.34,0.60%,0.28%,86.10%,0.09%,2.11%,4.48,161.49,32.00,0.03%,58923
14,"AAU",76.26,60.05,52.92,5.36%,,5.90%,174.02%,0.87%,4.09,113.18,1.34,5.51%,115704
15,"AAV",687.00,168.38,167.07,0.25%,,58.00%,4.02%,0.18%,2.01,151.53,4.07,-0.25%,89756
16,"AAWW",1089.38,25.12,24.52,12.22%,0.03%,99.70%,-13.52%,4.04%,2.85,347.07,43.85,1.13%,163720
17,"AAXJ",,,,,,,,,2.69,625.45,58.44,0.02%,555233
18,"AB",2090.57,92.26,86.69,0.10%,-0.80%,33.20%,5.52%,2.63%,5.86,389.56,22.86,0.88%,358342
19,"ABAX",964.29,22.31,21.08,1.80%,-5.19%,97.30%,-0.04%,9.71%,11.09,184.65,44.30,2.48%,178750
20,"ABB",60686.74,2297.00,2295.97,,,3.60%,0.04%,0.18%,3.16,1325.14,26.31,-0.42%,1756536
21,"ABBV",80454.00,1590.00,1589.52,0.06%,1.49%,68.50%,0.26%,0.91%,2.49,5822.42,50.11,-0.97%,4727687
22,"ABC",16255.87,230.45,229.58,0.20%,25.96%,88.90%,-0.08%,2.79%,4.29,1493.08,70.55,0.01%,1251758
23,"ABCB",493.32,23.90,22.99,1.30%,3.67%,64.10%,-7.20%,1.75%,4.10,97.83,20.63,-0.05%,60014
24,"ABCD",99.41,47.56,11.39,71.14%,-2.66%,18.70%,-9.46%,0.08%,0.28,32.31,2.08,-0.48%,21357
25,"ABCO",2206.45,35.88,35.86,0.40%,-8.89%,96.80%,0.03%,6.59%,11.82,199.86,60.58,-1.48%,120369
26,"ABFS",892.82,25.74,24.30,3.30%,12.00%,96.40%,-39.03%,9.22%,4.70,476.48,34.88,0.55%,243772
27,"ABG",1578.59,30.70,30.28,0.50%,-59.66%,98.50%,-13.54%,3.49%,3.53,299.10,48.50,-5.68%,1065725
28,"ABIO",23.18,10.83,12.88,15.40%,19.74%,5.20%,-2.18%,16.67%,1.50,1435.09,2.06,-3.97%,840480
29,"ABM",1543.62,55.33,50.23,1.70%,6.69%,82.00%,0.10%,1.45%,3.13,232.99,27.79,-0.39%,178057
30,"ABMC",2.61,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.30,19.76,0.13,8.33%,18394
31,"ABMD",1160.13,39.26,39.02,2.90%,-0.09%,98.80%,-0.04%,10.44%,10.93,372.67,28.42,-3.82%,516611
32,"ABR",297.06,43.11,38.30,0.20%,-8.49%,59.10%,0.00%,0.38%,1.15,127.03,6.99,1.45%,287041
33,"ABT",61404.84,1551.80,1543.38,0.10%,0.71%,68.60%,0.15%,0.90%,2.07,6734.35,39.53,-0.10%,5279078
34,"ABTL",146.42,8.90,8.78,8.62%,-44.21%,52.20%,-3.91%,0.75%,0.28,238.93,17.05,3.65%,524431
35,"ABX",17817.80,1001.00,1161.43,,,73.90%,3.15%,1.28%,0.86,17324.17,18.04,1.35%,8492282
36,"ACAD",2175.84,89.50,90.65,0.10%,-13.53%,88.30%,0.17%,11.55%,6.02,1739.46,23.99,-1.32%,1063227
37,"ACAS",4569.67,286.50,267.06,1.10%,-2.84%,59.80%,-2.82%,0.88%,1.10,2126.85,16.15,1.25%,2327992
38,"ACAT",756.85,13.38,13.27,1.60%,-13.00%,86.60%,-1.83%,3.89%,3.83,134.73,56.30,-0.48%,107610
39,"ACC",3544.74,104.78,104.27,0.30%,5.36%,99.30%,-0.72%,2.56%,3.27,817.97,33.84,0.03%,471183
40,"ACCL",556.60,55.66,55.13,0.92%,-17.68%,89.90%,0.00%,1.46%,5.94,135.12,10.16,1.60%,105283
41,"ACCO",770.21,113.60,112.60,0.30%,-24.06%,,0.25%,14.11%,21.24,748.11,6.88,1.47%,892789
42,"ACCU",,,,,,,,,,18.36,27.87,0.69%,1500
43,"ACE",33304.85,340.89,338.37,0.40%,-0.44%,93.20%,0.01%,1.02%,2.63,1309.00,97.99,0.30%,1569531
44,"ACET",645.07,27.76,26.64,2.60%,33.72%,66.30%,0.01%,1.35%,1.20,299.05,23.47,0.99%,317594
45,"ACFC",10.67,2.51,16.17,1.10%,,10.70%,-402.43%,0.08%,0.19,67.22,4.37,2.58%,98395
46,"ACFN",72.00,18.09,20.47,6.90%,16.09%,42.00%,0.03%,12.40%,8.41,301.81,4.03,1.26%,175604
47,"ACG",1816.98,242.91,242.91,,,25.40%,0.82%,0.08%,0.19,1066.57,7.50,0.27%,3089176
48,"ACGL",7294.03,131.50,127.98,0.90%,-4.36%,92.60%,0.01%,2.09%,7.37,362.67,54.90,-1.03%,489362
49,"ACH",4852.59,540.98,156.18,,,2.10%,0.07%,2.01%,26.36,119.21,8.94,-0.33%,416096
50,"ACHC",2612.59,50.04,46.86,0.50%,-44.42%,72.50%,0.02%,12.11%,17.27,328.47,52.70,0.94%,198450
51,"ACHN",356.63,96.65,96.45,0.10%,-0.71%,94.70%,-0.23%,17.98%,7.72,2246.14,3.73,1.08%,2285772
52,"ACI",878.14,212.11,211.10,0.54%,0.44%,62.10%,0.01%,20.36%,4.65,9240.66,4.38,5.80%,10648220
53,"ACIM",,,,,,,,,,3.71,62.18,0.11%,1618
54,"ACIW",2489.52,39.13,38.05,1.00%,-2.98%,98.90%,-0.03%,6.11%,7.96,292.41,63.84,0.33%,169462
55,"ACLS",256.32,109.07,107.96,1.40%,1.06%,49.30%,0.03%,0.64%,0.99,701.74,2.34,-0.43%,416729
56,"ACM",2971.17,98.03,85.13,1.10%,-25.08%,72.40%,-0.04%,1.01%,1.41,610.19,30.68,1.22%,401547
57,"ACMP",9923.67,178.04,188.90,0.10%,0.04%,69.70%,-5.98%,0.45%,1.98,430.78,55.54,-0.36%,183445
58,"ACN",52177.24,636.70,507.51,0.30%,11.56%,81.80%,0.65%,3.25%,5.08,3248.17,84.22,2.77%,4284480
59,"ACNB",112.52,5.98,5.84,1.70%,3.04%,6.90%,0.24%,0.04%,0.65,3.97,18.71,-0.53%,559
60,"ACO",1104.60,32.52,24.82,6.20%,-5.00%,70.70%,0.00%,6.12%,13.61,111.70,34.02,0.15%,96951
61,"ACOR",1223.56,40.32,40.54,1.80%,17.11%,86.70%,0.03%,7.39%,7.06,424.36,30.22,-0.43%,436064
62,"ACPW",67.49,19.34,18.10,0.80%,-22.53%,44.30%,9.17%,2.68%,5.26,92.34,3.55,1.72%,71018
63,"ACRE",370.98,27.98,25.98,1.20%,-84.65%,51.30%,-3.30%,3.76%,3.75,260.57,13.28,0.15%,110337
64,"ACRX",529.47,41.46,42.40,0.10%,13.46%,81.00%,-0.97%,13.21%,7.25,773.10,12.78,0.08%,366665
65,"ACST",112.95,85.57,39.75,,,,,0.04%,0.05,275.57,1.41,6.82%,993177
66,"ACT",32364.00,174.00,173.05,0.40%,-31.02%,69.20%,-0.03%,1.06%,1.42,1283.57,181.80,-2.26%,1895513
67,"ACTG",680.00,48.33,46.14,2.50%,-6.79%,98.10%,4.60%,16.77%,8.95,864.32,14.00,-0.50%,648084
68,"ACTS",199.25,68.71,65.49,5.61%,,5.10%,,0.06%,0.72,56.29,2.92,0.69%,35723
69,"ACU",46.56,3.19,2.75,10.80%,-0.29%,29.60%,-22.18%,0.06%,0.32,4.74,14.50,-0.68%,4348
70,"ACUR",84.00,47.46,47.88,1.00%,-22.02%,64.00%,-0.16%,1.45%,3.12,223.25,1.79,1.13%,801699
71,"ACW",185.12,47.59,47.01,26.43%,54.28%,98.70%,8.08%,6.45%,7.20,420.96,4.14,6.43%,150721
72,"ACWI",,,,,,,,,0.54,1403.26,57.38,0.42%,670116
73,"ACWX",,,,,,,,,1.01,448.98,46.15,0.30%,85401
