"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"KONE",-0.80,1.37,257.82%,324.55%,353.46%,105.00%,1142.42%,92.28,12.30,148.48%,72.51%,44.04%,1422899
2,"CADC",1.58,0.58,54.21%,50.37%,77.94%,4.46%,183.02%,82.09,7.50,50.30%,38.63%,8.42%,359755
3,"STML",,1.83,53.84%,45.05%,21.75%,-35.58%,194.67%,79.68,30.44,39.50%,38.36%,0.82%,1401687
4,"GNVC",2.01,0.27,51.22%,84.86%,225.56%,25.61%,1352.00%,81.47,3.63,28.72%,27.37%,1.06%,1033763
5,"NINE",0.21,0.10,27.08%,25.75%,29.70%,16.32%,88.89%,83.66,2.21,27.01%,26.29%,0.57%,528108
6,"VIMC",1.36,0.15,35.78%,38.43%,67.51%,14.89%,145.45%,81.10,2.70,26.16%,23.85%,1.87%,926525
7,"NIHD",1.68,0.27,18.18%,15.99%,-47.77%,-69.64%,56.89%,60.33,2.98,24.21%,0.37%,23.75%,27800000
8,"ADGE",0.68,0.12,32.12%,38.28%,48.46%,6.05%,113.15%,82.27,2.40,20.00%,20.00%,0.00%,35703
9,"GIGA",0.89,0.08,29.92%,25.74%,0.03%,-42.79%,41.11%,71.12,1.27,19.81%,27.00%,-5.66%,122694
10,"SEED",2.75,0.24,44.58%,45.40%,51.15%,-18.37%,105.13%,66.92,2.40,18.81%,18.23%,0.50%,2696850
11,"VSCI",0.92,0.09,27.76%,32.24%,36.72%,-9.33%,74.36%,72.28,1.36,17.24%,16.24%,0.86%,746477
12,"IDIX",0.41,0.66,26.40%,48.38%,77.78%,7.09%,173.38%,72.46,8.01,17.11%,17.45%,-0.29%,3999482
13,"SKBI",0.70,0.26,14.82%,7.17%,50.27%,-34.46%,326.00%,67.73,4.26,16.08%,17.68%,-1.36%,471407
14,"LIVE",0.47,1.21,123.22%,218.34%,306.38%,12.80%,615.74%,88.22,14.10,15.95%,14.08%,1.64%,1238231
15,"PACB",,0.44,24.90%,41.45%,79.11%,0.00%,233.33%,73.22,6.50,14.44%,14.64%,-0.18%,2704537
16,"RENT",1.09,2.73,45.23%,46.51%,91.92%,3.29%,184.97%,87.57,55.00,14.42%,16.11%,-1.46%,519591
17,"FALC",1.75,0.10,24.77%,18.83%,23.34%,-41.52%,92.05%,77.07,1.69,14.19%,13.42%,0.68%,475264
18,"CTIC",5.41,0.19,60.07%,80.79%,149.98%,13.75%,275.26%,90.49,3.64,13.75%,5.81%,7.50%,13546606
19,"SPCHB",,0.05,2.69%,1.28%,-7.60%,-42.86%,19.63%,53.29,1.28,13.27%,10.34%,2.65%,17200
20,"QKLS",1.78,0.32,14.23%,14.14%,12.44%,-44.07%,669.29%,64.26,5.00,12.88%,11.12%,1.58%,57969
21,"RCAP",,0.78,20.41%,25.13%,29.09%,8.61%,47.49%,75.85,21.45,12.01%,10.28%,1.57%,152293
