"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AHPI","Allied Healthcare Products Inc.","Healthcare","Medical Appliances & Equipment","USA",21.89,,2.28,-16.48%,338772
2,"ALCS","ALCO Stores, Inc.","Services","Discount, Variety Stores","USA",1.22,,0.29,-23.68%,195868
3,"APT","Alpha Pro Tech Ltd.","Healthcare","Medical Appliances & Equipment","Canada",100.79,37.00,4.43,-20.18%,10428384
4,"CPXX","Celator Pharmaceuticals, Inc.","Healthcare","Drugs - Generic","USA",62.33,,1.99,-16.74%,157604
5,"IBIO","iBio, Inc.","Healthcare","Biotechnology","USA",216.51,,2.18,-32.09%,34064032
6,"NCR","NCR Corp.","Technology","Information Technology Services","USA",5021.15,11.40,23.54,-21.19%,21102020
7,"PTSX","Point.360","Services","Movie Production, Theaters","USA",5.20,,0.41,-16.33%,480
8,"UVXY","ProShares Ultra VIX Short-Term Futures","Financial","Exchange Traded Fund","USA",,,35.57,-15.06%,12785969
9,"VSR","Versar Inc.","Services","Technical Services","USA",43.79,,3.55,-21.11%,5139255
