"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",19363.95,333.00,332.41,0.30%,4.94%,85.00%,0.94%,0.83%,0.98,2835.64,56.86,-2.22%,3097712
2,"AA",12811.62,1073.00,1076.05,0.20%,54.72%,67.90%,12.33%,12.02%,4.70,27521.25,12.19,2.09%,32332856
3,"AADR",,,,,,,,,,4.11,38.03,0.52%,2806
4,"AAIT",,,,,,,,,0.82,2.68,31.91,-1.66%,837
5,"AAL",9002.18,231.06,467.30,1.10%,,53.70%,,12.15%,4.76,11938.53,38.08,-2.26%,11287149
6,"AAMC",1894.00,2.35,1.71,2.50%,3.52%,62.00%,7.68%,4.79%,3.55,23.10,802.00,-0.36%,37610
7,"AAME",82.00,21.30,5.14,8.50%,-1.47%,4.90%,1.95%,0.25%,1.07,12.15,3.87,0.52%,3980
8,"AAN",2345.42,75.22,69.82,0.60%,-7.39%,0.80%,,12.29%,5.96,1438.68,31.63,1.44%,1162488
9,"AAOI",346.34,12.63,11.46,1.60%,,31.70%,78.59%,1.43%,1.50,109.63,26.32,-4.01%,83123
10,"AAON",1118.79,36.74,28.06,0.30%,-12.68%,58.50%,0.29%,3.42%,7.27,131.82,29.18,-4.17%,125594
11,"AAP",9224.64,72.76,72.43,0.60%,-19.98%,95.50%,-1.01%,2.49%,2.04,886.62,126.94,0.13%,1021830
12,"AAPL",475742.53,896.07,890.69,0.04%,6.86%,61.60%,-0.13%,2.96%,2.19,12080.44,536.09,0.97%,9903173
13,"AAT",1305.13,39.84,34.39,1.00%,-21.33%,86.10%,0.29%,2.01%,3.80,181.71,32.79,0.09%,151547
14,"AAU",91.23,61.23,52.88,5.36%,,5.90%,165.15%,0.86%,2.97,153.48,1.50,0.67%,99723
15,"AAV",538.14,134.20,166.87,0.25%,,58.00%,5.10%,0.15%,1.99,128.95,3.96,-1.25%,156254
16,"AAWW",814.27,25.04,24.46,1.50%,18.64%,96.30%,-3.23%,10.55%,6.17,418.03,32.01,-1.57%,239404
17,"AAXJ",,,,,,,,,0.66,768.47,57.52,-0.78%,465289
18,"AB",2205.89,92.26,94.60,0.30%,204.90%,28.90%,-4.10%,2.25%,5.77,369.30,23.52,-1.63%,456708
19,"ABAX",874.14,22.27,21.03,2.60%,-1.70%,98.20%,0.77%,14.63%,15.25,201.79,39.01,-0.61%,95597
20,"ABB",58205.98,2297.00,2295.97,,,5.60%,54.44%,0.20%,2.51,1850.59,25.19,-0.59%,1676584
21,"ABBV",82242.72,1592.00,1586.98,0.10%,19.34%,70.10%,2.36%,0.73%,1.70,6816.75,51.75,0.17%,3609820
22,"ABC",15912.14,230.28,226.31,0.20%,-2.13%,86.90%,-2.20%,2.99%,3.95,1712.23,68.34,-1.10%,1558951
23,"ABCB",517.89,24.02,21.75,2.90%,9.08%,66.40%,-3.91%,2.21%,5.28,91.13,22.96,6.49%,277423
24,"ABCD",97.50,47.56,11.22,71.14%,-2.82%,15.30%,-17.57%,0.08%,0.27,32.54,2.07,0.98%,25666
25,"ABCO",2456.25,36.06,35.92,0.60%,13.06%,96.80%,1.41%,7.85%,11.23,250.98,66.55,-2.29%,224791
26,"ABFS",958.72,25.79,24.58,3.30%,15.31%,95.00%,-1.19%,7.16%,4.34,406.00,36.67,-1.37%,438940
27,"ABG",1672.61,30.40,30.18,1.70%,-12.53%,98.10%,-0.92%,3.53%,3.49,305.88,53.48,-2.80%,338558
28,"ABIO",20.26,10.83,12.94,3.40%,30.72%,22.40%,-2.18%,24.31%,2.96,1063.30,1.94,3.74%,2408944
29,"ABM",1589.71,55.66,50.42,1.80%,3.94%,83.80%,2.75%,2.27%,5.14,222.96,28.25,-1.09%,207490
30,"ABMC",3.48,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.32,18.39,0.16,-0.13%,100
