"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"CAST","ChinaCast Education Corporation","Services","Education & Training Services","Hong Kong",1.96,0.08,0.03,-21.25%,80200
2,"CVM","CEL-SCI Corp.","Healthcare","Biotechnology","USA",21.96,,0.57,-19.96%,2392122
3,"EEH","ELEMENTS SPECTRUM Lg Cap U.S. Sector ETN","Financial","Exchange Traded Fund","USA",,,11.00,-15.38%,4736
4,"IDN","Intellicheck Mobilisa, Inc.","Industrial Goods","Industrial Electrical Equipment","USA",15.84,,0.46,-19.30%,452832
5,"MXT","Maxcom Telecomunicaciones S.A.B. de C.V.","Technology","Wireless Communications","Mexico",190.68,,1.43,-15.38%,100716
