"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"JNUG","Direxion Daily Jr Gld Mnrs Bull 3X ETF","Financial","Exchange Traded Fund","USA",,,11.91,27.38%,17307138
2,"LAKE","Lakeland Industries Inc.","Healthcare","Medical Instruments & Supplies","USA",56.37,,11.62,15.85%,10359764
3,"NUGT","Direxion Daily Gold Miners Bull 3X ETF","Financial","Exchange Traded Fund","USA",,,24.10,21.66%,12917016
4,"OBCI","Ocean Bio-Chem Inc.","Consumer Goods","Cleaning Products","USA",32.22,20.11,4.45,22.93%,229924
5,"TRX","Tanzanian Royalty Exploration Corp.","Basic Materials","Gold","Canada",177.58,,2.04,15.25%,387324
6,"UNIS","Unilife Corporation","Healthcare","Medical Instruments & Supplies","USA",286.86,,3.14,19.85%,8555686
