"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BIOC","Biocept, Inc.","Healthcare","Medical Laboratories & Research","USA",43.68,,2.76,-21.14%,8152321
2,"CAS","A. M. Castle & Co.","Industrial Goods","Metal Fabrication","USA",118.21,,3.29,-34.65%,830567
3,"CVSL","CVSL Inc.","Services","Marketing Services","USA",121.44,,2.65,-39.77%,2415211
4,"EGL","Engility Holdings, Inc.","Services","Technical Services","USA",817.06,19.12,35.71,-23.12%,117798
5,"ENOC","EnerNOC, Inc.","Services","Business Services","USA",535.74,59.23,13.87,-24.46%,1539547
6,"HERO","Hercules Offshore, Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",117.39,,0.52,-28.49%,10735908
7,"PNBK","Patriot National Bancorp Inc.","Financial","Regional - Northeast Banks","USA",62.69,3.27,1.35,-15.62%,7
8,"RESN","Resonant Inc.","Technology","Semiconductor - Integrated Circuits","USA",107.21,,10.30,-33.42%,1170969
9,"TBIO","Transgenomic Inc.","Technology","Scientific & Technical Instruments","USA",17.83,,1.67,-24.43%,934455
10,"TCPI","TCP International Holdings Ltd.","Technology","Diversified Electronics","China",177.56,18.85,3.86,-39.83%,536883
11,"TUBE","TubeMogul, Inc.","Technology","Application Software","USA",534.43,,14.00,-21.96%,2451469
12,"VTAE","Vitae Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",284.46,,11.10,-16.42%,406787
13,"WTW","Weight Watchers International, Inc.","Services","Personal Services","USA",995.48,6.89,11.76,-33.03%,13999603
