"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",18009.54,26.34,53.05,-1.76%,2159844
2,"AA","Alcoa Inc.","Basic Materials","Aluminum","USA",19254.90,,16.12,-1.41%,27433940
3,"AAC","AAC Holdings, Inc.","Healthcare","Specialized Health Services","USA",399.34,644.00,20.52,6.21%,315609
4,"AADR","AdvisorShares WCM/BNY MlnFcsd GR ADR ETF","Financial","Exchange Traded Fund","USA",,,36.15,-0.47%,250
5,"AAIT","iShares MSCI All Country Asia Info Tech","Financial","Exchange Traded Fund","USA",,,32.42,0.00%,0
6,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",27259.57,,37.04,-2.14%,18817704
7,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",1422.40,110.82,575.01,-9.45%,31577
8,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",81.60,15.76,3.95,0.25%,3240
9,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",1770.15,20.07,24.45,-0.12%,511605
10,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",220.67,124.25,14.73,-1.21%,233096
11,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",1018.79,26.08,17.90,-3.35%,105121
12,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",10291.64,23.54,138.78,-1.59%,864022
13,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",610762.74,16.48,102.99,0.51%,66971744
14,"AAT","American Assets Trust, Inc.","Financial","REIT - Retail","USA",1532.19,108.94,36.57,1.72%,154525
15,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",92.60,,1.26,-6.67%,213857
16,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",782.18,,4.30,-6.72%,200532
17,"AAVL","Avalanche Biotechnologies, Inc.","Healthcare","Biotechnology","USA",727.23,,32.64,-0.09%,56689
18,"AAWW","Atlas Air Worldwide Holdings, Inc.","Services","Air Services, Other","USA",870.21,9.52,33.53,-2.67%,185827
19,"AAXJ","iShares MSCI All Country Asia ex Japan","Financial","Exchange Traded Fund","USA",,,61.19,-0.24%,647965
20,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2519.00,14.78,25.55,-1.81%,272806
21,"ABAC","Aoxin Tianli Group, Inc.","Consumer Goods","Farm Products","China",61.09,,2.17,-1.37%,87030
22,"ABAX","Abaxis, Inc.","Healthcare","Medical Laboratories & Research","USA",1111.59,71.54,51.11,3.55%,450263
23,"ABB","ABB Ltd.","Industrial Goods","Diversified Machinery","Switzerland",48886.31,18.89,21.09,0.57%,3708741
24,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",89695.30,21.73,56.90,1.08%,16036504
25,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",17192.00,68.41,76.63,0.01%,1941877
26,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",647.11,26.02,23.41,-3.26%,97953
27,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",65.55,,1.45,-0.68%,10580
28,"ABCO","The Advisory Board Company","Services","Business Services","USA",1803.02,103.48,49.33,-0.68%,327045
29,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1970.32,16.99,61.46,-5.33%,694592
30,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",23.99,,1.10,-3.51%,255878
31,"ABM","ABM Industries Incorporated","Services","Business Services","USA",1463.44,20.83,26.05,-0.76%,174022
32,"ABMD","ABIOMED, Inc.","Healthcare","Medical Appliances & Equipment","USA",970.07,141.00,23.64,-1.38%,77093
33,"ABR","Arbor Realty Trust Inc.","Financial","REIT - Diversified","USA",331.15,13.12,6.63,1.07%,75378
34,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",63741.84,30.50,41.59,-1.89%,6976977
35,"ABTL","Autobytel Inc.","Technology","Internet Information Providers","USA",82.08,2.71,8.89,-2.52%,80517
36,"ABX","Barrick Gold Corporation","Basic Materials","Gold","Canada",15892.63,,13.39,-1.69%,10456999
37,"ABY","Abengoa Yield plc","Utilities","Electric Utilities","United Kingdom",2721.23,,31.88,-1.91%,258033
38,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",2662.01,,25.92,-3.18%,1032363
39,"ACAS","American Capital, Ltd.","Financial","Asset Management","USA",3919.02,41.69,14.29,-2.06%,1275817
40,"ACAT","Arctic Cat Inc.","Consumer Goods","Recreational Vehicles","USA",421.19,11.90,31.23,-4.20%,354012
41,"ACC","American Campus Communities, Inc.","Financial","REIT - Residential","USA",4154.18,70.70,39.04,-1.39%,1985292
42,"ACCO","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",811.31,9.09,7.08,-0.14%,1852902
43,"ACCU","AdvisorShares Accuvest Global Opport ETF","Financial","Exchange Traded Fund","USA",,,24.35,0.00%,0
44,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",35819.19,10.68,105.84,-0.81%,1949358
45,"ACET","Aceto Corp.","Basic Materials","Chemicals - Major Diversified","USA",576.23,19.48,19.35,-2.62%,114455
46,"ACFC","Atlantic Coast Financial Corporation","Financial","Regional - Southeast Banks","USA",60.80,,3.90,-0.51%,17477
47,"ACFN","Acorn Energy, Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",29.25,,1.38,4.55%,45989
48,"ACG","AllianceBernstein Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",1824.25,14.73,7.51,0.00%,340514
49,"ACGL","Arch Capital Group Ltd.","Financial","Property & Casualty Insurance","Bermuda",7518.87,11.77,55.66,0.02%,223685
50,"ACH","Aluminum Corporation Of China Limited","Basic Materials","Aluminum","China",7564.19,,10.48,2.24%,143045
51,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Specialized Health Services","USA",3130.98,42.55,52.66,0.61%,732166
52,"ACHN","Achillion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1117.63,,11.06,-3.24%,4638597
53,"ACI","Arch Coal Inc.","Basic Materials","Industrial Metals & Minerals","USA",409.70,,1.76,-8.81%,12587417
54,"ACIM","SPDR MSCI ACWI IMI ETF","Financial","Exchange Traded Fund","USA",,,61.79,-0.30%,1341
55,"ACIW","ACI Worldwide, Inc.","Technology","Technical & System Software","USA",2087.66,32.68,18.04,-1.42%,503937
56,"ACLS","Axcelis Technologies Inc.","Technology","Semiconductor Equipment & Materials","USA",218.74,,1.89,-3.57%,248094
57,"ACM","AECOM Technology Corporation","Services","Technical Services","USA",3138.59,12.88,31.17,-1.20%,2686209
58,"ACMP","Access Midstream Partners, L.P.","Basic Materials","Oil & Gas Equipment & Services","USA",11683.98,42.23,59.99,-2.04%,504287
59,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",52298.82,18.34,77.46,-0.60%,2416837
60,"ACNB","ACNB Corp.","Financial","Regional - Southwest  Banks","USA",115.92,11.85,19.33,0.05%,1120
61,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",1359.89,72.40,32.27,-0.95%,369659
62,"ACPW","Active Power Inc.","Industrial Goods","Diversified Machinery","USA",42.24,,1.81,-1.09%,40972
63,"ACRE","Ares Commercial Real Estate Corporation","Financial","REIT - Diversified","USA",344.06,15.83,11.88,-1.25%,149054
64,"ACRX","AcelRx Pharmaceuticals, Inc.","Healthcare","Medical Appliances & Equipment","USA",297.15,,6.61,-3.50%,256363
