"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",13858.78,335.32,334.82,0.30%,-3.36%,85.10%,0.79%,0.83%,0.93,2996.55,41.37,0.10%,1304405
2,"AA",18648.93,1178.82,1177.40,0.20%,2.17%,69.30%,1.07%,2.82%,1.72,19378.89,15.85,0.19%,8908857
3,"AAC",630.08,21.08,7.82,42.10%,-3.65%,,,5.93%,2.92,158.65,30.96,3.58%,69530
4,"AADR",,,,,,,,,,1.15,37.13,-0.62%,29946
5,"AAIT",,,,,,,,,0.00,0.95,32.95,-0.75%,1185
6,"AAL",37907.19,717.26,713.74,0.55%,0.10%,70.10%,-0.75%,3.07%,1.38,15921.11,53.42,1.08%,8061518
7,"AAMC",731.57,2.19,1.54,2.40%,11.49%,71.20%,-4.12%,13.42%,16.15,12.80,340.00,1.78%,6414
8,"AAME",80.42,20.62,4.55,77.33%,-0.03%,4.90%,0.30%,0.25%,2.73,4.10,3.93,0.77%,4789
9,"AAN",2246.57,72.47,72.05,0.70%,6.73%,99.50%,-4.87%,5.18%,6.07,615.19,30.72,-0.90%,376588
10,"AAOI",162.13,14.82,14.39,2.80%,3.75%,59.20%,-7.26%,13.76%,5.08,389.73,11.01,0.64%,156492
11,"AAON",1214.68,54.47,41.63,21.00%,0.10%,61.10%,3.70%,2.88%,6.83,175.71,22.34,0.18%,90836
12,"AAP",11767.45,72.99,72.61,0.50%,-14.72%,96.10%,-0.37%,3.15%,2.69,851.15,160.03,-0.74%,340047
13,"AAPL",668063.95,5864.84,5861.87,0.05%,10.47%,61.90%,-4.57%,0.92%,1.04,51391.74,112.52,-1.22%,29337853
14,"AAT",1772.75,43.61,37.47,1.20%,7.19%,99.30%,5.86%,1.60%,3.79,158.06,40.63,-0.05%,62285
15,"AAU",61.74,67.11,57.24,5.36%,,5.90%,131.62%,0.44%,1.68,149.14,0.95,3.48%,172962
16,"AAV",803.05,171.96,168.08,0.25%,,58.00%,3.93%,0.46%,2.51,305.64,4.65,-0.43%,223455
17,"AAVL",1166.64,22.47,14.56,29.30%,,64.70%,250.56%,8.60%,8.83,141.72,55.89,7.65%,204094
18,"AAWW",1219.66,24.81,24.30,1.10%,-23.10%,,0.40%,8.66%,8.05,261.38,49.13,-0.06%,92063
19,"AAXJ",,,,,,,,,1.49,871.08,60.67,-0.46%,1019621
20,"AB",2500.90,97.16,91.48,5.81%,2.82%,29.50%,5.06%,0.53%,1.52,319.44,25.94,0.78%,257650
21,"ABAC",55.00,32.35,16.88,53.91%,,0.60%,17.57%,0.21%,0.99,36.24,1.91,12.35%,16915
22,"ABAX",1304.62,22.54,21.29,3.30%,-10.90%,,-1.67%,17.14%,17.88,204.06,57.93,0.09%,144832
23,"ABB",49726.63,2306.43,2307.14,,,4.70%,22.13%,0.21%,2.68,1832.72,21.40,-0.74%,624481
24,"ABBV",106984.23,1593.45,1572.52,0.08%,0.08%,89.50%,10.85%,1.14%,1.52,11806.54,66.30,-1.25%,5475356
25,"ABC",20038.56,218.69,206.68,0.30%,11.56%,87.20%,-1.52%,3.82%,4.45,1776.15,91.28,-0.38%,1076782
26,"ABCB",732.16,28.16,25.51,2.40%,-1.17%,62.90%,5.88%,3.92%,8.79,113.78,25.99,-0.04%,39921
27,"ABCD",74.60,44.94,12.42,72.10%,2.40%,10.70%,-3.43%,0.05%,0.40,15.21,1.66,0.00%,6224
28,"ABCO",1791.50,36.01,35.73,0.20%,-7.69%,,-2.55%,7.06%,6.49,388.55,49.99,0.48%,175665
29,"ABCW",323.40,9.24,2.15,21.38%,,,,0.01%,0.01,21.78,35.00,0.00%,19860
30,"ABEV",96712.00,15700.00,6000.00,,,,,0.89%,3.25,16395.89,6.19,0.49%,13389169
31,"ABG",2308.37,29.77,29.30,0.50%,-20.34%,99.40%,2.99%,8.13%,5.70,417.87,76.86,-0.88%,266594
32,"ABIO",19.91,21.20,17.67,1.90%,-5.18%,13.00%,-2.79%,7.71%,3.44,395.99,0.92,-2.05%,105090
33,"ABM",1637.38,55.75,50.42,1.80%,0.30%,85.70%,0.33%,1.83%,4.40,209.12,28.97,-1.36%,146396
34,"ABMD",1573.83,40.90,40.26,2.90%,0.94%,,0.28%,10.99%,11.86,373.16,38.36,-0.31%,173123
35,"ABR",341.24,50.48,38.65,0.10%,-15.13%,60.70%,1.07%,0.19%,0.80,90.61,6.80,0.59%,107984
36,"ABT",68664.02,1505.79,1502.77,0.10%,5.32%,69.30%,0.57%,0.76%,2.27,5049.05,45.69,0.20%,2859089
37,"ABTL",99.22,9.02,8.90,0.50%,54.98%,56.50%,-10.53%,1.04%,0.83,111.26,11.15,1.36%,19356
38,"ABX",11930.64,1138.42,1161.28,,,72.10%,-2.26%,1.87%,1.30,16700.87,10.86,3.63%,16975423
39,"ABY",2210.47,83.73,83.72,,,35.20%,9.46%,3.68%,4.04,763.08,27.15,2.84%,295470
40,"ACAD",3188.65,99.77,99.53,0.10%,8.72%,95.30%,-0.25%,18.34%,15.20,1200.56,31.69,-0.84%,674629
41,"ACAS",3983.03,269.67,269.37,1.00%,-5.00%,68.50%,0.01%,1.41%,1.38,2742.83,14.80,0.20%,1320469
42,"ACAT",446.30,12.94,12.70,1.70%,46.67%,88.30%,-4.27%,5.11%,4.10,158.29,35.05,1.62%,134816
43,"ACC",4398.22,105.12,104.53,0.56%,-0.34%,,1.03%,1.35%,1.62,870.88,41.88,0.10%,404192
44,"ACCO",1024.69,112.11,110.77,0.50%,15.68%,95.90%,-6.24%,7.94%,6.57,1338.04,9.05,-0.98%,1084970
45,"ACCU",,,,,,,,,,15.39,24.12,0.00%,0
46,"ACE",38637.76,331.74,329.60,0.40%,-3.28%,93.20%,-1.35%,1.80%,4.22,1409.11,116.27,-0.17%,648040
47,"ACET",648.84,29.07,28.39,2.50%,18.80%,75.90%,1.14%,4.15%,6.57,179.48,22.10,-0.99%,91361
48,"ACFC",61.61,15.52,10.76,0.10%,106.38%,52.10%,0.87%,0.13%,1.06,13.24,3.97,0.00%,3174
49,"ACFN",19.05,26.47,24.13,1.40%,68.77%,13.40%,-25.07%,5.74%,5.45,253.89,0.68,-5.52%,416012
50,"ACG",1816.97,242.91,242.91,,,37.00%,7.11%,0.08%,0.27,691.13,7.48,0.00%,659667
51,"ACGL",7676.88,129.11,122.66,1.20%,-5.83%,79.20%,-6.86%,0.83%,2.01,507.27,59.60,0.24%,173352
52,"ACH",11285.47,967.05,157.76,,,4.40%,12.33%,0.59%,6.56,143.10,11.51,-1.37%,68433
53,"ACHC",3759.38,59.92,57.51,2.00%,-21.44%,70.90%,2.51%,7.65%,11.39,386.17,62.28,-0.73%,131466
54,"ACHN",1268.66,100.25,100.00,44.11%,-18.35%,90.60%,-7.43%,15.56%,2.24,6941.59,12.29,-2.88%,3599328
55,"ACI",397.00,212.30,211.11,0.10%,13.35%,63.20%,-3.51%,22.02%,5.51,8439.20,1.74,-6.95%,6197254
56,"ACIM",,,,,,,,,,3.80,65.71,0.02%,6658
57,"ACIW",2365.47,114.94,113.02,1.20%,0.44%,98.50%,4.27%,5.90%,9.11,732.20,20.57,-0.05%,383030
58,"ACLS",278.90,112.01,110.12,0.20%,50.33%,66.70%,15.67%,2.40%,7.84,337.03,2.52,1.20%,391172
59,"ACM",4751.50,153.82,143.85,0.60%,-13.98%,62.70%,24.42%,3.50%,2.61,1927.26,30.77,-0.39%,532086
60,"ACMP",10650.46,190.80,88.26,0.30%,87.43%,48.20%,-33.72%,1.33%,1.64,718.39,54.69,-2.02%,667838
61,"ACN",60150.54,664.50,471.65,0.30%,-1.77%,82.50%,-1.51%,3.25%,5.26,2910.98,90.19,-0.36%,1686129
62,"ACNB",125.55,6.01,5.87,1.90%,4.58%,8.80%,-0.38%,0.03%,0.65,2.39,21.83,4.50%,3043
63,"ACOR",1722.89,41.95,41.12,1.80%,-2.33%,,1.99%,15.28%,11.42,550.17,40.64,-1.05%,300980
64,"ACPW",42.68,23.07,21.23,0.90%,106.33%,44.70%,-6.70%,0.58%,1.59,78.08,1.90,2.70%,87871
65,"ACRE",331.76,28.60,25.99,11.13%,0.32%,65.40%,4.50%,2.28%,4.34,136.63,11.60,0.00%,149776
66,"ACRX",304.66,43.71,42.99,0.20%,3.55%,80.80%,-5.60%,21.05%,18.39,492.11,6.69,-4.02%,247885
67,"ACST",54.19,106.26,50.66,,,,,0.10%,0.26,202.87,0.50,-1.20%,78820
68,"ACT",68973.91,265.06,264.11,0.10%,-0.04%,88.40%,31.42%,5.46%,4.79,3008.17,259.57,-0.25%,1246879
69,"ACTA",745.86,40.58,33.85,9.20%,1.47%,83.50%,-0.74%,4.20%,9.99,142.26,18.35,-0.16%,71372
70,"ACTG",897.15,50.12,48.83,1.40%,-7.15%,,-2.58%,16.58%,19.20,421.70,17.74,-0.89%,415878
71,"ACTS",112.98,59.15,55.74,5.61%,,7.50%,-29.89%,0.00%,0.04,30.48,1.91,0.00%,20275
72,"ACU",62.84,3.29,2.86,11.90%,-1.26%,39.90%,5.13%,0.14%,0.96,4.07,19.45,1.86%,19345
73,"ACUR",23.02,48.88,47.82,34.52%,0.49%,56.80%,-0.24%,0.19%,1.13,79.86,0.46,-3.40%,221391
74,"ACW",212.88,47.73,47.25,0.20%,-65.47%,81.20%,-0.92%,1.77%,4.24,196.90,4.42,-0.90%,68588
75,"ACWI",,,,,,,,,0.86,1766.22,59.03,-0.66%,1773341
76,"ACWV",,,,,,,,,,127.81,69.25,-0.30%,33228
77,"ACWX",,,,,,,,,3.07,666.87,43.23,-0.71%,1355758
78,"ACXM",1602.58,77.01,75.99,2.20%,15.71%,94.40%,-1.34%,3.19%,4.54,534.22,20.54,-1.30%,355741
79,"ACY",13.69,1.61,1.12,2.30%,-27.43%,25.00%,-0.49%,0.09%,0.22,4.49,8.51,0.08%,8142
80,"ADAT",38.24,41.56,39.81,2.50%,10.94%,28.20%,4.18%,0.70%,2.89,96.67,0.93,1.17%,17268
81,"ADBE",36971.59,498.74,497.04,5.31%,-22.97%,92.50%,0.77%,1.08%,1.61,3335.92,73.08,-1.41%,1547776
82,"ADC",473.18,14.96,14.09,2.60%,7.76%,68.70%,0.26%,1.88%,2.70,98.29,31.61,-0.06%,43908
83,"ADEP",116.85,13.10,12.93,11.73%,0.13%,59.70%,14.16%,4.59%,5.04,117.75,8.53,-4.37%,72513
