"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AFFM","Affirmative Insurance Holdings Inc.","Financial","Property & Casualty Insurance","USA",37.29,,2.42,20.40%,1296
2,"AZC","Augusta Resource Corp.","Basic Materials","Copper","Canada",173.22,,1.20,90.48%,2310883
3,"BONT","Bon-Ton Stores Inc.","Services","Department Stores","USA",288.86,215.43,15.08,23.00%,1376573
4,"CBMX","CombiMatrix Corporation","Healthcare","Medical Laboratories & Research","USA",11.32,,3.19,36.32%,17231604
5,"CRME","Cardiome Pharma Corp.","Healthcare","Drug Manufacturers - Other","Canada",72.82,7.49,5.84,19.67%,517010
6,"DEAR","Dearborn Bancorp Inc.","Financial","Regional - Midwest Banks","USA",0.15,,0.02,17.65%,91400
7,"DLHC","DLH Holdings Corp.","Services","Staffing & Outsourcing Services","USA",12.86,,1.38,15.97%,25916
8,"DXM","Dex Media, Inc.","Services","Marketing Services","USA",121.78,,7.08,34.35%,2712422
9,"ENT","Global Eagle Entertainment Inc.","Conglomerates","Conglomerates","USA",818.26,,14.92,15.03%,2584529
10,"FMAR","First Mariner Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",13.96,,0.74,64.44%,114979
11,"HH","Hooper Holmes Inc.","Healthcare","Specialized Health Services","USA",37.02,,0.53,15.22%,106316
12,"MBIS","Mediabistro Inc.","Technology","Internet Information Providers","USA",15.66,,2.60,15.56%,124303
13,"MKTY","Mechanical Technology Inc.","Technology","Scientific & Technical Instruments","USA",4.53,,0.95,25.00%,26378
14,"OTIV","On Track Innovations Ltd.","Technology","Processing Systems & Products","Israel",110.07,,3.39,16.49%,2223702
15,"PTSX","Point.360","Services","Movie Production, Theaters","USA",5.99,,0.57,16.33%,25045
16,"REFR","Research Frontiers Inc.","Industrial Goods","Industrial Electrical Equipment","USA",170.27,,7.43,20.81%,1136963
17,"ZBB","ZBB Energy Corporation","Industrial Goods","Industrial Electrical Equipment","USA",44.15,,0.50,25.00%,200773
