"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18234.74,333.42,331.92,0.30%,13.76%,85.30%,1.29%,1.18%,1.38,2839.67,55.92,2.25%,2173782
2,"AA",13453.44,1078.00,1076.56,0.20%,54.33%,67.90%,12.40%,8.07%,3.21,27038.61,12.87,3.13%,39704360
3,"AADR",,,,,,,,,,3.14,37.70,0.96%,267
4,"AAIT",,,,,,,,,0.25,3.94,32.07,0.69%,1002
5,"AAL",16687.09,471.52,467.30,1.10%,340.03%,53.80%,,6.99%,2.94,11117.19,36.60,3.42%,8245478
6,"AAMC",2488.48,2.37,1.70,2.80%,3.11%,62.00%,7.62%,9.14%,6.23,24.99,1074.65,2.35%,11731
7,"AAME",77.12,21.07,5.14,8.50%,,4.90%,1.98%,0.09%,0.46,10.49,3.64,-0.55%,23692
8,"AAN",2176.68,71.98,69.81,0.60%,-4.21%,0.80%,,12.61%,6.11,1441.21,30.24,0.00%,811152
9,"AAOI",354.93,14.22,13.19,1.40%,,28.20%,78.38%,2.81%,2.50,147.84,24.67,-1.16%,502489
10,"AAON",1007.51,36.69,28.19,20.90%,-2.90%,58.60%,0.42%,3.61%,7.65,133.11,27.87,1.49%,106279
11,"AAP",9090.72,72.93,72.43,0.60%,-20.09%,95.60%,-0.96%,2.18%,1.78,888.54,126.50,1.48%,522682
12,"AAPL",478873.74,891.99,890.69,0.04%,6.89%,61.70%,0.04%,2.32%,1.99,10371.66,536.74,-0.02%,5837566
13,"AAT",1357.10,40.39,34.34,1.20%,-7.27%,86.10%,0.33%,2.08%,4.21,169.66,33.74,0.42%,105726
14,"AAU",88.10,64.31,52.88,5.36%,,5.90%,145.70%,0.78%,2.26,182.31,1.37,0.00%,128357
15,"AAV",819.52,168.28,167.57,0.25%,,58.00%,4.02%,0.06%,0.61,174.50,4.93,1.23%,541800
16,"AAWW",860.88,25.04,24.47,1.40%,14.35%,96.40%,-3.17%,10.55%,6.41,402.77,35.27,2.59%,262280
17,"AAXJ",,,,,,,,,0.64,717.64,59.09,0.34%,282716
18,"AB",2425.72,96.03,94.60,0.20%,-0.77%,28.90%,-3.91%,2.56%,6.11,395.54,24.97,-1.15%,551467
19,"ABAX",842.39,22.25,21.01,2.60%,2.12%,98.50%,1.11%,15.25%,15.85,202.11,38.88,2.69%,141439
20,"ABB",59226.40,2315.34,2292.11,,,5.60%,53.72%,0.28%,3.29,1934.14,25.79,0.82%,1079675
21,"ABBV",81366.63,1596.05,1594.47,0.10%,19.10%,69.90%,2.48%,0.73%,1.77,6582.12,51.40,0.82%,4723137
22,"ABC",14856.74,229.20,226.31,0.20%,-1.08%,87.00%,-2.05%,2.88%,3.61,1803.21,65.59,1.19%,1465047
23,"ABCB",581.43,25.17,24.20,2.80%,8.97%,63.10%,-3.93%,2.57%,6.07,102.46,23.30,0.87%,91888
24,"ABCD",95.59,44.88,13.08,71.14%,-2.81%,15.30%,-18.43%,0.12%,0.44,35.03,2.13,0.00%,4774
25,"ABCO",2279.35,36.14,35.93,0.60%,8.51%,96.80%,1.60%,7.97%,11.20,255.68,64.25,1.87%,162009
26,"ABFS",912.18,25.87,24.62,3.30%,15.26%,94.90%,-1.23%,5.59%,3.57,385.78,36.95,4.79%,300443
27,"ABG",1669.37,30.84,30.19,1.80%,-8.57%,98.20%,-0.87%,3.62%,3.39,322.08,55.31,2.18%,504880
28,"ABIO",37.80,21.00,18.08,2.60%,21.30%,16.90%,278.76%,20.33%,3.01,1221.11,1.86,3.33%,236381
29,"ABM",1571.90,55.86,50.48,1.80%,5.68%,83.50%,2.47%,2.38%,5.68,211.78,28.74,2.13%,286788
