"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AERG","Applied Energetics, Inc.","Technology","Scientific & Technical Instruments","USA",1.15,,0.01,-19.20%,12548
2,"CYNI","Cyan, Inc.","Technology","Communication Equipment","USA",239.17,,3.63,-29.79%,3811151
3,"GNI","Great Northern Iron Ore Properties","Basic Materials","Industrial Metals & Minerals","USA",53.55,3.65,26.82,-24.87%,485837
4,"PKT","Procera Networks, Inc.","Technology","Business Software & Services","USA",298.26,,11.94,-19.82%,2036445
5,"RINO","RINO International Corporation","Industrial Goods","Pollution & Treatment Controls","China",1.14,0.02,0.03,-25.00%,37331
6,"SCIL","Scientific Learning Corp.","Services","Education & Training Services","USA",8.18,,0.29,-17.14%,1200
7,"TNGN","Tengion, Inc.","Healthcare","Biotechnology","USA",0.62,,0.20,-18.00%,165735
