"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ARCI","Appliance Recycling Centers of America Inc.","Services","Electronics Stores","USA",16.10,5.05,3.70,28.47%,1008675
2,"DXM","Dex Media, Inc.","Services","Marketing Services","USA",134.95,,9.35,22.22%,2849250
3,"IGC","India Globalization Capital, Inc.","Industrial Goods","Heavy Construction","USA",5.38,,0.82,20.59%,1011145
4,"ODP","Office Depot, Inc.","Services","Specialty Retail, Other","USA",2229.91,,4.83,15.83%,56647784
5,"SPBC","SP Bancorp, Inc.","Financial","Credit Services","USA",33.60,22.58,28.51,35.76%,217149
6,"SYPR","Sypris Solutions Inc.","Consumer Goods","Auto Parts","USA",60.09,,3.49,18.31%,249221
7,"ZBB","ZBB Energy Corporation","Industrial Goods","Industrial Electrical Equipment","USA",27.44,,1.37,19.74%,893932
