"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AXN","Aoxing Pharmaceutical Company, Inc.","Healthcare","Drug Manufacturers - Major","USA",17.25,,0.35,15.43%,203959
2,"CELM","China Electric Motor, Inc.","Consumer Goods","Electronic Equipment","China",1.54,0.10,0.07,25.00%,300
3,"CHGS","China Gengsheng Minerals, Inc.","Basic Materials","Nonmetallic Mineral Mining","China",17.69,,0.66,17.86%,2166642
4,"CRAY","Cray Inc.","Technology","Diversified Computer Systems","USA",1586.62,,41.66,39.01%,4811313
5,"ELLI","Ellie Mae, Inc. Common Stock","Technology","Application Software","USA",781.25,55.25,29.28,17.87%,3093395
6,"FONR","Fonar Corp.","Healthcare","Medical Appliances & Equipment","USA",138.30,15.20,22.65,25.14%,1564930
7,"GIGA","Giga-tronics Inc.","Technology","Scientific & Technical Instruments","USA",7.27,,1.44,18.77%,67660
8,"GPL","Great Panther Silver Ltd","Basic Materials","Silver","Canada",170.04,,1.23,17.14%,3251295
9,"LCAV","LCA-Vision Inc.","Healthcare","Medical Practitioners","USA",104.67,,5.44,28.00%,5009391
10,"LOGM","LogMeIn, Inc.","Technology","Application Software","USA",979.41,,40.48,21.67%,3578857
11,"MGN","Mines Management, Inc.","Basic Materials","Silver","USA",34.80,,1.20,25.00%,954821
12,"MNGA","Magnegas Corporation","Basic Materials","Major Integrated Oil & Gas","USA",21.77,,0.95,21.79%,2065891
13,"MTEX","Mannatech Inc.","Consumer Goods","Personal Products","USA",49.05,56.09,18.51,15.69%,33265
14,"NTIC","Northern Technologies International Corp.","Consumer Goods","Packaging & Containers","USA",100.63,26.69,22.69,17.99%,37508
15,"QBAK","Qualstar Corp.","Technology","Diversified Electronics","USA",19.11,,1.56,35.65%,1169929
16,"RATE","Bankrate, Inc.","Technology","Internet Information Providers","USA",2082.66,,20.80,19.54%,3811859
17,"SARA","Saratoga Resources Inc.","Basic Materials","Independent Oil & Gas","USA",43.01,,1.39,23.01%,1112498
18,"SYMX","Synthesis Energy Systems, Inc.","Basic Materials","Specialty Chemicals","USA",117.24,,1.84,28.67%,13355921
