"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",13345.74,335.32,334.81,0.30%,-40.10%,85.60%,0.53%,0.83%,0.96,2921.77,39.18,-1.56%,2080604
2,"AA",17635.15,1178.82,1177.30,0.10%,-58.73%,69.30%,0.05%,2.82%,1.77,18763.01,15.07,0.74%,19359271
3,"AAC",626.71,21.08,7.82,42.10%,0.00%,2.80%,,5.93%,4.23,109.66,29.38,-1.18%,62599
4,"AADR",,,,,,,,,,1.51,35.89,-0.83%,628
5,"AAIT",,,,,,,,,0.00,0.96,32.02,-2.23%,2004
6,"AAL",38645.97,717.26,713.67,0.55%,0.00%,70.20%,0.13%,3.07%,1.41,15520.69,53.04,-1.56%,13750189
7,"AAMC",746.51,2.19,1.54,2.40%,238.04%,75.40%,6.31%,13.42%,15.87,13.02,328.00,-3.78%,29845
8,"AAME",82.69,20.62,4.55,77.33%,-0.03%,4.90%,-1.79%,0.25%,2.44,4.59,3.92,-2.24%,9743
9,"AAN",2210.64,72.48,72.03,0.60%,-0.36%,99.40%,-0.08%,5.18%,6.19,602.49,29.36,-3.74%,1222526
10,"AAOI",157.83,14.82,14.39,2.80%,-2.81%,61.10%,3.29%,13.76%,5.26,376.72,10.25,-3.76%,183507
11,"AAON",1154.22,54.47,41.63,21.00%,0.00%,61.10%,0.10%,2.88%,7.16,167.46,20.85,-1.60%,125906
12,"AAP",11420.75,72.99,72.61,0.50%,-21.40%,96.40%,0.29%,3.15%,2.76,828.50,156.36,-0.07%,872305
13,"AAPL",623139.25,5864.84,5861.63,0.05%,-32.75%,61.90%,0.02%,0.92%,1.05,51202.23,106.34,0.09%,65618843
14,"AAT",1780.60,43.61,37.47,1.20%,353.80%,99.30%,0.22%,1.60%,4.00,149.97,41.15,0.78%,307322
15,"AAU",64.50,67.89,57.22,,,5.90%,128.17%,0.44%,1.67,150.26,1.00,5.26%,269211
16,"AAV",781.77,170.32,168.08,0.25%,0.00%,58.00%,3.97%,0.46%,2.61,293.97,4.53,-1.31%,322907
17,"AAVL",1324.38,22.47,14.56,29.30%,0.00%,66.70%,3.00%,8.60%,9.74,128.55,53.95,-8.47%,392085
18,"AAWW",1157.39,24.81,24.28,1.10%,-19.95%,,0.01%,8.66%,8.52,246.83,45.66,-2.12%,373852
19,"AAXJ",,,,,,,,,1.49,872.74,59.32,-1.03%,725938
20,"AB",2449.40,97.16,91.47,5.81%,-0.09%,29.40%,-0.20%,0.53%,1.50,323.55,24.63,-2.30%,298797
21,"ABAC",57.96,32.38,16.88,,,0.60%,-3.09%,0.21%,1.01,35.55,1.70,-5.03%,5619
22,"ABAX",1297.40,22.54,21.29,3.30%,-7.23%,,0.34%,17.14%,18.51,197.13,57.11,-0.78%,220217
23,"ABB",47844.49,2347.62,2307.14,,,4.70%,0.59%,0.21%,2.75,1782.18,20.10,-1.37%,1719738
24,"ABBV",103016.54,1593.45,1572.58,0.08%,-0.78%,87.50%,-2.21%,1.14%,1.55,11574.92,64.33,-0.49%,5483737
25,"ABC",19614.31,218.69,206.68,0.30%,-6.98%,87.30%,0.09%,3.82%,4.49,1758.84,90.18,0.55%,1761559
26,"ABCB",711.04,28.16,25.51,2.40%,-2.45%,63.00%,0.12%,3.92%,9.07,110.23,24.73,-2.06%,103294
27,"ABCD",79.54,44.94,12.42,72.10%,0.02%,10.70%,-80.25%,0.05%,0.39,15.82,1.73,-2.27%,24523
28,"ABCO",1756.57,36.01,35.73,0.30%,-55.45%,,0.01%,7.06%,6.63,380.21,48.54,-0.49%,304974
29,"ABCW",322.20,9.24,2.15,21.38%,0.00%,,,0.01%,0.01,21.48,34.53,-0.98%,30160
30,"ABEV",91688.00,15700.00,6000.00,,,,,0.62%,2.36,15891.74,6.06,3.77%,22492109
31,"ABG",2202.98,29.77,29.30,0.50%,-24.34%,99.40%,5.00%,8.13%,5.85,407.26,72.69,-1.77%,453562
32,"ABIO",20.73,21.15,17.64,1.90%,-5.21%,13.00%,-0.11%,7.72%,3.39,402.14,0.94,-4.07%,413378
33,"ABM",1587.20,55.75,50.41,1.80%,-20.35%,85.60%,0.00%,1.83%,4.51,203.97,28.61,0.49%,634659
34,"ABMD",1516.16,40.90,40.26,2.90%,-23.50%,,-0.34%,10.99%,11.81,374.57,36.13,-2.54%,414974
35,"ABR",353.86,50.48,38.65,0.10%,-12.94%,60.50%,-6.13%,0.19%,0.80,90.64,7.00,-0.14%,153467
36,"ABT",67625.03,1505.79,1502.71,0.10%,-24.64%,69.20%,0.00%,0.76%,2.30,4989.08,44.40,-1.14%,6584307
37,"ABTL",100.77,9.03,8.90,0.50%,51.48%,58.80%,4.14%,1.04%,0.87,107.21,10.91,-2.24%,74583
38,"ABX",12699.59,1165.10,1161.16,,,72.10%,-2.21%,1.87%,1.30,16729.99,11.27,3.39%,21581657
39,"ABY",2224.71,83.73,83.72,,,35.30%,0.39%,3.68%,4.45,692.57,27.23,2.48%,1166776
40,"ACAD",3102.85,99.77,99.48,0.10%,-76.23%,95.30%,0.12%,18.34%,15.53,1175.01,30.98,-0.39%,1527225
41,"ACAS",3956.06,269.67,269.27,1.00%,-13.39%,68.40%,-0.01%,1.41%,1.58,2391.72,14.33,-2.32%,2823630
42,"ACAT",443.32,12.94,12.70,1.70%,-1.65%,91.30%,3.40%,5.11%,4.16,156.13,34.00,-0.76%,211870
43,"ACC",4450.78,105.12,104.53,0.56%,-0.32%,,0.19%,1.35%,1.63,863.47,42.78,1.04%,1138268
