"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
5080,"PZN",656.97,65.24,12.45,6.10%,12.53%,61.60%,0.01%,2.40%,10.70,27.87,10.22,1.49%,31729
5081,"PZT",,,,,,,,,,4.61,24.38,0.00%,6290
5082,"PZZA",1741.57,40.93,30.03,26.00%,0.90%,67.70%,-1.80%,3.79%,3.07,370.56,43.62,2.51%,211500
5083,"PZZI",66.52,9.29,8.93,1.60%,-5.11%,42.10%,-2.00%,3.21%,5.51,52.09,7.39,3.21%,17371
5084,"Q",7038.58,127.28,107.37,12.90%,-19.12%,83.40%,0.26%,1.87%,3.78,530.26,54.78,-0.94%,372962
5085,"QABA",,,,,,,,,3.18,20.81,33.19,-0.27%,5219
5086,"QADA",303.83,16.05,6.47,62.62%,,22.00%,-6.13%,2.70%,12.81,13.64,19.19,1.37%,23744
5087,"QADB",330.42,18.49,2.15,57.00%,0.05%,30.00%,1.56%,0.21%,1.54,2.91,16.79,-6.04%,4010
5088,"QAI",,,,,,,,,,173.19,29.14,0.41%,112866
5089,"QAT",,,,,,,,,2.68,19.18,24.89,0.20%,9745
5090,"QAUS",,,,,,,,,,0.73,56.30,0.00%,0
5091,"QBAK",15.20,12.26,5.23,47.89%,0.60%,12.50%,-3.83%,0.28%,0.75,19.18,1.24,0.00%,5900
5092,"QCAN",,,,,,,,,,1.57,57.21,-0.17%,331
5093,"QCCO",28.00,17.50,4.75,1.40%,2.08%,12.70%,2.63%,0.09%,0.27,15.12,1.61,0.62%,7787
5094,"QCLN",,,,,,,,,0.44,90.73,17.01,2.10%,65463
5095,"QCOM",121394.13,1676.02,1673.10,1.25%,-0.53%,79.90%,-0.22%,0.96%,1.70,9437.01,73.27,1.16%,6416448
5096,"QCRH",141.39,7.93,6.91,2.30%,28.09%,17.10%,3.27%,0.09%,1.00,5.95,17.88,0.28%,1516
5097,"QDEF",,,,,,,,,,32.50,33.26,0.94%,46886
5098,"QDEL",975.43,34.31,28.58,0.90%,2.32%,92.20%,0.94%,17.17%,25.42,192.99,27.52,-3.20%,154404
5099,"QDEM",,,,,,,,,,1.41,50.12,-0.50%,200
5100,"QDEU",,,,,,,,,,1.31,50.23,-0.53%,1
5101,"QDF",,,,,,,,,,76.39,33.80,0.96%,62336
5102,"QDXU",,,,,,,,,,0.30,47.47,-0.13%,200
5103,"QDYN",,,,,,,,,,13.41,33.82,0.58%,2600
5104,"QEFA",,,,,,,,,,0.33,53.67,0.00%,0
