"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BBRY","Research In Motion Limited","Technology","Diversified Communication Services","Canada",5089.59,,12.60,29.71%,70255496
2,"BOIL","ProShares Ultra Bloomberg Natural Gas","Financial","Exchange Traded Fund","USA",,,19.11,22.19%,561308
3,"ETRM","EnteroMedics Inc.","Healthcare","Medical Appliances & Equipment","USA",81.55,,1.40,18.64%,20636928
4,"FCSC","Fibrocell Science, Inc.","Healthcare","Drugs - Generic","USA",118.87,,4.00,37.46%,881260
5,"IHT","Innsuites Hospitality Trust","Financial","REIT - Hotel/Motel","USA",20.81,,3.06,21.91%,23402
6,"KONE","Kingtone Wirelessinfo Solution Holding Ltd.","Technology","Business Software & Services","China",3.72,,3.22,22.90%,41218
7,"MDGN","Medgenics, Inc.","Healthcare","Biotechnology","USA",145.38,,7.12,17.69%,363970
8,"NRX","NephroGenex, Inc.","Healthcare","Drugs - Generic","USA",68.12,,9.00,17.19%,279236
9,"RGDO","Regado Biosciences, Inc.","Healthcare","Biotechnology","USA",28.89,,1.01,17.44%,8300707
10,"SMSI","Smith Micro Software Inc.","Technology","Application Software","USA",56.80,,1.75,38.89%,5280919
11,"UGAZ","VelocityShares 3x Long Natural Gas ETN","Financial","Exchange Traded Fund","USA",,,5.18,32.82%,42765013
12,"XON","Intrexon Corporation","Healthcare","Biotechnology","USA",2851.75,,37.30,31.48%,5185228
13,"ZIOP","ZIOPHARM Oncology, Inc.","Healthcare","Biotechnology","USA",589.56,,8.87,54.53%,38612043
