"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18948.26,333.42,331.93,0.30%,13.63%,84.40%,-1.00%,1.01%,1.27,2637.06,55.85,-1.72%,2546370
2,"AA",16165.88,1172.29,1170.85,0.20%,47.31%,61.80%,-0.99%,6.75%,3.43,23007.35,13.56,-1.67%,14012967
3,"AADR",,,,,,,,,,2.51,37.96,0.27%,1335
4,"AAIT",,,,,,,,,0.00,3.02,32.73,0.43%,1099
5,"AAL",28311.06,720.20,715.61,0.80%,372.03%,43.20%,22.49%,2.09%,1.48,10108.11,38.84,-1.20%,7984411
6,"AAMC",1841.39,2.24,1.58,3.00%,-17.24%,65.00%,-0.82%,7.96%,5.15,24.40,819.25,-0.34%,9535
7,"AAME",73.71,21.06,4.98,8.60%,,4.90%,-0.19%,0.05%,0.23,10.53,3.46,-1.14%,3853
8,"AAN",2355.91,71.98,69.81,0.70%,24.76%,0.80%,,11.08%,7.12,1086.44,32.48,-0.76%,847535
9,"AAOI",254.76,14.76,14.64,1.30%,43.32%,27.80%,2.60%,4.15%,2.32,261.59,17.22,-0.23%,179710
10,"AAON",1137.05,36.62,28.14,20.90%,-2.68%,57.90%,-1.34%,3.53%,7.53,131.82,30.11,-3.03%,101742
11,"AAP",9001.53,72.94,72.49,0.60%,-20.09%,98.00%,2.94%,2.65%,2.51,765.16,123.14,-0.22%,1549140
12,"AAPL",511453.00,861.38,860.57,0.04%,6.16%,63.80%,-0.03%,2.16%,1.92,9726.87,593.87,0.02%,5910431
13,"AAT",1437.28,41.94,35.88,1.10%,-7.61%,86.10%,0.11%,2.16%,4.61,168.40,34.08,-0.55%,239537
14,"AAU",84.16,63.28,52.87,5.36%,,5.90%,151.67%,0.81%,3.21,133.46,1.34,0.75%,44242
15,"AAV",1002.82,169.11,167.50,0.25%,,58.00%,4.00%,0.13%,0.55,387.16,5.83,-1.69%,656031
16,"AAWW",943.60,25.23,24.66,1.40%,17.26%,94.30%,27.92%,12.17%,8.88,337.81,36.51,-2.38%,251458
17,"AAXJ",,,,,,,,,2.14,518.12,61.01,0.41%,218956
18,"AB",2317.46,96.24,91.06,0.20%,-0.77%,29.30%,1.36%,2.38%,5.12,422.97,23.91,-0.71%,158635
19,"ABAX",991.46,22.25,20.90,6.20%,12.38%,97.20%,2.84%,15.56%,22.12,147.05,43.67,-2.00%,124482
20,"ABB",55067.79,2334.37,2291.55,,,6.00%,8.24%,0.24%,2.65,2099.85,23.73,0.59%,1670112
21,"ABBV",83313.81,1596.05,1594.50,0.10%,19.10%,69.50%,-0.55%,0.67%,1.77,6061.96,52.87,1.28%,4876428
22,"ABC",15097.40,225.84,217.25,0.20%,-50.12%,88.80%,0.62%,2.97%,3.46,1865.46,67.30,0.67%,1976552
23,"ABCB",524.59,25.16,24.19,2.40%,9.82%,63.40%,0.50%,2.55%,6.91,89.32,20.34,-2.45%,147663
24,"ABCD",102.73,44.86,13.18,71.14%,-2.81%,11.90%,0.09%,0.04%,0.17,30.68,2.31,0.87%,15481
25,"ABCO",1818.93,36.14,35.88,0.70%,45.41%,96.80%,1.48%,10.25%,15.01,244.82,49.29,-2.07%,334446
26,"ABG",1945.07,30.66,30.12,1.50%,-16.52%,98.20%,-0.59%,4.62%,4.53,307.11,62.94,-0.79%,303763
27,"ABIO",30.25,21.01,17.50,2.60%,21.30%,17.00%,0.34%,23.27%,5.46,745.47,1.37,-4.86%,248784
28,"ABM",1517.72,55.86,50.50,1.80%,5.90%,86.60%,3.79%,2.82%,6.51,218.73,26.49,-2.50%,167706
29,"ABMD",860.28,39.92,39.47,1.60%,1.59%,99.40%,1.18%,18.77%,15.73,470.97,21.55,0.00%,259626
30,"ABR",357.50,50.14,38.49,0.50%,-9.72%,46.70%,0.54%,0.46%,1.37,128.23,7.11,-0.28%,161022
31,"ABT",59566.94,1501.94,1498.97,0.20%,6.15%,69.50%,-0.11%,0.71%,1.40,7575.98,39.93,0.68%,7179020
32,"ABTL",106.62,8.99,8.86,8.62%,-35.79%,60.70%,15.69%,1.48%,0.42,312.28,12.00,1.18%,166129
33,"ABX",20230.46,1172.78,1161.16,,,73.90%,2.68%,0.94%,0.95,11517.45,17.40,0.87%,7854922
34,"ACAD",1864.59,98.97,98.67,0.10%,23.41%,85.90%,1.59%,14.72%,6.04,2403.60,18.87,0.16%,1129373
35,"ACAS",4060.09,263.30,252.77,1.60%,-6.36%,66.40%,0.48%,1.91%,1.45,3318.10,15.14,-1.82%,1775927
36,"ACAT",530.07,13.14,12.94,1.80%,6.77%,95.50%,11.14%,8.22%,5.99,177.52,38.91,-3.54%,474425
37,"ACC",4041.13,104.91,104.39,0.60%,19.79%,99.00%,2.65%,2.03%,3.16,672.64,38.58,0.16%,391137
38,"ACCO",707.42,114.10,112.75,0.60%,21.90%,99.80%,-2.05%,14.27%,26.57,605.42,5.96,-3.87%,521359
39,"ACCU",,,,,,,,,,19.23,27.23,0.29%,1300
40,"ACE",34935.06,337.70,335.51,0.60%,16.50%,94.10%,-0.51%,1.44%,3.54,1365.80,102.70,-0.72%,1043262
41,"ACET",522.19,28.38,26.87,2.00%,8.82%,65.10%,-0.86%,3.33%,2.18,410.42,17.87,-2.88%,530105
42,"ACFC",65.72,15.50,10.71,1.10%,,46.50%,-1.34%,0.17%,0.85,21.10,4.17,-1.75%,11850
43,"ACFN",39.09,22.21,20.45,6.60%,3.39%,43.00%,2.79%,10.04%,10.10,203.23,1.71,-2.84%,295039
44,"ACG",1802.39,242.91,242.79,,,31.00%,10.93%,0.03%,0.08,794.42,7.41,-0.13%,719922
45,"ACGL",7677.04,134.05,129.04,1.00%,-1.18%,91.80%,-0.55%,1.18%,3.19,476.57,56.71,-0.98%,342239
46,"ACH",6221.31,682.91,156.18,,,1.60%,0.12%,1.44%,21.86,103.00,9.14,0.33%,61656
47,"ACHC",2186.16,50.77,47.14,2.00%,-11.43%,72.50%,4.27%,9.43%,10.15,437.76,42.91,-0.35%,259640
48,"ACHN",279.78,96.81,96.59,0.10%,-0.71%,97.90%,6.12%,20.06%,11.80,1641.40,2.70,-6.57%,1138396
49,"ACI",904.48,212.32,209.66,0.54%,-1.55%,69.10%,8.99%,16.57%,4.32,8039.35,4.21,-1.17%,3788141
50,"ACIM",,,,,,,,,,0.97,64.16,0.00%,0
51,"ACIW",2093.74,37.93,37.36,1.30%,13.07%,98.90%,0.57%,4.13%,5.32,290.37,53.58,-2.93%,173445
52,"ACLS",182.32,111.17,109.24,0.50%,-5.60%,56.40%,6.55%,1.98%,3.53,613.76,1.56,-4.88%,674080
53,"ACM",3177.99,99.25,89.19,1.00%,-20.63%,73.40%,1.44%,1.32%,1.85,634.32,31.36,-2.06%,344515
54,"ACMP",11101.36,189.54,175.49,21.30%,-10.74%,68.60%,-1.35%,0.72%,3.04,414.20,59.09,0.89%,579691
55,"ACN",53615.08,672.88,637.70,0.30%,1.36%,82.20%,-0.26%,2.17%,4.55,3033.22,78.85,-1.04%,1704273
56,"ACNB",118.26,6.00,5.86,1.90%,5.56%,7.60%,0.66%,0.01%,0.18,4.50,19.50,-1.07%,479
57,"ACO",1487.92,32.53,24.97,6.40%,-3.79%,71.60%,3.03%,2.08%,1.04,497.62,45.74,0.00%,0
58,"ACOR",1264.08,41.65,40.86,1.90%,-2.70%,98.30%,-1.10%,7.53%,5.76,534.35,30.13,-0.72%,433317
59,"ACPW",62.34,23.09,21.30,0.50%,-34.57%,40.40%,4.89%,0.59%,0.71,176.31,2.66,-1.48%,67607
60,"ACRE",362.81,28.59,26.07,1.20%,-84.39%,65.70%,9.27%,3.31%,4.21,204.73,12.59,-0.79%,199291
61,"ACRX",415.87,43.32,42.67,0.60%,-93.26%,88.30%,-0.92%,11.53%,8.04,611.86,9.20,-4.17%,591910
62,"ACST",96.71,103.99,49.20,,,,,0.22%,0.20,547.04,0.89,-4.30%,156095
63,"ACT",36105.92,174.45,173.51,0.40%,-22.45%,87.40%,1.26%,7.91%,4.47,3071.30,206.08,-0.43%,1493657
64,"ACTG",786.63,50.04,45.33,1.90%,19.03%,82.20%,5.61%,24.98%,15.79,716.99,15.33,-2.48%,333832
65,"ACTS",136.33,68.51,65.49,5.61%,,5.90%,,0.05%,0.74,40.48,1.90,-4.52%,217032
66,"ACU",52.80,3.21,2.76,10.70%,-2.55%,36.40%,6.47%,0.19%,0.49,10.80,16.51,0.36%,1555
67,"ACUR",59.61,48.86,47.90,1.30%,-48.87%,56.50%,-11.37%,0.55%,0.73,358.19,1.19,-2.46%,186802
68,"ACW",272.31,47.69,47.22,0.80%,1.24%,89.20%,2.27%,7.90%,11.84,315.20,5.27,-7.71%,423901
