"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18747.84,331.00,330.87,0.30%,5.30%,84.80%,0.17%,0.90%,1.31,2270.32,57.45,1.43%,1461355
2,"AA",11267.10,1070.00,1068.57,0.07%,10.31%,60.90%,-0.06%,11.01%,4.62,25475.40,10.54,0.09%,17595804
3,"AADR",,,,,,,,,,7.03,37.36,0.78%,9835
4,"AAIT",,,,,,,,,0.58,1.78,30.81,-0.93%,1481
5,"AAL",9082.08,336.00,751.64,0.70%,,4.50%,63.41%,9.82%,6.61,11178.88,26.91,-0.46%,11281504
6,"AAMC",2141.16,2.35,,46.34%,0.02%,15.30%,11.76%,,3.87,7.82,932.50,2.35%,12174
7,"AAME",85.83,21.30,5.14,75.13%,,4.80%,3.06%,0.13%,0.69,9.62,4.04,0.25%,12003
8,"AAN",2238.89,76.10,67.11,0.50%,-6.63%,0.80%,,9.09%,8.95,681.54,29.06,-1.22%,860984
9,"AAOI",180.62,12.60,11.45,0.90%,,19.10%,7.74%,0.42%,0.58,81.91,14.74,2.86%,49191
10,"AAON",1145.25,36.74,28.06,0.30%,-12.68%,58.40%,0.01%,3.61%,9.87,102.47,31.62,1.44%,126414
11,"AAP",8133.11,72.75,72.23,0.80%,4.87%,96.10%,-0.15%,3.90%,3.13,899.43,113.18,1.23%,921450
12,"AAPL",491799.74,904.16,899.25,0.04%,-3.73%,61.20%,-0.01%,1.78%,1.42,11294.13,540.04,-0.72%,11376894
13,"AAT",1259.81,39.82,34.34,0.60%,0.28%,86.10%,0.09%,2.11%,2.88,250.98,32.00,1.14%,104239
14,"AAU",78.06,60.05,52.92,5.36%,,5.90%,174.02%,0.87%,4.04,114.71,1.25,-3.85%,139376
15,"AAV",732.47,168.38,167.07,0.25%,,58.00%,4.02%,0.18%,2.07,146.98,4.55,4.60%,164320
16,"AAWW",1013.00,25.12,24.52,12.22%,0.03%,99.70%,-13.52%,3.88%,2.83,336.12,40.44,0.30%,156811
17,"AAXJ",,,,,,,,,2.65,635.14,57.91,0.47%,500892
18,"AB",2009.38,92.26,86.69,0.10%,-0.80%,33.10%,5.15%,2.63%,5.68,401.43,22.22,2.02%,295851
19,"ABAX",916.55,22.31,21.08,1.80%,-5.19%,97.30%,-0.04%,9.15%,10.76,179.30,42.46,3.33%,218425
20,"ABB",59124.78,2297.00,2295.97,,,3.60%,0.00%,0.18%,3.10,1349.94,25.87,0.51%,896917
21,"ABBV",80120.10,1590.00,1589.52,0.06%,1.71%,68.40%,0.18%,0.91%,2.60,5577.40,50.49,0.20%,9365912
22,"ABC",16059.99,230.45,229.57,0.20%,29.14%,89.00%,0.02%,2.79%,4.45,1439.56,70.45,1.09%,1530404
23,"ABCB",499.53,23.90,22.99,1.30%,3.67%,64.10%,-7.19%,2.09%,5.03,95.34,21.02,0.57%,16844
24,"ABCD",90.37,47.56,11.39,71.14%,-2.66%,18.70%,-9.49%,0.07%,0.32,24.15,1.88,-1.05%,24292
25,"ABCO",2154.06,35.88,35.86,0.40%,-5.28%,96.80%,0.01%,6.47%,11.81,196.43,60.76,1.22%,195392
26,"ABFS",864.25,25.74,24.30,3.30%,12.00%,96.50%,0.00%,12.21%,6.01,494.11,33.89,0.92%,547899
27,"ABG",1618.20,30.70,30.28,0.50%,-59.76%,98.50%,-13.54%,3.49%,3.31,319.23,52.81,0.19%,166433
28,"ABIO",18.85,10.83,12.88,15.40%,19.74%,5.20%,-2.18%,17.17%,1.92,1149.93,1.80,3.45%,1663647
29,"ABM",1567.41,55.33,50.23,1.70%,6.69%,82.00%,0.08%,1.45%,3.16,231.21,28.45,0.42%,137916
30,"ABMC",2.83,21.74,18.70,14.00%,,12.00%,-11.83%,0.03%,0.30,19.35,0.13,0.00%,250
31,"ABMD",1071.80,39.26,39.02,2.90%,-0.09%,98.60%,0.00%,10.65%,11.07,375.50,27.62,1.17%,303425
32,"ABR",299.21,43.11,38.30,0.20%,-8.49%,59.10%,0.01%,0.38%,1.03,141.87,6.97,0.43%,73567
33,"ABT",60753.09,1551.80,1543.41,0.10%,0.71%,68.50%,-0.01%,0.90%,2.09,6676.66,38.85,-0.77%,8318960
34,"ABTL",126.84,8.90,8.78,8.62%,-44.21%,54.90%,-3.72%,0.67%,0.27,219.42,14.81,3.93%,249005
35,"ABX",18368.35,1001.00,1161.43,,,73.90%,3.15%,1.28%,0.86,17360.51,18.27,-0.44%,10187494
36,"ACAD",2210.75,89.50,90.64,0.10%,-6.28%,88.30%,0.17%,11.32%,4.51,2272.19,23.61,-4.41%,2211838
37,"ACAS",4469.40,286.50,267.06,1.10%,-2.84%,61.20%,0.00%,1.06%,1.41,2007.40,15.66,0.42%,3847878
38,"ACAT",762.74,13.38,13.27,1.60%,-13.00%,88.00%,0.16%,4.67%,4.85,127.87,58.02,1.77%,190155
39,"ACC",3497.59,104.78,104.27,0.30%,5.36%,99.30%,-0.72%,2.56%,3.13,852.09,33.19,-0.57%,727520
40,"ACCL",529.33,55.66,55.13,0.92%,-17.68%,89.80%,0.00%,1.45%,6.62,121.19,9.72,2.21%,331717
41,"ACCO",730.45,113.60,112.60,0.30%,-24.06%,,0.25%,14.11%,20.32,782.07,6.52,1.40%,446730
42,"ACCU",,,,,,,,,,20.43,27.46,0.00%,0
43,"ACE",34460.47,340.89,338.37,0.40%,-0.44%,93.20%,0.00%,1.02%,2.96,1166.15,100.27,-0.81%,2213656
44,"ACET",648.68,27.76,26.64,2.60%,36.25%,66.20%,-16.85%,1.42%,1.33,286.26,23.39,0.09%,348377
45,"ACFC",11.25,2.51,14.49,1.30%,,10.70%,-402.43%,0.09%,0.21,64.26,4.50,0.22%,7116
46,"ACFN",76.52,18.09,20.47,6.90%,16.09%,42.00%,0.03%,13.37%,7.35,372.43,4.34,2.60%,172068
47,"ACG",1748.97,242.91,242.91,,,25.40%,0.85%,0.08%,0.22,924.25,7.22,0.28%,440523
48,"ACGL",7329.53,131.50,127.98,0.90%,-4.29%,92.60%,0.00%,2.15%,8.07,341.58,55.76,0.04%,818562
49,"ACH",4479.31,540.98,156.18,,,2.10%,,2.01%,28.73,109.38,8.35,0.85%,132680
50,"ACHC",2420.94,50.04,46.86,0.50%,-44.42%,72.50%,0.01%,11.89%,18.81,296.20,48.48,0.21%,635762
51,"ACHN",326.67,96.65,96.45,0.10%,-0.71%,94.80%,-0.09%,17.37%,7.00,2391.76,3.31,-2.07%,2049600
52,"ACI",937.53,212.11,211.11,0.54%,0.44%,62.10%,-0.02%,20.36%,4.67,9198.54,4.33,-2.04%,8643806
53,"ACIM",,,,,,,,,,3.23,61.75,0.28%,5340
54,"ACIW",2471.13,39.13,38.05,1.00%,-2.98%,98.90%,-0.03%,6.42%,8.39,291.31,64.30,1.80%,292250
55,"ACLS",262.87,109.07,107.96,1.40%,1.06%,50.00%,-43.93%,0.96%,1.64,636.00,2.38,-1.24%,1171895
56,"ACM",2883.92,98.03,85.13,1.10%,-30.27%,72.40%,0.00%,1.01%,1.41,610.67,30.13,2.41%,1020503
57,"ACMP",9806.17,178.04,188.90,0.10%,0.04%,69.70%,-5.99%,0.45%,2.05,417.97,55.08,0.00%,289178
58,"ACN",51279.50,636.70,507.61,0.30%,5.29%,81.80%,0.60%,3.25%,5.14,3208.57,81.52,1.22%,3362193
59,"ACNB",110.67,5.98,5.84,1.70%,2.01%,6.90%,0.39%,0.04%,0.65,4.04,18.75,1.32%,7958
60,"ACO",1104.93,32.52,24.82,6.20%,-5.00%,70.70%,0.00%,6.12%,14.05,108.17,33.93,-0.15%,102822
61,"ACOR",1126.80,40.32,40.54,1.80%,17.11%,86.70%,0.03%,6.99%,6.61,429.12,27.88,-0.25%,409993
62,"ACPW",66.33,19.34,18.10,0.80%,-22.53%,44.30%,9.17%,3.11%,6.30,89.54,3.67,7.00%,274551
63,"ACRE",373.49,27.98,25.98,1.20%,-84.65%,51.30%,-3.30%,3.76%,3.76,260.15,13.38,0.22%,469780
64,"ACRX",468.94,41.46,42.40,0.10%,13.46%,81.90%,-0.93%,12.60%,6.66,802.07,11.92,5.39%,607007
65,"ACST",106.96,85.57,39.75,,,,,0.05%,0.10,187.79,1.28,2.40%,279645
66,"ACT",22250.72,132.50,173.05,0.40%,-37.13%,69.10%,-0.17%,1.06%,1.44,1269.64,169.90,1.17%,1094380
67,"ACTG",695.95,48.33,46.19,2.10%,-11.82%,94.70%,1.71%,16.52%,8.95,852.39,14.40,0.00%,315682
68,"ACTS",201.31,68.71,65.49,5.61%,,5.10%,,0.04%,0.54,54.36,2.92,-0.34%,37146
69,"ACU",47.52,3.19,2.75,10.80%,-0.29%,38.20%,0.33%,0.06%,0.32,4.76,14.76,-0.94%,9160
70,"ACUR",82.10,47.46,47.79,0.80%,-9.75%,64.00%,-0.16%,1.47%,2.52,279.07,1.75,1.16%,326514
71,"ACW",191.78,47.59,47.01,26.43%,54.28%,98.70%,8.08%,6.45%,7.40,409.24,4.16,3.23%,266648
72,"ACWI",,,,,,,,,1.13,1380.40,56.89,0.53%,2485594
73,"ACWX",,,,,,,,,0.68,426.98,45.79,0.42%,396811
74,"ACXM",2653.06,73.78,74.63,1.20%,4.48%,91.50%,0.00%,3.11%,4.33,536.21,36.37,1.14%,1235506
75,"ACY",25.97,1.54,1.12,45.74%,,25.20%,0.52%,0.08%,0.16,5.41,16.84,0.06%,2625
76,"ADAT",52.69,35.36,34.09,0.40%,10.12%,25.70%,-1.69%,1.55%,2.29,231.37,1.56,4.70%,249328
77,"ADBE",29022.98,499.36,496.14,0.38%,-76.17%,90.20%,-1.35%,0.92%,1.16,3903.27,58.97,1.46%,2953466
78,"ADC",380.17,12.98,12.48,1.10%,18.21%,68.30%,7.85%,1.17%,1.19,122.55,29.25,-0.10%,101506
79,"ADEP",173.79,10.12,10.78,0.30%,-93.52%,50.90%,-5.33%,2.42%,0.93,280.76,16.96,-1.22%,210549
80,"ADES",536.34,10.11,10.12,5.50%,0.18%,45.90%,-0.04%,2.34%,2.34,101.11,52.04,-1.90%,65593
81,"ADGE",92.15,49.02,25.71,11.80%,13.66%,4.80%,-0.78%,0.39%,4.60,21.84,1.92,2.13%,20085
82,"ADHD",162.76,9.02,7.43,,,15.40%,-0.93%,2.79%,2.19,94.48,19.19,6.32%,220695
83,"ADI",15342.07,311.01,308.00,0.30%,-0.43%,87.50%,-0.01%,1.67%,2.63,1958.04,49.59,0.53%,1322784
84,"ADK",64.68,14.73,13.02,19.99%,,23.10%,8.90%,1.01%,4.40,29.92,4.40,0.23%,34573
85,"ADM",28608.08,661.00,642.83,0.20%,-3.78%,75.60%,-0.04%,1.36%,1.92,4557.27,42.85,-0.99%,4537794
86,"ADMP",676.45,104.88,7.47,45.63%,-0.04%,3.10%,,0.25%,0.70,27.00,6.40,-0.78%,68099
87,"ADNC",246.65,21.64,21.51,1.80%,-97.07%,85.20%,0.01%,1.87%,2.48,162.22,11.40,0.00%,136686
88,"ADP",38316.78,480.10,478.28,0.20%,18.37%,76.60%,-0.08%,0.87%,2.31,1793.21,80.78,1.22%,1365930
89,"ADRA",,,,,,,,,0.82,8.54,28.86,-1.20%,3979
90,"ADRD",,,,,,,,,7.16,4.20,24.78,0.68%,2009
91,"ADRE",,,,,,,,,3.54,30.46,35.68,-0.08%,11857
92,"ADRU",,,,,,,,,1.45,3.62,24.51,0.57%,2292
93,"ADS",12581.31,48.71,47.38,2.80%,-0.80%,,0.16%,12.68%,10.08,595.97,255.19,-1.20%,1265048
94,"ADSK",10831.50,223.10,225.18,0.30%,-4.70%,92.90%,-0.06%,2.65%,2.21,2699.52,49.68,2.33%,1997502
95,"ADT",8405.80,212.00,201.42,0.30%,6.71%,99.30%,-4.75%,19.10%,12.78,3010.94,40.20,1.39%,2389890
96,"ADTN",1538.49,57.95,54.84,12.42%,-0.06%,98.60%,-0.05%,5.31%,5.38,541.34,26.78,0.87%,294701
97,"ADUS",254.53,10.79,9.90,6.80%,-3.68%,76.50%,0.02%,5.38%,3.84,138.86,23.89,1.23%,139482
98,"ADVS",1755.65,51.58,48.78,0.50%,-97.00%,87.50%,0.42%,2.71%,4.90,269.46,34.79,2.20%,296319
99,"ADX",1196.59,92.69,83.66,0.10%,107.41%,19.90%,1.70%,1.00%,7.24,115.94,13.00,0.70%,112925
100,"ADXS",18.96,4.78,11.24,5.10%,,8.40%,,0.89%,0.41,242.81,4.03,1.51%,61447
101,"AE",289.19,4.22,2.47,47.40%,-4.40%,38.60%,-9.51%,2.38%,8.52,6.90,69.23,0.98%,7468
102,"AEC",792.19,49.95,62.35,1.10%,-6.63%,82.20%,0.00%,7.20%,7.69,583.66,15.90,0.25%,549272
103,"AEE",8675.38,242.60,242.30,0.14%,-0.29%,62.50%,-0.08%,2.54%,4.16,1477.85,36.22,1.29%,1651953
104,"AEG",18881.94,2013.00,1993.15,,,7.20%,0.00%,0.08%,1.58,944.64,9.30,-0.85%,797639
105,"AEGN",805.92,38.67,37.75,1.30%,-12.98%,99.80%,0.83%,6.46%,9.30,261.98,21.05,1.01%,295054
106,"AEGR",1992.61,29.05,27.23,0.10%,-96.33%,,0.25%,12.01%,4.57,716.29,68.89,0.44%,868350
107,"AEHR",32.76,10.64,8.10,7.90%,9.95%,11.70%,225.39%,0.35%,0.67,42.23,2.88,-6.49%,22153
108,"AEIS",917.59,39.88,37.03,0.60%,-56.75%,90.30%,0.05%,1.94%,1.59,453.44,23.51,2.17%,531748
109,"AEL",1702.47,65.13,66.02,3.80%,2.23%,,1.12%,17.45%,12.97,888.27,26.24,0.38%,686727
110,"AEM",4737.80,173.10,173.44,,,74.60%,0.70%,1.29%,1.10,2034.31,27.30,-0.26%,1667013
111,"AEO",2901.91,192.82,170.68,0.10%,6.64%,78.70%,0.55%,6.00%,2.30,4448.20,14.97,-0.53%,3919037
112,"AEP",22437.87,486.93,486.99,0.10%,-9.82%,64.90%,0.03%,1.32%,1.80,3564.90,46.38,0.65%,1787593
113,"AEPI",298.77,5.60,4.43,9.00%,0.60%,55.00%,0.56%,1.11%,0.45,109.14,52.67,-1.31%,74193
114,"AER",4065.86,113.51,83.08,0.25%,-3.40%,68.60%,0.01%,0.67%,0.63,883.19,35.69,-0.36%,962463
115,"AERG",1.15,91.67,77.18,21.63%,-0.18%,17.94%,-13.42%,1.00%,8.81,87.20,0.01,-19.20%,12548
116,"AERI",17.66,0.97,22.75,2.50%,,65.10%,,0.03%,0.06,115.32,18.93,4.41%,98198
117,"AERT",5.70,49.57,34.56,30.28%,0.07%,4.95%,-5.03%,0.16%,1.27,42.92,0.11,-8.61%,19870
118,"AES",10640.28,742.00,720.80,0.10%,-98.89%,86.60%,-9.30%,1.57%,1.98,5732.90,14.59,1.74%,10593570
119,"AET",25056.67,371.10,366.17,0.20%,6.45%,91.40%,0.01%,1.29%,1.68,2819.68,68.44,1.36%,1867012
120,"AETI",77.32,8.00,4.73,28.00%,-21.53%,25.20%,8.03%,0.77%,0.87,41.68,9.60,-0.62%,19369
121,"AEY",29.39,10.00,4.89,0.30%,3.45%,7.80%,-0.19%,0.03%,0.08,19.78,2.95,0.51%,55007
122,"AEZS",44.14,29.63,43.24,7.06%,,21.40%,3.59%,4.97%,1.35,1594.14,1.47,-1.34%,1583692
123,"AF",1337.46,97.20,82.74,2.10%,-11.72%,75.30%,-0.47%,5.82%,8.97,536.62,13.85,0.65%,354609
124,"AFAM",297.48,9.30,8.30,0.20%,5.68%,61.50%,0.02%,2.07%,2.96,58.04,32.33,1.09%,86573
125,"AFB",365.29,28.74,,18.96%,,8.40%,0.26%,,0.12,108.39,12.86,1.18%,134999
126,"AFCB",39.12,1.99,1.20,1.30%,23.91%,1.20%,-81.73%,0.39%,1.17,3.99,19.72,0.46%,44
127,"AFCE",876.27,23.60,22.88,1.00%,-7.09%,91.30%,0.01%,1.87%,2.10,203.31,36.97,-0.43%,169908
128,"AFFM",39.30,15.41,15.20,0.18%,1.56%,75.79%,-0.26%,0.02%,0.38,7.40,2.50,-1.96%,2333
129,"AFFX",565.64,71.60,71.18,0.70%,-0.40%,,3.54%,13.49%,9.41,1020.77,8.81,11.52%,3889753
130,"AFFY",35.62,37.49,37.45,0.47%,20.52%,54.81%,-39.13%,49.35%,49.17,375.86,0.90,-5.26%,547791
131,"AFG",5018.11,89.10,72.63,0.30%,-41.68%,62.90%,0.04%,0.71%,1.77,290.66,56.75,0.76%,415969
132,"AFH",112.01,8.22,4.59,3.30%,-78.98%,41.00%,-1.26%,3.12%,3.23,44.32,13.17,-3.37%,5219
133,"AFK",,,,,,,,,,20.79,30.22,0.03%,20745
134,"AFL",30125.34,464.32,451.65,0.30%,-13.15%,65.30%,0.08%,0.99%,2.28,1965.07,65.09,0.32%,1910138
135,"AFOP",278.97,18.06,12.66,12.50%,-25.56%,31.20%,0.66%,16.23%,2.62,784.79,15.49,0.26%,380935
136,"AFSI",2572.89,74.28,30.61,14.00%,14.79%,52.20%,-0.01%,30.56%,9.89,945.72,35.24,1.73%,1174049
137,"AG",1192.43,117.02,112.54,,,,,1.36%,1.50,1021.75,10.53,3.34%,2422620
138,"AGA",,,,,,,,,,1.57,13.68,-0.44%,2900
139,"AGCO",5575.18,97.40,89.96,0.20%,81.28%,91.70%,-0.05%,6.87%,5.22,1184.13,57.60,0.63%,971569
140,"AGD",,,,,,,,,0.28,97.01,5.04,0.40%,87187
141,"AGEN",87.70,30.35,31.90,4.60%,68.81%,24.90%,-6.65%,6.89%,3.42,642.31,2.83,-2.08%,289044
142,"AGF",,,,,,,,,,2.97,12.79,2.90%,600
143,"AGG",,,,,,,,,,1348.89,106.74,0.06%,1275889
144,"AGI",1572.11,127.71,126.73,15.16%,,,29.59%,1.61%,7.73,263.78,12.29,-0.16%,418885
145,"AGII",1239.65,26.68,26.14,1.60%,-4.69%,89.30%,-3.53%,1.75%,3.60,127.13,46.47,0.02%,141201
146,"AGIO",83.80,3.72,17.26,59.00%,,53.00%,,10.01%,11.33,152.47,24.00,6.62%,225156
147,"AGLS",,,,,,,,,,11.75,21.78,-0.18%,1970
148,"AGM",350.23,10.84,10.15,1.20%,-17.18%,69.50%,-0.01%,1.13%,3.84,29.81,32.18,-0.37%,23861
149,"AGN",32858.13,296.50,296.63,0.17%,-1.37%,88.50%,-0.02%,0.96%,1.33,2155.65,112.55,1.56%,1775043
150,"AGNC",7718.26,390.60,383.98,0.30%,5.21%,48.80%,0.06%,1.92%,1.04,7091.43,19.95,0.96%,5991352
151,"AGO",4221.33,182.90,178.98,1.30%,3.71%,94.00%,0.00%,1.95%,1.60,2176.49,23.13,0.22%,918166
152,"AGQ",,,,,,,,,,1521.04,16.40,-3.13%,2055043
153,"AGRO",952.66,121.98,120.10,27.41%,,68.10%,-0.11%,0.62%,3.36,222.75,7.87,0.77%,82848
154,"AGU",13300.56,147.00,143.22,0.10%,,68.70%,2.11%,1.02%,1.55,945.29,88.84,-1.81%,971427
155,"AGX",391.36,14.09,10.43,3.40%,9.36%,63.90%,0.03%,1.53%,2.16,73.97,28.55,2.81%,157972
156,"AGYS",328.11,22.13,21.27,3.40%,9.94%,81.70%,0.02%,1.42%,7.57,39.82,15.18,2.36%,107521
157,"AGZ",,,,,,,,,,26.43,110.69,0.05%,14905
158,"AH",905.12,98.49,68.62,35.88%,,55.40%,-6.97%,9.52%,14.27,458.11,9.45,2.83%,276914
159,"AHC",166.99,21.94,18.67,0.10%,,65.80%,-12.09%,0.90%,3.26,51.72,7.69,1.05%,31164
160,"AHGP",3305.63,59.86,16.47,72.49%,-0.36%,23.30%,-5.00%,0.69%,3.42,33.20,55.96,1.34%,23757
161,"AHH",185.89,19.16,9.26,0.90%,,64.50%,,4.83%,6.13,73.00,9.79,0.93%,56404
162,"AHL",2678.65,66.72,64.94,0.20%,-26.86%,97.50%,0.68%,0.89%,1.31,440.78,40.44,0.72%,428156
163,"AHP",300.36,16.11,16.12,0.10%,163.56%,15.10%,,1.13%,1.91,95.30,18.20,-2.36%,194468
164,"AHPI",18.86,8.03,4.45,0.50%,,43.30%,-0.76%,0.01%,0.07,9.05,2.35,0.00%,0
165,"AHS",665.42,45.99,45.60,0.40%,-23.34%,84.00%,-6.25%,1.48%,1.92,350.65,14.53,0.41%,143429
166,"AHT",673.54,79.90,73.54,0.40%,0.63%,73.10%,0.27%,3.20%,2.85,825.27,8.45,0.24%,1088343
167,"AI",439.06,16.67,15.68,2.27%,-0.37%,34.10%,-0.02%,4.05%,4.47,142.04,26.33,-0.04%,118257
168,"AIA",,,,,,,,,,24.12,45.89,0.17%,34024
169,"AIG",74519.68,1475.05,1471.28,0.03%,-5.55%,86.20%,0.01%,0.88%,1.31,9888.10,51.21,1.37%,8984916
170,"AIMC",901.95,26.78,25.99,2.80%,-5.66%,95.20%,0.01%,5.71%,10.67,139.08,34.94,3.74%,300941
171,"AIN",1126.34,31.72,28.12,0.10%,-15.91%,92.60%,-0.28%,1.16%,3.00,108.93,35.78,0.76%,148227
172,"AINV",1917.04,224.74,224.30,0.21%,6.65%,55.30%,0.00%,2.49%,3.69,1509.74,8.56,0.35%,1605446
173,"AIQ",290.17,10.63,9.94,0.40%,-8.60%,81.20%,0.01%,0.87%,1.71,50.64,27.06,-0.88%,31635
174,"AIR",1033.71,38.60,37.50,3.50%,3.60%,90.60%,0.04%,6.40%,8.23,291.38,26.51,-1.01%,426145
175,"AIRI",51.80,5.71,5.03,0.10%,,6.70%,,0.02%,0.29,3.79,9.04,-0.30%,2239
176,"AIRM",2124.24,38.93,35.24,7.90%,-6.50%,98.50%,0.02%,18.38%,18.53,349.56,55.64,1.98%,463371
177,"AIRT",29.16,2.45,1.74,0.10%,6.56%,27.60%,0.30%,0.11%,0.50,3.84,11.41,-4.28%,3219
178,"AIT",2023.54,42.16,38.57,2.00%,-0.35%,89.30%,0.00%,1.59%,3.08,199.60,48.18,0.38%,78385
179,"AIV",3771.42,145.33,144.61,0.50%,-13.25%,99.00%,0.07%,2.72%,3.66,1075.46,25.84,-0.42%,854387
180,"AIXG",1426.09,101.14,104.91,,,5.80%,,1.60%,12.66,132.32,14.98,6.24%,182522
181,"AIZ",4999.57,75.55,71.73,1.50%,-1.90%,94.70%,-0.22%,3.84%,4.85,567.37,66.82,0.97%,486207
182,"AJG",5986.38,129.80,130.15,0.30%,0.78%,75.70%,-4.26%,0.51%,0.98,673.37,47.35,2.67%,1149243
183,"AKAM",8218.42,178.24,173.15,0.40%,19.63%,93.50%,-0.01%,6.26%,4.84,2242.02,47.01,1.95%,1475809
184,"AKG",139.48,85.05,75.61,6.42%,,63.00%,4.91%,0.31%,2.24,105.44,1.65,0.61%,288570
185,"AKO-A",3333.53,157.76,114.96,,,1.60%,,0.01%,3.01,4.27,21.04,-0.43%,802
