"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ARWR","Arrowhead Research Corp.","Healthcare","Biotechnology","USA",495.40,,6.90,-23.84%,8610574
2,"BITA","Bitauto Holdings Limited","Technology","Internet Information Providers","China",4061.63,56.40,74.04,-16.91%,4877540
3,"CPAH","CounterPath Corporation","Technology","Application Software","Canada",34.24,,0.64,-21.95%,4801
4,"JDST","Direxion Daily Jr Gld Mnrs Bear 3X ETF","Financial","Exchange Traded Fund","USA",,,8.16,-15.53%,8010726
5,"LOCM","Local Corporation","Technology","Internet Information Providers","USA",24.60,,0.74,-29.89%,352584
6,"NES","Nuverra Environmental Solutions, Inc.","Industrial Goods","Waste Management","USA",117.20,,3.20,-25.41%,2081821
7,"OIBR","Oi SA","Technology","Diversified Communication Services","Brazil",2165.92,2.57,2.16,-15.95%,4434598
8,"OIBR-C","Oi SA","Technology","Diversified Communication Services","Brazil",2317.62,2.75,2.27,-17.45%,60229
9,"PSTR","PostRock Energy Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",15.71,,2.03,-18.47%,18249
10,"REXX","Rex Energy Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",199.09,28.31,2.94,-20.11%,7940804
11,"UGAZ","VelocityShares 3x Long Natural Gas ETN","Financial","Exchange Traded Fund","USA",,,3.44,-15.27%,23431157
