"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"ARTX",0.58,0.43,52.12%,84.76%,167.72%,4.87%,525.00%,74.91,6.25,50.97%,50.60%,0.24%,10641152
2,"PLUG",1.24,1.05,35.28%,87.06%,390.84%,-27.65%,5553.33%,62.78,8.48,49.03%,43.00%,4.22%,132293280
3,"FFHL",2.51,0.08,22.68%,21.91%,20.06%,-62.75%,63.74%,65.98,1.49,33.04%,29.57%,2.68%,1600190
4,"BLDP",1.88,0.75,13.41%,66.62%,164.16%,-35.56%,610.53%,59.96,5.40,32.03%,29.19%,2.20%,24605926
5,"BGMD",,0.19,43.99%,56.65%,96.39%,-11.86%,278.18%,69.47,2.08,22.35%,10.05%,11.18%,16711914
6,"VRNS",,4.35,-2.86%,-2.86%,-2.86%,-22.92%,24.66%,,43.78,19.91%,15.00%,4.27%,533448
7,"FCEL",2.53,0.38,6.91%,45.24%,93.14%,-38.61%,246.43%,57.64,2.91,19.75%,18.78%,0.82%,40181944
8,"XXII",,0.59,-27.97%,-5.43%,81.39%,-49.37%,600.00%,42.93,3.22,19.70%,18.38%,1.12%,1804052
9,"BVX",0.25,0.17,23.27%,32.54%,39.12%,-18.16%,102.06%,73.13,3.92,15.29%,12.00%,2.94%,121842
10,"XGTI",,0.52,28.30%,69.84%,-8.67%,-63.16%,1566.67%,59.78,3.50,14.75%,15.51%,-0.66%,3285822
11,"RLYP",,3.66,-1.70%,8.65%,33.11%,-22.47%,254.03%,49.51,40.89,12.43%,12.00%,0.38%,329616
12,"ZBB",2.41,0.42,21.33%,87.97%,140.65%,-47.37%,525.00%,60.74,2.50,12.11%,8.70%,3.14%,2374115
13,"COUP",,2.81,-7.44%,-7.44%,-7.44%,-21.94%,13.43%,,25.76,11.95%,11.37%,0.52%,641307
14,"SONC",1.46,0.62,11.63%,18.31%,28.31%,3.89%,100.95%,69.14,23.23,11.04%,4.17%,6.60%,3654278
15,"SPEX",0.78,0.25,-0.40%,-17.39%,-40.90%,-83.27%,14.50%,40.16,4.66,10.95%,5.43%,5.24%,149060
16,"IPDN",,0.12,21.55%,22.44%,-10.62%,-45.28%,40.07%,78.06,3.88,10.86%,11.17%,-0.29%,43345
17,"AT",,0.13,8.85%,7.69%,-17.80%,-42.10%,42.04%,58.15,2.97,9.59%,10.00%,-0.37%,2464349
18,"LOAN",0.37,0.06,6.94%,12.88%,16.39%,-10.24%,74.81%,64.77,2.05,9.40%,8.24%,1.07%,61288
19,"IKGH",1.07,0.16,6.49%,13.45%,-2.17%,-24.98%,31.91%,60.66,3.39,9.00%,9.71%,-0.64%,391544
20,"ESMC",-0.74,0.08,12.04%,-8.01%,3.81%,-38.22%,58.42%,54.21,1.60,8.84%,8.11%,0.68%,40656
21,"GALT",2.34,1.30,-2.90%,7.72%,68.99%,-16.90%,420.66%,52.91,15.88,8.84%,-0.75%,9.66%,3255283
22,"DBLE",1.19,0.12,8.26%,11.43%,-13.04%,-57.04%,30.00%,61.14,2.47,8.81%,5.11%,3.52%,77866
23,"TCL",0.60,0.26,-5.45%,-10.02%,-15.04%,-26.98%,10.09%,43.06,7.20,8.76%,0.84%,7.85%,4230669
24,"RBPAA",0.31,0.27,14.29%,52.29%,91.90%,-10.29%,170.69%,68.40,3.14,8.65%,5.72%,2.77%,31070
25,"NVAX",2.15,0.42,-21.46%,-22.14%,18.49%,-35.54%,166.67%,30.47,4.48,8.47%,5.41%,2.91%,7304257
26,"HDS",,0.73,7.27%,9.80%,13.04%,-0.40%,40.22%,66.78,24.96,8.19%,1.88%,6.20%,3758194
27,"OXGN",2.64,0.37,29.04%,38.95%,40.26%,-30.56%,91.33%,63.54,3.75,8.07%,8.07%,0.00%,3236543
28,"NETE",,0.25,2.78%,-7.34%,-17.49%,-44.82%,70.75%,48.38,3.62,8.06%,4.32%,3.58%,10430
29,"RTRX",,1.73,9.91%,37.73%,140.52%,-2.86%,353.33%,65.57,20.40,7.94%,0.99%,6.88%,771625
30,"HYGS",0.36,2.49,-3.22%,9.99%,66.77%,-22.10%,268.44%,50.65,27.67,7.88%,8.00%,-0.12%,293447
31,"FORD",-0.17,0.10,0.81%,-1.83%,-5.18%,-21.96%,18.44%,50.10,1.67,7.74%,7.05%,0.65%,298367
32,"XNCR",,0.92,-3.65%,13.62%,19.76%,-16.66%,55.97%,51.36,12.01,7.71%,11.93%,-3.77%,186000
33,"CNET",1.26,0.23,1.66%,44.89%,119.30%,-36.36%,326.83%,58.29,1.75,7.36%,7.36%,0.00%,360019
34,"IMMY",-1.51,0.56,-4.90%,1.00%,23.26%,-24.70%,150.17%,48.17,7.53,7.26%,7.57%,-0.28%,46151
35,"OFIX",0.74,0.73,12.77%,18.21%,15.64%,-28.28%,37.36%,73.79,26.58,7.22%,2.23%,4.88%,906813
36,"NC",1.99,1.63,-0.86%,-5.43%,-6.51%,-17.00%,15.33%,48.61,54.05,7.14%,6.90%,0.22%,104922
37,"HPJ",1.98,0.62,3.07%,38.71%,126.01%,-21.72%,444.57%,57.56,5.01,7.05%,-0.79%,7.91%,574329
38,"FFKT",0.99,0.60,12.48%,13.28%,7.01%,-14.75%,31.43%,74.95,23.00,6.98%,4.55%,2.33%,22748
39,"ORMP",0.14,0.92,-16.65%,-35.09%,8.40%,-65.14%,121.20%,34.11,11.06,6.86%,7.17%,-0.29%,280913
40,"HSON",2.49,0.23,4.58%,-0.77%,16.43%,-11.48%,80.00%,53.57,3.78,6.78%,6.48%,0.28%,130349
41,"AIQ",1.32,1.50,6.43%,10.66%,30.37%,-2.49%,357.63%,62.26,32.08,6.72%,5.80%,0.86%,35938
42,"UQM",2.38,0.28,12.48%,27.67%,55.49%,-23.33%,288.97%,57.49,2.64,6.65%,6.65%,0.00%,613928
43,"USBI",0.30,0.13,8.38%,8.82%,0.86%,-17.96%,17.69%,73.48,8.53,6.65%,7.32%,-0.63%,14177
44,"NVGN",1.21,0.29,2.07%,2.24%,-0.03%,-37.43%,23.71%,53.03,4.33,6.65%,5.35%,1.23%,25772
45,"LXU",2.01,1.03,7.25%,7.44%,10.43%,-12.20%,31.19%,63.80,36.93,6.52%,5.60%,0.87%,155324
46,"TISA",,0.23,-1.71%,-8.91%,12.58%,-26.12%,82.94%,45.49,4.61,6.47%,4.77%,1.62%,73829
