"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"BDSI",1.98,0.28,56.73%,76.20%,88.47%,39.41%,167.33%,87.74,9.41,50.56%,5.73%,42.40%,14968280
2,"SSY",1.96,0.06,47.81%,51.08%,62.00%,3.12%,156.78%,83.16,1.31,29.66%,21.26%,6.93%,818418
3,"UPI",0.09,0.20,43.18%,48.60%,62.33%,16.02%,165.68%,79.96,4.49,28.29%,19.73%,7.14%,2077200
4,"LIVE",0.47,1.57,148.43%,296.84%,476.36%,24.85%,983.76%,93.44,21.35,25.59%,28.23%,-2.06%,2615321
5,"ARIA",1.68,0.54,31.77%,74.04%,-33.50%,-60.91%,318.14%,76.08,8.99,19.55%,21.98%,-1.99%,133771768
6,"KONE",-0.80,1.51,119.66%,209.30%,281.48%,-34.58%,1006.17%,74.94,10.95,14.07%,12.43%,1.46%,291779
7,"INUV",0.41,0.11,8.59%,3.83%,28.22%,-24.74%,156.14%,57.07,1.46,13.18%,13.18%,0.00%,2218832
8,"PGRX",,0.25,27.99%,43.08%,-46.20%,-96.79%,94.67%,65.67,2.92,11.03%,6.96%,3.80%,123432
9,"OTEX",0.90,1.69,9.89%,12.94%,34.94%,6.17%,89.42%,76.74,100.16,10.53%,0.49%,9.99%,2364744
10,"GIGM",1.15,0.02,11.11%,11.49%,10.84%,-9.76%,19.35%,72.74,1.11,9.90%,11.00%,-0.99%,3477056
11,"GROW",2.11,0.11,24.44%,27.17%,19.89%,-24.98%,55.41%,84.60,3.22,9.52%,7.33%,2.04%,101291
12,"TXI",1.84,1.88,11.26%,19.77%,19.67%,-0.32%,41.01%,76.66,75.06,9.27%,10.41%,-1.03%,1341218
13,"BVX",0.27,0.18,16.70%,18.19%,-9.59%,-45.51%,34.54%,64.06,2.61,8.30%,4.82%,3.32%,88084
14,"OVLY",0.65,0.10,12.89%,15.55%,19.81%,7.39%,29.75%,85.04,9.45,7.51%,7.63%,-0.11%,16327
15,"YRCW",3.57,1.85,12.31%,47.63%,9.15%,-49.15%,227.13%,64.70,18.81,7.49%,6.03%,1.37%,1660227
16,"DSS",0.55,0.16,-17.53%,-10.63%,-13.42%,-56.04%,86.05%,43.31,1.60,7.38%,5.26%,2.01%,1999925
17,"ZAZA",1.72,0.06,7.92%,5.75%,-9.82%,-45.96%,72.58%,56.70,1.07,7.00%,9.18%,-2.00%,410627
18,"CPXX",,0.29,7.28%,7.00%,-7.35%,-38.50%,23.00%,56.41,3.69,6.96%,1.10%,5.80%,28447
19,"NLST",5.28,0.12,49.76%,76.78%,75.49%,-16.07%,176.47%,78.55,1.41,6.82%,6.02%,0.76%,936035
20,"TBBK",1.50,0.44,5.36%,7.07%,17.60%,-1.72%,72.57%,63.39,18.81,6.75%,3.29%,3.35%,567961
21,"JNPR",1.89,0.57,16.11%,26.70%,38.72%,4.52%,77.46%,88.56,27.72,6.57%,0.29%,6.27%,38103580
22,"PDEX",0.34,0.22,31.49%,43.84%,67.26%,-6.05%,98.33%,69.27,3.57,6.57%,4.39%,2.09%,436580
23,"TGS",1.15,0.12,-6.99%,-11.68%,-2.93%,-32.76%,41.47%,39.48,1.97,6.49%,4.79%,1.62%,290610
24,"MNOV",1.17,0.30,10.04%,10.87%,-3.48%,-52.38%,55.28%,57.74,2.50,6.38%,4.60%,1.70%,397647
25,"SYNA",1.51,1.80,12.22%,18.15%,36.07%,0.55%,86.39%,72.08,60.28,6.11%,1.31%,4.74%,4509260
26,"BYLK",1.89,0.55,-0.30%,3.76%,4.69%,-10.09%,21.26%,54.47,12.59,5.95%,4.46%,1.43%,27344
27,"VRS",2.77,0.44,17.23%,110.03%,167.65%,-49.01%,444.23%,59.10,2.83,5.60%,4.04%,1.49%,1621179
28,"IFNY",,0.12,0.36%,-2.35%,-35.87%,-62.93%,44.79%,49.67,1.39,5.30%,4.51%,0.76%,28534
29,"BBNK",0.50,0.51,6.18%,10.24%,26.06%,0.80%,56.92%,68.01,21.42,5.15%,6.67%,-1.42%,53018
30,"VRNG",1.87,0.20,23.74%,26.57%,29.31%,-5.31%,50.19%,75.28,3.92,5.09%,4.53%,0.54%,4116052
31,"GLOW",0.53,0.09,5.69%,4.84%,20.74%,-25.26%,123.08%,55.42,1.45,5.07%,5.07%,0.00%,43368
32,"FORD",0.05,0.13,13.11%,17.93%,3.80%,-12.90%,34.04%,64.42,1.89,5.00%,2.16%,2.78%,34684
