"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",19003.40,27.80,57.96,1.72%,1650994
2,"AA","Alcoa Inc.","Basic Materials","Aluminum","USA",18488.95,,15.90,1.27%,12828118
3,"AADR","AdvisorShares WCM/BNY MlnFcsd GR ADR ETF","Financial","Exchange Traded Fund","USA",,,37.50,-0.29%,1317
4,"AAIT","iShares MSCI All Country Asia Info Tech","Financial","Exchange Traded Fund","USA",,,33.73,-0.59%,8708
5,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",25444.67,,36.12,2.24%,8478589
6,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",1590.40,123.91,724.88,2.10%,1391
7,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",78.53,15.16,3.76,-0.79%,10905
8,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",1792.56,20.32,24.97,0.73%,444226
9,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",253.25,142.50,17.77,3.92%,167168
10,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",981.38,25.13,17.83,-0.06%,84588
11,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",9423.18,21.56,130.62,1.16%,437942
12,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",614594.97,16.58,101.73,-0.89%,59669324
13,"AAT","American Assets Trust, Inc.","Financial","REIT - Retail","USA",1415.08,100.64,33.31,0.30%,106746
14,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",98.48,,1.41,-1.40%,60169
15,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",842.47,,5.26,5.62%,521134
16,"AAVL","Avalanche Biotechnologies, Inc.","Healthcare","Biotechnology","USA",747.71,,34.26,1.99%,90796
17,"AAWW","Atlas Air Worldwide Holdings, Inc.","Services","Air Services, Other","USA",864.14,9.45,34.12,-0.26%,157701
18,"AAXJ","iShares MSCI All Country Asia ex Japan","Financial","Exchange Traded Fund","USA",,,63.51,1.29%,622627
19,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2635.17,15.47,27.11,-0.40%,155473
20,"ABAC","Aoxin Tianli Group, Inc.","Consumer Goods","Meat Products","China",41.26,,1.91,-1.89%,13221
21,"ABAX","Abaxis, Inc.","Healthcare","Medical Laboratories & Research","USA",1173.97,75.55,52.80,1.29%,85939
22,"ABB","ABB Ltd.","Industrial Goods","Diversified Machinery","Switzerland",53627.37,20.69,22.80,-0.74%,1269814
