"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"MNKD",1.47,0.64,26.42%,23.90%,19.90%,-19.66%,94.17%,65.74,6.99,0.00%,0.00%,0.00%,0
2,"ABTL",1.75,1.06,12.10%,0.56%,47.32%,-19.82%,273.51%,59.80,15.09,0.00%,0.00%,0.00%,0
3,"ISR",0.17,0.39,73.77%,165.17%,326.05%,-17.24%,609.09%,72.17,3.12,0.00%,0.00%,0.00%,0
4,"VISN",2.70,2.20,10.50%,-0.05%,108.74%,-34.49%,1258.76%,57.06,24.05,0.00%,0.00%,0.00%,0
5,"SGOC",-0.71,0.26,10.20%,12.01%,26.14%,-52.22%,357.47%,63.51,3.98,0.00%,0.00%,0.00%,0
6,"XPL",1.69,0.10,6.90%,17.78%,50.60%,-9.58%,98.68%,61.61,1.51,0.00%,0.00%,0.00%,0
7,"MGN",2.21,0.15,-5.73%,9.15%,65.30%,-30.56%,160.42%,51.53,1.25,0.00%,0.00%,0.00%,0
8,"ROX",0.81,0.13,11.61%,40.79%,92.67%,-10.97%,411.11%,66.34,1.38,0.00%,0.00%,0.00%,0
9,"UQM",2.35,0.29,11.83%,36.42%,67.37%,-15.07%,330.88%,64.21,2.93,0.00%,0.00%,0.00%,0
10,"XLRN",,3.12,-7.80%,-14.29%,13.92%,-33.79%,128.43%,41.81,38.33,0.00%,0.00%,0.00%,0
11,"AFOP",1.44,0.87,18.06%,22.59%,6.37%,-29.61%,151.17%,67.29,16.68,0.00%,0.00%,0.00%,0
12,"RNN",1.24,0.11,2.48%,7.76%,97.74%,-15.79%,357.14%,54.21,1.28,0.00%,0.00%,0.00%,0
13,"SPPR",2.22,0.24,13.09%,7.21%,-53.89%,-77.44%,48.95%,58.28,2.13,0.00%,0.00%,0.00%,0
14,"RDNT",1.93,0.19,14.55%,41.12%,38.10%,-3.88%,114.67%,78.02,3.22,0.00%,0.00%,0.00%,0
15,"CANF",,0.29,3.49%,3.14%,7.42%,-38.90%,75.15%,57.51,5.78,0.00%,0.00%,0.00%,0
16,"MYGN",0.59,1.91,10.83%,17.81%,39.00%,-2.85%,95.70%,66.54,39.18,0.00%,0.00%,0.00%,0
17,"STV",0.61,0.20,15.81%,21.77%,76.33%,-5.95%,157.78%,68.59,3.48,0.00%,0.00%,0.00%,0
18,"SNBC",1.59,0.14,13.04%,15.30%,11.95%,-3.00%,33.79%,71.31,3.88,0.00%,0.00%,0.00%,0
19,"ZBB",2.43,0.41,-18.63%,28.03%,78.67%,-60.00%,375.00%,49.41,1.90,0.00%,0.00%,0.00%,0
20,"ATTU",0.57,0.61,1.70%,1.74%,24.72%,-10.17%,143.89%,55.82,10.78,0.00%,0.00%,0.00%,0
21,"GPL",1.64,0.08,-1.19%,3.95%,24.18%,-18.84%,72.31%,52.90,1.12,0.00%,0.00%,0.00%,0
22,"KWK",2.02,0.19,6.31%,-6.63%,17.34%,-22.89%,96.53%,52.75,2.83,0.00%,0.00%,0.00%,0
23,"MVG",1.37,0.46,-0.03%,4.83%,24.63%,-15.33%,59.96%,53.75,7.79,0.00%,0.00%,0.00%,0
24,"IOT",1.08,0.31,21.11%,22.18%,46.27%,-7.03%,134.49%,73.57,7.41,0.00%,0.00%,0.00%,0
25,"OTEL",,0.20,2.74%,-6.64%,-26.77%,-64.21%,276.76%,48.74,5.35,0.00%,0.00%,0.00%,0
26,"ASM",1.39,0.16,-10.93%,-14.17%,23.91%,-41.20%,135.21%,42.67,1.67,0.00%,0.00%,0.00%,0
27,"AMBT",0.54,0.12,-6.49%,-24.84%,-39.38%,-65.30%,14.29%,36.24,1.44,0.00%,0.00%,0.00%,0
28,"ZLCS",1.49,0.07,1.98%,-6.56%,-51.55%,-83.82%,52.27%,51.09,1.34,0.00%,0.00%,0.00%,0
29,"VMEM",,0.33,0.44%,9.75%,-5.29%,-43.36%,80.80%,54.05,4.52,0.00%,0.00%,0.00%,0
30,"RTRX",,1.67,20.45%,44.69%,160.27%,-1.64%,419.11%,73.83,23.36,0.00%,0.00%,0.00%,0
31,"BPTH",1.08,0.23,-21.44%,-35.21%,9.51%,-53.14%,515.00%,27.66,2.46,0.00%,0.00%,0.00%,0
32,"PAM",1.23,0.41,23.40%,32.22%,33.99%,-16.18%,120.00%,81.08,6.27,0.00%,0.00%,0.00%,0
33,"BLDP",1.87,0.77,-1.34%,37.13%,127.78%,-41.89%,540.79%,55.12,4.87,0.00%,0.00%,0.00%,0
34,"DDE",1.15,0.06,-0.63%,1.09%,5.10%,-25.24%,28.69%,51.05,1.57,0.00%,0.00%,0.00%,0
35,"PRSC",1.44,2.11,40.70%,49.41%,49.04%,-1.23%,147.89%,83.71,41.10,0.00%,0.00%,0.00%,0
36,"STLY",1.67,0.12,3.00%,-5.85%,-17.20%,-33.71%,15.69%,48.30,2.95,0.00%,0.00%,0.00%,0
37,"TINY",1.47,0.16,9.71%,19.32%,22.97%,-2.79%,35.34%,69.49,3.83,0.00%,0.00%,0.00%,0
38,"KMG",1.61,0.43,8.46%,9.89%,-12.28%,-29.39%,17.35%,70.53,16.98,0.00%,0.00%,0.00%,0
39,"BASI",2.78,0.13,6.93%,1.22%,41.16%,-23.42%,132.80%,58.88,2.91,0.00%,0.00%,0.00%,0
40,"ASTC",2.16,0.18,8.75%,-7.30%,54.32%,-36.79%,319.67%,52.56,2.56,0.00%,0.00%,0.00%,0
41,"STXS",2.76,0.34,6.49%,-4.12%,27.42%,-52.31%,327.83%,55.12,4.72,0.00%,0.00%,0.00%,0
42,"PCYG",1.22,0.51,0.16%,5.34%,12.36%,-14.99%,174.17%,55.31,9.87,0.00%,0.00%,0.00%,0
43,"CUI",1.40,0.66,-1.96%,7.55%,47.68%,-11.46%,118.26%,50.57,10.04,0.00%,0.00%,0.00%,0
44,"GTAT",1.59,1.16,6.81%,32.96%,106.76%,-3.96%,516.17%,65.74,18.67,0.00%,0.00%,0.00%,0
45,"BIOF",4.22,0.85,66.47%,125.44%,111.54%,-19.10%,458.41%,68.04,6.31,0.00%,0.00%,0.00%,0
46,"REPH",,0.69,-6.32%,-6.32%,-6.32%,-24.19%,10.64%,,7.49,0.00%,0.00%,0.00%,0
47,"EMES",,2.01,20.80%,35.20%,84.81%,-0.73%,328.23%,87.66,66.27,0.00%,0.00%,0.00%,0
48,"GDP",1.73,0.90,15.11%,10.68%,-9.38%,-40.46%,52.33%,66.38,17.00,0.00%,0.00%,0.00%,0
49,"WHX",1.28,0.35,-39.87%,-43.80%,-31.85%,-55.76%,24.14%,22.02,2.88,0.00%,0.00%,0.00%,0
50,"CACH",1.41,0.29,-13.37%,-23.49%,-31.20%,-48.76%,23.52%,33.99,3.50,0.00%,0.00%,0.00%,0
51,"CSUN",2.27,0.40,1.23%,-4.08%,7.68%,-49.07%,305.47%,52.68,5.19,0.00%,0.00%,0.00%,0
52,"ONCY",1.99,0.11,12.56%,16.66%,-11.87%,-43.14%,37.24%,66.61,1.99,0.00%,0.00%,0.00%,0
53,"NSTG",,0.95,5.22%,12.50%,61.75%,-3.65%,208.42%,65.33,21.62,0.00%,0.00%,0.00%,0
54,"DF",1.03,0.42,8.12%,7.67%,-10.03%,-29.01%,19.95%,65.29,16.22,0.00%,0.00%,0.00%,0
55,"PTRY",1.35,0.66,5.82%,8.69%,18.55%,-8.29%,47.04%,61.63,16.16,0.00%,0.00%,0.00%,0
56,"TFM",0.41,1.26,7.31%,7.58%,-17.93%,-35.57%,17.48%,65.58,36.83,0.00%,0.00%,0.00%,0
57,"SPCB",,0.45,7.21%,11.68%,44.98%,-8.37%,629.50%,62.57,6.79,0.00%,0.00%,0.00%,0
58,"AKBA",,2.85,3.74%,3.74%,3.74%,-23.23%,16.69%,,21.88,0.00%,0.00%,0.00%,0
59,"PZG",2.26,0.08,-0.41%,2.18%,6.04%,-37.85%,70.51%,51.96,1.33,0.00%,0.00%,0.00%,0
60,"NPD",2.07,0.24,-3.71%,9.29%,49.25%,-23.78%,110.01%,52.16,2.66,0.00%,0.00%,0.00%,0
61,"FUNC",0.89,0.28,0.54%,1.83%,0.03%,-14.22%,13.76%,53.86,8.02,0.00%,0.00%,0.00%,0
62,"ENPH",,0.46,2.97%,8.09%,13.39%,-16.00%,85.02%,58.75,8.40,0.00%,0.00%,0.00%,0
63,"GFA",3.05,0.14,18.54%,22.06%,20.27%,-27.84%,51.80%,73.90,3.37,0.00%,0.00%,0.00%,0
64,"BWEN",2.67,0.79,24.92%,38.73%,76.91%,-3.86%,240.76%,81.76,13.46,0.00%,0.00%,0.00%,0
65,"NVTL",2.69,0.15,3.69%,-14.13%,-27.72%,-53.72%,23.49%,49.24,2.05,0.00%,0.00%,0.00%,0
66,"VTNR",-1.30,0.44,46.50%,75.41%,117.42%,-2.18%,205.53%,85.99,7.18,0.00%,0.00%,0.00%,0
67,"GGAL",,0.53,21.89%,37.95%,51.99%,-0.15%,171.77%,82.26,13.48,0.00%,0.00%,0.00%,0
