"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",19189.11,333.26,332.59,0.30%,2.78%,85.70%,0.21%,0.71%,1.33,1783.54,58.52,1.63%,2759063
2,"AA",18950.68,1176.33,1174.72,0.20%,1.60%,69.00%,1.99%,5.16%,3.92,15445.68,16.32,1.30%,11760551
3,"AADR",,,,,,,,,,5.74,37.90,0.00%,0
4,"AAIT",,,,,,,,,0.35,3.83,34.62,-0.61%,826
5,"AAL",28224.64,720.20,715.78,0.70%,12.05%,70.10%,20.35%,2.11%,1.21,12496.67,40.66,3.75%,10911875
6,"AAMC",1279.67,2.24,1.56,3.60%,11.01%,72.50%,-2.35%,13.08%,10.44,19.54,579.88,1.51%,6941
7,"AAME",86.11,20.70,4.62,75.13%,,4.90%,1.10%,0.12%,0.50,11.45,4.13,-0.65%,6881
8,"AAN",1807.75,72.31,71.91,0.70%,26.17%,0.80%,-87.63%,7.40%,7.30,729.36,25.79,3.16%,738593
9,"AAOI",272.62,14.80,13.74,1.10%,-1.81%,63.00%,27.20%,8.66%,5.21,228.67,18.89,2.55%,300768
10,"AAON",1019.89,55.01,42.17,21.50%,-1.47%,57.40%,-0.80%,3.24%,8.08,169.07,19.12,3.13%,156132
11,"AAP",9594.68,72.98,72.52,0.60%,3.06%,96.80%,1.73%,2.39%,2.25,769.07,133.33,1.41%,676467
12,"AAPL",586691.52,5987.87,5983.71,0.04%,1.74%,62.50%,0.48%,1.73%,1.91,54045.57,99.16,1.20%,45925900
13,"AAT",1482.75,42.62,36.51,1.10%,28.16%,86.10%,3.11%,2.40%,5.25,166.43,35.33,1.55%,159059
14,"AAU",95.90,64.36,52.93,5.36%,,5.90%,145.42%,0.36%,1.20,157.58,1.50,0.67%,27475
15,"AAV",954.62,168.96,167.64,0.25%,,58.00%,4.01%,0.11%,0.45,397.28,5.62,-0.53%,649669
16,"AAWW",832.32,25.26,24.68,2.20%,5.51%,94.30%,-1.00%,9.12%,9.78,230.31,33.77,2.49%,240021
17,"AAXJ",,,,,,,,,2.59,483.34,65.75,0.47%,367829
18,"AB",2468.66,96.81,91.23,0.20%,19.06%,28.40%,0.09%,1.03%,3.06,307.90,25.82,1.25%,157554
19,"ABAX",1023.31,22.52,21.22,5.90%,9.57%,97.20%,-1.04%,13.43%,16.27,175.06,45.91,1.03%,115586
20,"ABB",51887.12,2293.86,2291.83,,,3.80%,-4.18%,0.19%,2.57,1667.12,22.61,-0.04%,980079
21,"ABBV",85826.59,1592.33,1574.53,0.10%,36.52%,80.90%,16.10%,4.04%,6.56,9695.90,54.31,0.76%,7360870
22,"ABC",17126.93,224.38,212.44,0.20%,-50.67%,86.10%,-0.03%,3.28%,4.26,1637.69,76.60,0.35%,697795
23,"ABCB",597.37,26.74,24.08,2.10%,3.31%,62.90%,1.00%,3.22%,11.13,69.77,22.72,1.70%,126861
24,"ABCD",83.50,44.89,13.16,0.10%,-2.82%,11.50%,1.30%,0.04%,0.22,24.81,1.78,-4.30%,3786
25,"ABCO",1788.37,36.29,36.00,0.80%,82.22%,96.80%,-1.53%,9.28%,13.15,254.07,50.27,2.01%,316974
26,"ABG",2099.53,30.34,29.80,1.00%,-24.23%,99.50%,-0.95%,4.91%,6.09,240.38,69.49,0.42%,173567
