"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",19049.14,333.26,332.63,0.30%,2.78%,85.60%,-0.05%,0.73%,1.43,1710.75,58.07,1.59%,2015578
2,"AA",19538.68,1176.32,1174.79,0.20%,1.60%,68.70%,1.51%,5.45%,4.35,14748.06,16.67,0.36%,10750223
3,"AADR",,,,,,,,,,6.49,39.03,0.83%,1695
4,"AAIT",,,,,,,,,0.36,3.79,34.56,-0.36%,269
5,"AAL",28001.38,720.20,715.84,0.70%,12.05%,70.10%,20.44%,2.27%,1.33,12199.61,40.50,4.17%,10904335
6,"AAMC",1667.52,2.24,1.56,3.60%,172.06%,72.30%,-2.59%,10.73%,8.44,19.82,760.00,2.09%,10979
7,"AAME",84.50,20.71,4.63,75.13%,-0.03%,4.90%,1.10%,0.13%,0.55,11.06,4.02,-1.47%,7274
8,"AAN",1852.58,72.31,71.90,0.50%,43.16%,0.80%,-85.43%,6.21%,6.00,744.10,25.43,-0.74%,683497
9,"AAOI",314.56,14.81,13.72,1.00%,-6.91%,63.90%,28.96%,8.17%,4.63,241.91,20.51,-3.44%,343894
10,"AAON",1026.49,55.01,42.17,21.50%,-1.35%,57.40%,-0.81%,3.49%,9.02,162.97,18.42,-1.29%,336142
11,"AAP",9955.93,72.98,72.52,0.60%,2.82%,97.20%,1.86%,2.54%,2.53,728.18,137.88,1.07%,1032076
12,"AAPL",613756.68,5987.87,5984.11,0.04%,16.04%,62.50%,0.49%,1.59%,1.87,50987.23,103.30,0.78%,52963148
13,"AAT",1493.83,42.62,36.51,1.10%,25.75%,86.10%,2.24%,1.92%,4.46,157.23,35.19,0.40%,281978
14,"AAU",98.60,68.95,57.19,5.36%,,5.90%,123.76%,0.37%,1.35,155.64,1.40,-2.10%,221300
15,"AAV",1049.21,170.05,168.09,0.25%,,58.00%,3.98%,0.13%,0.52,421.53,5.99,-2.92%,216050
16,"AAVL",659.56,22.26,11.28,29.60%,,18.70%,,0.72%,0.20,408.15,30.24,2.06%,98843
17,"AAWW",844.95,25.26,24.68,2.20%,-0.36%,99.90%,-1.14%,11.48%,12.49,226.84,33.85,1.20%,208516
18,"AAXJ",,,,,,,,,2.69,465.30,65.43,-0.44%,405952
19,"AB",2677.76,96.81,91.23,0.20%,19.06%,28.40%,0.12%,0.87%,2.67,299.06,27.51,-0.54%,231937
20,"ABAC",39.99,21.16,9.73,26.50%,86.45%,0.80%,21.54%,0.14%,0.39,34.92,1.80,-4.76%,18104
21,"ABAX",1075.33,22.52,21.22,5.90%,7.88%,97.20%,-0.70%,11.83%,14.43,173.89,48.57,1.72%,119086
22,"ABB",52689.33,2313.98,2291.83,,,3.80%,-3.91%,0.15%,2.23,1581.44,22.97,0.88%,2431316
23,"ABBV",88033.95,1592.51,1574.71,0.10%,10.09%,80.70%,15.94%,5.35%,8.23,10238.17,55.07,-0.38%,7353337
24,"ABC",17364.77,224.38,212.44,0.20%,1.82%,86.20%,0.07%,3.28%,4.86,1435.18,77.15,-0.31%,1112172
25,"ABCB",612.08,26.74,24.08,2.00%,2.89%,63.00%,1.15%,3.37%,10.95,74.09,23.15,1.14%,56469
26,"ABCD",74.52,44.89,13.16,0.10%,-2.77%,11.00%,-2.70%,0.05%,0.28,24.99,1.62,-2.41%,8943
27,"ABCO",1800.48,36.30,36.00,0.80%,32.97%,96.80%,-1.84%,9.08%,13.63,239.82,49.34,-0.52%,267379
28,"ABG",2114.09,30.34,29.85,0.80%,-29.18%,99.50%,-1.02%,5.28%,6.97,225.92,71.14,2.10%,170163
29,"ABIO",29.40,21.00,17.46,1.50%,21.26%,13.30%,7.38%,15.86%,16.95,163.37,1.36,-2.86%,136578
30,"ABM",1489.60,56.00,50.64,1.80%,2.44%,85.20%,-1.86%,2.37%,5.92,202.26,26.75,0.56%,147205
31,"ABMD",1053.98,40.46,39.79,3.20%,7.03%,99.70%,11.60%,20.64%,31.30,262.39,25.91,-0.54%,138676
32,"ABR",352.79,50.47,38.62,3.30%,14.27%,58.70%,1.53%,0.20%,0.66,119.71,6.99,0.00%,61490
33,"ABT",63516.29,1503.70,1500.64,0.20%,0.50%,69.20%,-0.02%,0.79%,2.40,4926.55,42.23,-0.02%,4301180
34,"ABTL",73.87,9.02,8.90,8.62%,0.43%,63.60%,2.87%,2.87%,1.95,131.18,8.25,0.73%,98787
35,"ABX",21408.53,1164.14,1161.33,,,72.10%,-2.21%,1.24%,1.64,8751.71,17.86,-2.88%,8535745
36,"ABY",3208.80,80.00,79.99,,,33.00%,,0.86%,0.97,708.88,38.92,-2.98%,253660
37,"ACAD",2384.57,99.44,99.18,22.95%,2.33%,95.60%,3.78%,16.57%,16.64,988.17,26.61,10.97%,5921323
38,"ACAS",4160.77,268.61,263.28,1.30%,21.59%,67.90%,0.55%,0.77%,0.74,2761.68,15.50,0.06%,1123910
39,"ACAT",478.30,12.92,12.75,2.10%,18.32%,92.20%,-5.08%,6.16%,3.59,218.97,37.18,0.43%,116818
