"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
810,"BSDM","BSD Medical Corp.","Healthcare","Medical Appliances & Equipment","USA",17.03,,0.44,2.33%,86724
811,"BSE","BlackRock New York Insured Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,13.15,0.38%,7287
812,"BSET","Bassett Furniture Industries, Incorporated","Consumer Goods","Home Furnishings & Fixtures","USA",165.79,23.22,15.64,-0.95%,33299
813,"BSF","Bear State Financial, Inc.","Financial","Savings & Loans","USA",265.68,,8.77,-0.90%,6885
814,"BSFT","BroadSoft, Inc.","Technology","Application Software","USA",572.74,,20.24,1.35%,162758
815,"BSI","Alon Blue Square Israel Ltd","Services","Department Stores","Israel",195.24,,2.68,-2.74%,1010
816,"BSJE","Guggenheim BulletShrs2014 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,26.30,-0.11%,165742
817,"BSJF","Guggenheim BulletShrs2015 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,26.26,-0.19%,273940
818,"BSJG","Guggenheim BulletShrs2016 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,26.33,-0.11%,224443
819,"BSJH","Guggenheim BulletShrs2017 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,26.41,-0.23%,127075
820,"BSJI","Guggenheim BulletShrs2018 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,26.37,-0.04%,37483
821,"BSJJ","Guggenheim BulletShrs2019 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,25.38,-0.08%,95104
822,"BSJK","Guggenheim BulletShrs2020 HY CorpBd ETF","Financial","Exchange Traded Fund","USA",,,25.58,0.04%,42376
823,"BSMX","Grupo Financiero Santander Mexico, S.A.B. de C.V.","Financial","Foreign Regional Banks","Mexico",17156.06,13.60,12.40,-1.98%,631885
824,"BSPM","Biostar Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Major","China",22.43,7.25,1.47,1.38%,27144
825,"BSQR","BSQUARE Corp.","Technology","Application Software","USA",41.05,,3.60,1.98%,8425
826,"BSRR","Sierra Bancorp","Financial","Regional - Pacific Banks","USA",237.77,15.91,17.33,1.82%,19607
827,"BSTC","BioSpecifics Technologies Corp.","Healthcare","Biotechnology","USA",224.14,56.70,35.32,2.11%,41177
828,"BSV","Vanguard Short-Term Bond ETF","Financial","Exchange Traded Fund","USA",,,80.66,-0.05%,2101556
829,"BSX","Boston Scientific Corporation","Healthcare","Medical Appliances & Equipment","USA",15166.01,63.56,11.45,0.09%,10553909
830,"BT","BT Group plc","Technology","Diversified Communication Services","United Kingdom",47667.78,14.04,58.06,0.12%,186367
831,"BTA","BlackRock Long-Term Municipal Advantage Trust","Financial","Closed-End Fund - Debt","USA",150.68,,11.23,0.09%,39738
832,"BTAL","QuantShares US Market Neut Anti-Beta ETF","Financial","Exchange Traded Fund","USA",,,20.47,0.00%,0
833,"BTE","Baytex Energy Corp.","Basic Materials","Independent Oil & Gas","Canada",5058.49,21.45,31.38,3.02%,883308
834,"BTF","Boulder Total Return Fund, Inc.","Financial","Closed-End Fund - Equity","USA",,,24.77,0.81%,30401
835,"BTG","B2Gold Corp.","Basic Materials","Gold","Canada",1523.54,,2.24,0.00%,1479946
836,"BTH","Blyth, Inc.","Consumer Goods","Personal Products","USA",129.20,,7.86,-2.36%,38764
837,"BTI","British American Tobacco plc","Consumer Goods","Cigarettes","United Kingdom",101582.80,17.69,108.79,-0.15%,269402
838,"BTN","Ballantyne Strong, Inc","Consumer Goods","Photographic Equipment & Supplies","USA",55.26,,3.94,1.03%,28463
839,"BTO","John Hancock Bank and Thrift Opportunity Fund","Financial","Closed-End Fund - Equity","USA",,,21.23,1.48%,143244
840,"BTU","Peabody Energy Corp.","Basic Materials","Industrial Metals & Minerals","USA",2953.48,,11.29,3.77%,18411170
841,"BTUI","BTU International Inc.","Technology","Semiconductor Equipment & Materials","USA",26.70,,2.97,6.45%,8065
842,"BTX","BioTime, Inc.","Healthcare","Biotechnology","USA",281.81,,3.50,3.24%,265348
843,"BTZ","BlackRock Credit Allocation Income Trust IV","Financial","Closed-End Fund - Debt","USA",,,13.33,0.76%,194240
844,"BUD","Anheuser-Busch InBev SA/NV","Consumer Goods","Beverages - Brewers","Belgium",170007.00,19.12,103.85,-1.60%,3587723
845,"BUNL","PowerShares DB German Bund Futures ETN","Financial","Exchange Traded Fund","USA",,,26.71,0.34%,426
846,"BUNT","PowerShares DB 3x German Bund Futs ETN","Financial","Exchange Traded Fund","USA",,,44.91,-1.23%,6988
847,"BURL","Burlington Stores, Inc.","Services","Discount, Variety Stores","USA",2875.01,,38.40,-0.44%,820052
848,"BUSE","First Busey Corporation","Financial","Regional - Midwest Banks","USA",506.28,17.67,5.84,0.17%,86707
849,"BV","Bazaarvoice, Inc.","Technology","Application Software","USA",541.16,,7.12,2.74%,439586
850,"BVA","Cordia Bancorp Inc.","Financial","Regional - Mid-Atlantic Banks","USA",23.37,,3.55,-1.11%,1206
851,"BVN","Compania de Minas Buenaventura SA","Basic Materials","Industrial Metals & Minerals","Peru",3211.24,,11.21,-2.86%,2236528
852,"BVSN","BroadVision, Inc.","Technology","Internet Software & Services","USA",39.39,,8.11,-0.98%,5557
853,"BVT","ELEMENTS BG Total Market ETN","Financial","Exchange Traded Fund","USA",,,277.43,0.00%,0
854,"BVX","Bovie Medical Corporation","Healthcare","Medical Instruments & Supplies","USA",71.28,,4.06,2.01%,14860
855,"BWA","BorgWarner Inc.","Consumer Goods","Auto Parts","USA",11957.26,18.30,54.52,4.15%,3547009
856,"BWC","The Babcock & Wilcox Company","Industrial Goods","Diversified Machinery","USA",3060.46,10.67,28.26,-0.77%,918145
857,"BWEN","Broadwind Energy, Inc.","Industrial Goods","Diversified Machinery","USA",101.70,,7.24,5.08%,84597
858,"BWFG","Bankwell Financial Group, Inc.","Financial","Regional - Northeast Banks","USA",131.27,27.29,19.47,-2.26%,1768
859,"BWINB","Baldwin & Lyons Inc.","Financial","Property & Casualty Insurance","USA",391.20,12.12,26.09,-0.76%,17794
860,"BWL-A","Bowl America Incorporated","Services","Sporting Activities","USA",76.11,54.63,14.75,0.00%,0
861,"BWLD","Buffalo Wild Wings Inc.","Services","Restaurants","USA",2412.68,26.62,130.98,2.71%,692017
862,"BWP","Boardwalk Pipeline Partners, LP","Basic Materials","Oil & Gas Pipelines","USA",3857.47,16.35,16.90,6.56%,2032004
863,"BWS","Brown Shoe Co. Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",1194.59,17.98,27.43,0.37%,278643
864,"BWV","iPath CBOE S&P 500 BuyWrite ETN","Financial","Exchange Traded Fund","USA",,,60.11,-0.07%,1450
