"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ACHN","Achillion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",626.30,,7.82,20.87%,35036408
2,"AVEO","AVEO Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",62.20,,1.40,17.65%,2923615
3,"BLUE","bluebird bio, Inc.","Healthcare","Biotechnology","USA",639.47,,34.46,32.08%,5519561
4,"CLDN","Celladon Corporation","Healthcare","Biotechnology","USA",207.75,,13.00,15.76%,214015
5,"COV","Covidien plc","Healthcare","Medical Instruments & Supplies","Ireland",32472.38,20.70,86.75,20.45%,68068416
6,"EGLT","Egalet Corporation","Healthcare","Biotechnology","USA",206.60,,13.84,15.62%,31600
7,"EGT","Entertainment Gaming Asia Inc.","Consumer Goods","Recreational Goods, Other","Hong Kong",19.30,,0.74,15.63%,1300
8,"FIO","Fusion-io, Inc.","Technology","Data Storage Devices","USA",1002.24,,11.36,22.41%,53516212
9,"FNJN","Finjan Holdings, Inc.","Technology","Application Software","USA",89.52,,4.85,21.25%,44562
10,"INS","Intelligent Systems","Industrial Goods","Diversified Machinery","USA",12.80,11.92,1.66,16.08%,144993
11,"NFEC","NF Energy Saving Corp.","Industrial Goods","Industrial Equipment & Components","China",11.81,104.50,2.54,21.53%,616530
12,"NWBO","Northwest Biotherapeutics, Inc.","Healthcare","Biotechnology","USA",438.08,,8.82,15.14%,5385549
13,"REDF","Rediff.com India Ltd.","Technology","Internet Information Providers","India",87.41,,3.62,22.71%,2501312
14,"TBPH","Theravance Biopharma, Inc.","Healthcare","Biotechnology","Cayman Islands",916.18,,32.90,15.85%,884043
15,"WMB","Williams Companies, Inc.","Basic Materials","Oil & Gas Pipelines","USA",32342.83,77.34,56.02,18.74%,36821544
16,"ZAZA","ZaZa Energy Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",81.39,,0.94,23.62%,2367218
