"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"IDN",1.71,0.13,74.71%,133.06%,182.69%,32.52%,552.00%,79.49,1.63,44.25%,27.34%,13.27%,22092604
2,"NUS",1.71,3.85,14.86%,6.47%,-5.31%,-36.60%,114.64%,63.09,88.66,18.21%,-8.60%,29.33%,10325433
3,"MVIS",1.70,0.23,11.27%,42.47%,28.28%,-31.66%,131.55%,62.93,2.38,18.07%,-13.27%,36.14%,19456892
4,"VSR",0.76,0.19,2.33%,-5.06%,-12.14%,-28.14%,12.78%,50.27,4.06,12.78%,1.25%,11.39%,33957
5,"ICLD",-2.86,1.20,-34.58%,-40.45%,-16.72%,-57.45%,275.00%,27.16,8.25,12.24%,3.13%,8.84%,1727432
6,"MILL",3.24,0.37,-10.53%,-17.53%,-9.89%,-35.56%,65.14%,38.25,5.78,11.15%,11.15%,0.00%,1375449
7,"PGC",1.00,0.41,13.78%,16.46%,21.65%,6.64%,60.82%,82.00,22.05,9.70%,9.92%,-0.20%,102121
8,"USNA",1.16,3.18,0.41%,5.90%,-3.12%,-20.68%,59.22%,54.77,72.97,9.40%,4.25%,4.94%,328435
9,"GPRC",0.78,0.22,24.29%,28.63%,56.89%,-2.43%,216.67%,71.44,3.61,9.06%,5.25%,3.63%,401894
10,"RCAP",,1.83,28.67%,47.76%,88.89%,-1.29%,136.67%,75.96,34.42,8.41%,8.89%,-0.44%,94425
11,"TCL",0.60,0.26,-5.84%,-10.40%,-15.40%,-27.28%,9.63%,42.41,7.17,8.31%,-0.14%,8.46%,3369573
12,"VTNR",-1.26,0.26,52.46%,64.67%,89.16%,7.14%,155.32%,89.66,6.00,8.30%,5.45%,2.71%,1245794
13,"BONT",4.15,0.51,12.73%,8.84%,-16.40%,-47.43%,29.28%,64.38,11.79,8.17%,5.36%,2.66%,1163017
14,"HXM",1.48,0.14,8.49%,1.50%,-18.00%,-82.74%,49.07%,53.81,1.61,8.05%,5.23%,2.68%,297109
15,"SPLP",,0.15,6.62%,2.93%,8.59%,-4.12%,35.76%,67.12,16.97,8.02%,3.48%,4.39%,83307
16,"RLOC",1.05,0.26,4.07%,-8.83%,-13.64%,-38.76%,9.79%,49.91,10.65,7.68%,2.50%,5.06%,254854
17,"IDSA",2.26,0.22,13.28%,30.61%,72.29%,-3.27%,231.47%,65.25,4.74,7.48%,3.04%,4.31%,18400
18,"MEG",3.39,0.92,5.45%,3.18%,25.00%,-22.19%,245.37%,59.03,18.65,6.94%,6.63%,0.29%,720932
19,"OXF",0.79,0.07,11.42%,13.23%,-18.61%,-59.13%,30.56%,59.34,1.41,6.82%,4.44%,2.27%,82242
20,"UBIC",,0.79,16.58%,32.99%,12.41%,-42.81%,71.16%,57.94,7.24,6.78%,-7.06%,14.90%,37974
21,"ACHN",1.65,0.22,4.29%,2.67%,-24.31%,-59.86%,59.69%,53.35,3.61,6.78%,-0.58%,7.40%,3472355
22,"PLCC",0.79,0.09,37.45%,35.19%,8.18%,-41.58%,94.72%,71.64,1.11,6.72%,3.73%,2.88%,21937
23,"HLF",1.72,2.93,-14.00%,-19.82%,-17.03%,-36.42%,55.42%,33.49,52.86,6.70%,0.21%,6.48%,5164175
24,"GBR",1.52,0.17,8.83%,15.91%,39.03%,-20.30%,125.53%,60.29,2.12,6.53%,8.63%,-1.93%,21836
25,"FIBK",1.09,0.60,9.19%,10.69%,17.67%,-1.66%,65.51%,74.26,28.87,6.45%,4.37%,1.99%,426524
26,"VIEW",1.80,0.10,2.12%,1.71%,4.61%,-16.49%,40.00%,54.01,2.38,6.25%,5.78%,0.45%,31287
27,"BTH",1.66,0.43,10.45%,10.88%,-8.53%,-46.29%,24.12%,64.79,10.65,6.18%,3.80%,2.29%,347439
28,"GEOS",1.96,3.31,-8.90%,-12.90%,-17.32%,-39.67%,10.00%,37.07,66.77,6.17%,4.33%,1.76%,584736
29,"STAA",-0.08,0.93,13.51%,11.12%,33.03%,-9.79%,233.78%,62.24,17.59,5.90%,2.09%,3.73%,733004
30,"WSTG",0.85,0.45,10.74%,13.06%,28.23%,5.59%,63.29%,75.72,16.60,5.80%,5.40%,0.38%,80808
31,"LPCN",,0.19,-1.32%,-6.21%,-8.75%,-21.40%,12.29%,44.57,7.86,5.65%,6.22%,-0.54%,59072
32,"NVFY",,0.53,7.22%,18.26%,66.52%,-8.46%,226.19%,60.47,8.22,5.52%,4.85%,0.64%,158481
33,"SHOS",,1.03,1.79%,6.11%,-23.07%,-57.73%,18.38%,55.88,24.28,5.43%,4.61%,0.78%,160743
34,"TIS",0.46,0.98,-12.35%,-9.58%,0.21%,-14.65%,47.19%,31.56,29.19,5.30%,6.77%,-1.37%,223494
35,"CBK",2.06,0.25,4.21%,-1.17%,-0.39%,-28.22%,26.47%,53.88,6.69,5.19%,4.69%,0.47%,561845
36,"AMDA",,0.58,8.23%,12.01%,12.01%,-13.02%,53.77%,,8.15,5.16%,5.30%,-0.13%,83452
