"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AGD","Alpine Global Dynamic Dividend Fund","Financial","Closed-End Fund - Foreign","USA",,,10.11,100.60%,89976
2,"ALSE","Alseres Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",0.56,,0.04,42.86%,3006
3,"AOD","Alpine Total Dynamic Dividend F","Financial","Closed-End Fund - Foreign","USA",,,8.57,101.17%,655178
4,"ATGN","AltiGen Communications Inc.","Technology","Communication Equipment","USA",2.30,,0.19,35.71%,55106
5,"BLIN","Bridgeline Digital, Inc","Technology","Application Software","USA",20.86,,1.44,21.01%,2048516
6,"BOM","PowerShares DB Base Metals Dble Shrt ETN","Financial","Exchange Traded Fund","USA",,,14.50,19.64%,4461
7,"CCGM","China CGame, Inc.","Services","Technical Services","China",1.20,,0.10,66.67%,18017
8,"CHNR","China Natural Resources Inc.","Basic Materials","Industrial Metals & Minerals","Hong Kong",184.73,,8.60,16.06%,188382
9,"CNOB","ConnectOne Bancorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",199.59,17.62,48.49,21.74%,68865
10,"CTIC","Cell Therapeutics, Inc.","Healthcare","Biotechnology","USA",404.03,,4.21,15.66%,24141420
11,"FTBK","Frontier Financial Corporation","Financial","Regional - Pacific Banks","USA",0.33,,0.12,71.43%,6174
12,"GERN","Geron Corporation","Healthcare","Biotechnology","USA",578.60,,5.38,19.29%,11442336
13,"GIGA","Giga-tronics Inc.","Technology","Scientific & Technical Instruments","USA",6.43,,1.55,22.05%,112790
14,"GSS","Golden Star Resources, Ltd.","Basic Materials","Gold","USA",137.32,,0.66,25.02%,7294371
15,"GSV","Gold Standard Ventures Corp","Basic Materials","Gold","Canada",59.64,,0.76,16.94%,396139
16,"HDY","Hyperdynamics Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",109.44,,5.98,15.00%,787791
17,"HEAT","SmartHeat Inc.","Industrial Goods","Industrial Equipment & Components","China",0.85,,0.30,50.00%,230
18,"HH","Hooper Holmes Inc.","Healthcare","Specialized Health Services","USA",39.17,,0.64,15.18%,870049
19,"IBIO","iBio, Inc.","Healthcare","Biotechnology","USA",27.11,,0.64,28.00%,3162231
20,"IMUC","ImmunoCellular Therapeutics, Ltd.","Healthcare","Biotechnology","USA",64.16,,1.54,32.76%,18728456
21,"IQNT","Inteliquent, Inc.","Technology","Wireless Communications","USA",340.69,,12.98,22.92%,3145336
22,"IRWD","Ironwood Pharmaceuticals Inc.","Healthcare","Medical Laboratories & Research","USA",1528.94,,14.75,16.51%,4104412
23,"KOOL","ThermoGenesis Corp.","Healthcare","Medical Appliances & Equipment","USA",18.16,,2.30,111.01%,14946145
24,"LEDS","SemiLEDs Corporation","Technology","Semiconductor- Memory Chips","USA",29.17,,1.22,16.19%,1277264
25,"MKTY","Mechanical Technology Inc.","Technology","Scientific & Technical Instruments","USA",4.29,,1.04,15.54%,3985
26,"PACB","Pacific Biosciences of California, Inc.","Healthcare","Biotechnology","USA",425.90,,7.77,19.54%,4139934
27,"PAL","North American Palladium Ltd.","Basic Materials","Industrial Metals & Minerals","Canada",100.53,,0.65,15.86%,6813757
28,"PRAN","Prana Biotechnology Ltd.","Healthcare","Drug Manufacturers - Other","Australia",254.40,,8.28,16.62%,1984798
29,"RBY","Rubicon Minerals Corporation","Basic Materials","Gold","Canada",311.75,,1.27,17.59%,1820901
30,"SANW","S&W Seed Company","Consumer Goods","Farm Products","USA",63.78,,6.55,16.96%,679844
31,"TLR","Timberline Resources Corp.","Basic Materials","Industrial Metals & Minerals","USA",11.12,,0.23,43.75%,1344368
32,"TNXP","Tonix Pharmaceuticals Holding Corp","Healthcare","Drug Manufacturers - Major","USA",54.66,,18.24,18.06%,563903
33,"TSTC","Telestone Technologies Corp.","Technology","Communication Equipment","China",2.84,,0.29,26.09%,2236
34,"VGZ","Vista Gold Corp.","Basic Materials","Gold","USA",46.62,,0.66,15.96%,2699103
35,"VII","Vicon Industries Inc.","Technology","Security Software & Services","USA",14.64,,3.96,21.85%,21304
36,"VIMC","Vimicro International Corp.","Technology","Semiconductor - Specialized","China",77.55,12.86,3.80,40.74%,797582
