"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"ATRM",0.74,0.68,5.35%,2.08%,18.61%,-50.81%,369.23%,56.41,6.10,0.00%,0.00%,0.00%,0
2,"GNK",1.39,0.28,25.65%,13.48%,-18.82%,-61.04%,73.21%,60.39,1.94,0.00%,0.00%,0.00%,0
3,"MLP",1.29,0.49,37.96%,43.16%,81.03%,-4.46%,132.90%,84.41,8.99,0.00%,0.00%,0.00%,0
4,"SNX",1.49,2.80,24.35%,29.37%,33.43%,-3.15%,140.14%,81.59,76.94,0.00%,0.00%,0.00%,0
5,"AMBT",-0.18,0.14,11.51%,-9.76%,-28.66%,-59.28%,34.13%,52.95,1.69,0.00%,0.00%,0.00%,0
6,"EGLE",2.95,0.35,5.36%,8.10%,1.84%,-48.34%,66.79%,57.88,4.52,0.00%,0.00%,0.00%,0
7,"KFS",1.01,0.20,20.58%,25.04%,43.01%,-0.20%,86.50%,79.51,5.11,0.00%,0.00%,0.00%,0
8,"EMES",,2.78,26.76%,44.79%,99.21%,-0.12%,367.91%,86.85,72.41,0.00%,0.00%,0.00%,0
9,"HXM",1.21,0.13,0.14%,-13.09%,-23.23%,-84.84%,30.56%,47.61,1.41,0.00%,0.00%,0.00%,0
10,"UBIC",,0.82,-1.01%,22.42%,9.63%,-44.23%,66.90%,56.50,7.06,0.00%,0.00%,0.00%,0
11,"ESMC",-0.67,0.17,13.35%,2.65%,8.46%,-34.75%,67.33%,57.64,1.69,0.00%,0.00%,0.00%,0
12,"LIQD",,0.39,-0.42%,-7.58%,-34.99%,-57.67%,18.48%,49.31,4.36,0.00%,0.00%,0.00%,0
13,"TIPT",0.07,0.80,13.20%,14.74%,14.33%,-38.91%,70.80%,71.74,8.54,0.00%,0.00%,0.00%,0
14,"FIZZ",0.37,0.83,1.55%,0.72%,9.20%,-6.38%,51.78%,54.36,20.84,0.00%,0.00%,0.00%,0
15,"AAU",0.74,0.07,3.27%,-1.67%,4.56%,-28.91%,48.51%,53.66,1.50,0.00%,0.00%,0.00%,0
16,"SBSA",1.34,0.37,17.49%,38.89%,69.95%,-6.17%,191.67%,81.27,7.00,0.00%,0.00%,0.00%,0
17,"BODY",1.65,0.20,-32.10%,-53.38%,-78.07%,-90.81%,43.02%,28.70,1.23,0.00%,0.00%,0.00%,0
18,"BALT",0.94,0.39,-0.86%,2.02%,24.82%,-18.26%,111.98%,51.47,6.49,0.00%,0.00%,0.00%,0
19,"DSKX",-0.12,0.11,-7.05%,-11.48%,-4.47%,-28.16%,41.13%,41.24,1.99,0.00%,0.00%,0.00%,0
20,"CART",-0.03,0.15,10.46%,24.47%,45.56%,-4.17%,113.95%,77.04,4.60,0.00%,0.00%,0.00%,0
21,"ICA",1.79,0.27,1.10%,-5.36%,-14.79%,-50.85%,10.60%,48.73,6.68,0.00%,0.00%,0.00%,0
22,"EXAS",1.15,0.92,-0.85%,1.76%,8.09%,-12.44%,97.11%,50.70,13.66,0.00%,0.00%,0.00%,0
23,"SVLC",,0.10,-5.06%,-9.95%,6.93%,-29.86%,72.57%,46.04,1.95,0.00%,0.00%,0.00%,0
24,"MEIL",,0.24,6.83%,-8.13%,8.41%,-45.82%,98.67%,51.35,2.98,0.00%,0.00%,0.00%,0
25,"MGN",2.50,0.15,-4.28%,5.10%,60.29%,-32.22%,154.17%,50.66,1.22,0.00%,0.00%,0.00%,0
26,"BOSC",1.54,0.27,-0.04%,-1.99%,29.38%,-39.45%,156.64%,49.58,6.57,0.00%,0.00%,0.00%,0
27,"SINO",0.14,0.12,4.17%,6.43%,23.91%,-23.01%,118.55%,59.51,2.71,0.00%,0.00%,0.00%,0
28,"CX",2.48,0.42,7.27%,6.46%,16.52%,-5.50%,48.74%,67.01,13.58,0.00%,0.00%,0.00%,0
29,"GLBS",1.00,0.27,3.01%,13.07%,40.36%,-8.52%,132.78%,57.45,4.19,0.00%,0.00%,0.00%,0
