"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18341.43,333.42,331.93,0.30%,13.63%,85.20%,-0.04%,1.01%,1.25,2671.14,55.03,0.04%,2211377
2,"AA",15603.05,1172.28,1170.85,0.20%,47.31%,61.80%,-1.06%,6.75%,3.40,23229.56,13.32,0.08%,19695020
3,"AADR",,,,,,,,,,2.60,37.42,-0.72%,1436
4,"AAIT",,,,,,,,,0.11,3.02,32.00,-0.79%,1136
5,"AAL",26409.73,720.20,715.61,0.80%,319.45%,42.00%,19.05%,2.74%,1.93,10161.03,37.22,1.50%,7792780
6,"AAMC",1984.08,2.24,1.58,3.00%,-1.47%,65.20%,-0.54%,7.96%,5.36,23.45,846.25,-4.46%,19020
7,"AAME",73.71,21.06,4.98,8.60%,,4.90%,3.08%,0.13%,0.65,10.25,3.48,-0.57%,8068
8,"AAN",2216.26,71.98,69.81,0.70%,16.67%,0.80%,,11.08%,5.77,1339.59,31.49,2.27%,1614049
9,"AAOI",308.48,14.76,14.64,1.20%,46.24%,23.10%,-14.88%,3.41%,2.17,229.96,20.00,-4.31%,306937
10,"AAON",1126.56,36.66,28.18,20.90%,-2.68%,57.80%,-1.56%,3.49%,7.53,130.70,30.71,-0.07%,131898
11,"AAP",8788.54,72.94,72.49,0.60%,-20.09%,96.20%,0.68%,2.65%,2.45,785.29,119.45,-0.86%,556725
12,"AAPL",512012.86,861.38,860.57,0.04%,5.51%,63.90%,0.05%,2.31%,1.99,9981.88,592.33,-0.35%,10019711
13,"AAT",1422.60,41.94,35.88,1.10%,-7.61%,86.10%,-0.12%,2.16%,4.65,166.94,34.48,1.65%,171201
14,"AAU",86.92,63.91,52.88,5.36%,,5.90%,147.96%,0.81%,2.80,152.57,1.32,-2.94%,54840
15,"AAV",1081.79,169.56,167.50,0.25%,,58.00%,3.99%,0.13%,0.60,352.88,6.32,-0.94%,317175
