"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
46,"CLTX",,0.15,3.76%,-0.43%,-10.02%,-50.42%,27.43%,55.21,5.90,6.31%,-0.51%,6.85%,11000
47,"DQ",3.11,1.93,14.28%,20.52%,-2.08%,-37.87%,292.46%,64.92,35.40,6.27%,4.76%,1.44%,75775
48,"SOL",3.62,0.13,5.00%,2.81%,-14.68%,-54.50%,25.23%,54.90,2.73,6.23%,5.81%,0.39%,1515709
49,"RFMD",1.56,0.37,8.20%,17.17%,59.40%,2.97%,177.33%,68.50,12.48,6.12%,4.79%,1.28%,16089235
50,"KGJI",-1.09,0.06,12.92%,13.16%,-2.18%,-39.58%,41.38%,66.51,1.39,6.11%,5.30%,0.76%,500443
51,"ADES",2.25,0.74,-0.50%,-0.97%,-9.21%,-25.27%,34.01%,49.22,21.79,6.03%,6.03%,0.00%,166536
52,"WDAY",,2.29,5.34%,7.44%,7.19%,-21.81%,41.83%,58.72,91.07,6.03%,5.45%,0.55%,3264962
53,"BLOX",,0.29,8.77%,7.90%,-39.88%,-72.53%,15.25%,70.12,13.45,5.99%,5.57%,0.39%,1189950
54,"GPRO",,2.11,25.39%,24.66%,24.66%,3.81%,80.80%,74.82,51.80,5.93%,4.71%,1.17%,10211749
55,"EROC",1.03,0.14,2.39%,-6.15%,-12.40%,-41.99%,9.32%,48.28,4.34,5.85%,4.33%,1.46%,884634
56,"PACB",2.73,0.27,17.49%,8.21%,9.23%,-28.54%,76.51%,68.07,5.86,5.78%,4.64%,1.08%,989471
57,"AUMN",1.95,0.07,-4.31%,-6.89%,30.77%,-30.19%,164.29%,46.27,1.11,5.71%,6.73%,-0.95%,89841
58,"CRRS",1.14,0.13,-7.08%,-19.26%,-28.03%,-67.08%,5.71%,36.29,1.85,5.71%,1.65%,4.00%,41679
59,"THTI",0.45,0.11,12.50%,18.37%,26.49%,-47.54%,91.03%,66.64,1.49,5.67%,2.05%,3.55%,10746
60,"OPTT",2.16,0.10,6.20%,-4.83%,-45.19%,-81.18%,28.06%,50.83,1.32,5.52%,5.52%,0.00%,598207
61,"ECYT",0.98,0.32,10.73%,13.00%,-33.91%,-78.16%,24.53%,64.06,7.36,5.44%,4.54%,0.86%,2070522
62,"ORMP",0.18,0.39,11.29%,10.51%,-13.74%,-68.04%,65.69%,62.74,10.14,5.41%,4.97%,0.42%,80116
63,"CTC",1.72,0.13,-3.21%,11.63%,-1.44%,-41.20%,76.40%,53.35,1.57,5.37%,-0.63%,6.03%,44516
64,"VTSS",2.48,0.14,12.50%,5.75%,-2.11%,-28.78%,38.02%,63.68,3.34,5.36%,5.70%,-0.32%,375289
65,"ARIS",0.26,0.12,9.28%,8.91%,2.61%,-8.55%,37.77%,66.33,3.21,5.25%,5.25%,0.00%,20155
66,"REE",,0.05,-1.95%,-9.76%,-21.67%,-68.46%,8.24%,43.57,1.10,5.14%,7.18%,-1.90%,182999
67,"ENZN",1.20,0.07,34.26%,44.47%,57.36%,3.14%,110.26%,87.12,1.64,5.13%,2.50%,2.56%,2041897
68,"CMGE",,1.11,15.41%,20.79%,-15.53%,-54.50%,66.73%,64.66,18.34,5.10%,4.80%,0.29%,274571
69,"ZGNX",2.22,0.09,4.34%,-15.47%,-51.88%,-74.08%,13.98%,42.07,1.35,5.08%,3.46%,1.56%,2040825
70,"CLUB",1.97,0.27,28.33%,0.52%,-34.39%,-61.08%,39.40%,65.46,5.59,5.08%,3.14%,1.88%,634987
71,"OMER",1.04,0.66,11.03%,2.94%,22.73%,-20.69%,201.21%,57.38,14.91,5.07%,5.07%,0.00%,361692
72,"ZAZA",2.10,0.54,-14.62%,-24.80%,-28.37%,-60.74%,42.68%,32.34,5.85,5.03%,3.54%,1.44%,28164
