"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",18152.04,331.00,328.04,0.30%,14.53%,84.80%,-0.74%,0.92%,1.11,2729.03,55.26,0.77%,2713814
2,"AA",9993.80,1070.00,1068.50,0.07%,10.31%,61.00%,4.52%,11.39%,4.56,26680.85,9.37,0.32%,14950340
3,"AADR",,,,,,,,,,7.30,36.80,0.00%,0
4,"AAIT",,,,,,,,,0.03,2.01,31.03,-0.68%,803
5,"AAMC",2361.75,2.35,,46.34%,0.02%,15.30%,11.76%,,4.74,6.49,1011.15,0.61%,45992
6,"AAME",86.05,21.30,5.14,75.13%,,4.80%,-4.93%,0.23%,1.60,7.47,4.04,0.00%,21254
7,"AAN",2172.68,76.10,67.11,0.50%,-5.47%,99.70%,3.50%,7.59%,6.31,806.80,28.58,0.11%,479393
8,"AAOI",199.27,12.60,11.46,1.40%,,17.70%,,0.22%,0.27,95.91,15.14,-4.24%,97150
9,"AAON",1070.66,36.74,28.06,0.30%,-9.82%,58.40%,2.09%,3.56%,10.94,91.37,29.23,0.31%,73974
10,"AAP",7787.57,72.75,72.25,0.70%,-3.41%,96.30%,0.09%,3.62%,3.07,853.50,107.93,0.82%,929164
11,"AAPL",507559.24,904.16,899.28,0.04%,33.13%,61.10%,-1.66%,2.16%,1.62,11988.52,560.54,-0.15%,9199692
12,"AAT",1235.92,39.82,34.34,0.70%,1.83%,86.10%,19.89%,2.38%,3.14,260.66,31.24,0.64%,117719
13,"AAU",66.06,60.05,52.98,5.36%,,5.90%,174.02%,0.95%,3.71,136.21,1.06,-3.64%,65927
14,"AAV",702.16,168.38,167.07,0.25%,,58.00%,4.02%,0.14%,1.59,151.96,4.18,0.24%,60957
15,"AAWW",923.31,25.12,24.52,0.80%,2.55%,99.80%,-2.70%,4.65%,3.66,311.11,36.77,0.05%,127873
16,"AAXJ",2018.20,33.80,33.80,,,,,0.75%,0.37,678.41,59.22,-0.82%,1281273
17,"AB",2005.69,92.26,86.69,0.40%,-16.89%,32.00%,-7.29%,2.23%,4.83,400.70,21.67,-0.32%,369114
18,"ABAX",788.96,22.31,21.08,4.20%,-5.26%,97.40%,-2.90%,9.30%,11.34,172.88,35.18,-0.54%,91249
19,"ABB",57126.39,2297.00,2295.97,,,3.60%,0.50%,0.20%,3.70,1263.69,24.61,-1.05%,1141151
20,"ABBV",83745.30,1590.00,1589.52,0.06%,1.38%,68.10%,1.27%,0.80%,2.39,5313.62,52.39,-0.53%,7686184
21,"ABC",15854.89,230.45,229.57,0.20%,29.14%,88.80%,-0.51%,2.64%,4.32,1399.78,68.77,-0.04%,2189148
22,"ABCB",478.74,23.90,22.99,1.80%,0.94%,69.20%,-0.54%,2.34%,5.50,97.69,20.03,0.00%,42260
23,"ABCD",73.40,47.36,15.11,0.10%,26.77%,18.00%,-3.38%,0.12%,0.80,23.60,1.54,-0.65%,10139
24,"ABCO",2197.83,35.88,35.85,0.40%,-5.90%,96.80%,1.04%,6.69%,13.37,179.42,60.71,-0.88%,181629
