"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ACXM","Acxiom Corporation","Technology","Information Technology Services","USA",2072.95,40.51,21.44,-21.00%,3987503
2,"CHGS","China Gengsheng Minerals, Inc.","Basic Materials","Nonmetallic Mineral Mining","China",5.90,,0.18,-18.82%,206131
3,"DRL","Doral Financial Corp.","Financial","Money Center Banks","USA",21.91,,2.70,-17.93%,1606735
4,"FONR","Fonar Corp.","Healthcare","Medical Appliances & Equipment","USA",112.88,10.94,14.27,-18.97%,720411
5,"GPRC","Guanwei Recycling Corp.","Industrial Goods","Waste Management","China",21.42,2.22,1.65,-19.90%,210555
6,"GV","Goldfield Corp.","Industrial Goods","Heavy Construction","USA",54.67,7.41,1.77,-17.67%,651690
7,"LIQD","Liquid Holdings Group, Inc.","Technology","Application Software","USA",56.97,,1.24,-46.09%,3844057
8,"MBLX","Metabolix, Inc.","Basic Materials","Specialty Chemicals","USA",40.84,,0.98,-16.24%,123757
9,"NBG","National Bank of Greece SA","Financial","Money Center Banks","Greece",8053.18,0.59,2.90,-16.18%,26787072
10,"NQ","NetQin Mobile Inc.","Technology","Application Software","China",521.83,85.25,7.27,-28.93%,20626152
11,"ONE","Higher One Inc.","Services","Business Services","USA",239.41,18.11,3.81,-24.85%,2128657
12,"SPEX","Spherix Inc.","Healthcare","Medical Laboratories & Research","USA",13.60,,1.42,-17.92%,2779386
13,"SRNE","Sorrento Therapeutics, Inc.","Healthcare","Biotechnology","USA",154.43,,5.11,-23.73%,2219773
14,"TPI","Tianyin Pharmaceutical Co., Inc.","Healthcare","Drug Manufacturers - Other","China",25.30,3.91,0.65,-23.95%,258520
15,"VOXX","VOXX International Corporation","Services","Electronics Wholesale","USA",245.41,7.46,7.51,-25.42%,2252712
16,"XONE","The ExOne Company","Industrial Goods","Diversified Machinery","USA",444.57,,25.50,-17.29%,1573368
17,"XRS","TAL Education Group","Services","Education & Training Services","China",1964.49,33.11,20.22,-19.63%,3383261
