"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"CRAY",1.44,1.18,38.92%,50.41%,76.18%,27.40%,157.16%,83.91,41.66,39.01%,26.24%,10.11%,4799743
2,"QBAK",0.24,0.03,30.11%,34.72%,13.62%,-23.15%,71.43%,82.88,1.56,35.65%,17.29%,15.65%,1169129
3,"LCAV",4.14,0.17,30.96%,37.54%,52.40%,10.34%,95.68%,81.83,5.44,28.00%,1.30%,26.35%,4700453
4,"SYMX",0.12,0.12,62.45%,107.44%,121.20%,22.82%,205.00%,84.89,1.83,27.97%,22.00%,4.90%,13351621
5,"FONR",1.53,1.75,19.25%,17.08%,110.82%,-18.96%,344.12%,62.79,22.65,25.14%,25.14%,0.00%,1564640
6,"SARA",2.04,0.08,33.98%,23.56%,-24.61%,-56.29%,46.32%,75.10,1.39,23.01%,23.01%,0.00%,1112498
7,"LOGM",0.55,1.21,21.28%,23.06%,35.76%,10.36%,151.12%,77.90,40.48,21.67%,1.20%,20.23%,3548693
8,"RATE",,0.58,27.02%,22.12%,21.14%,-10.11%,103.92%,77.66,20.80,19.54%,12.43%,6.32%,3799125
9,"GIGA",0.98,0.13,8.67%,28.89%,15.38%,-35.27%,59.68%,59.70,1.44,18.77%,14.97%,3.31%,67660
10,"ELLI",,0.95,14.59%,10.56%,9.44%,-11.91%,55.58%,67.70,29.28,17.87%,17.12%,0.64%,3092422
11,"GPL",1.58,0.07,40.57%,57.13%,44.00%,-17.45%,89.23%,79.33,1.23,17.14%,11.82%,4.76%,3239620
12,"NTIC",0.26,0.48,21.55%,22.53%,49.21%,17.50%,121.37%,83.10,22.69,17.99%,17.38%,0.52%,37508
13,"MTEX",0.83,0.86,23.96%,12.62%,4.05%,-47.11%,235.33%,68.20,18.51,15.69%,12.18%,3.13%,33265
14,"GROW",1.99,0.19,23.27%,38.42%,40.47%,-4.75%,82.92%,75.33,3.79,11.80%,10.17%,1.47%,142696
15,"BMA",1.23,1.14,16.95%,-0.53%,10.92%,-30.38%,69.03%,61.19,22.87,11.72%,10.91%,0.73%,402239
16,"AAOI",,0.59,3.49%,-1.09%,7.58%,-15.71%,54.36%,53.88,14.00,11.64%,12.00%,-0.32%,78421
17,"LJPC",3.37,0.69,1.77%,7.04%,41.52%,-31.17%,175.33%,56.13,8.26,11.62%,11.17%,0.41%,251258
18,"ECOL",1.12,1.00,4.29%,2.61%,17.31%,-6.76%,57.59%,58.71,37.08,11.52%,4.01%,7.22%,366277
19,"PAM",1.19,0.21,9.83%,-5.74%,7.73%,-31.31%,67.02%,55.18,4.76,11.48%,10.19%,1.17%,402352
20,"JE",,0.22,8.28%,7.45%,16.68%,-2.31%,45.39%,62.72,7.59,11.29%,5.42%,5.57%,2584572
21,"NNVC",0.82,0.44,-24.87%,-29.06%,-15.37%,-54.55%,208.04%,31.89,3.45,10.93%,8.15%,2.57%,1616728
22,"ANV",0.82,0.31,19.20%,41.16%,10.32%,-75.72%,91.03%,75.77,5.75,10.79%,5.89%,4.62%,12412723
23,"GST",2.35,0.36,12.05%,11.73%,60.72%,-3.72%,517.43%,64.15,6.73,10.33%,9.43%,0.82%,2654094
24,"XPL",1.44,0.05,19.01%,30.47%,22.40%,-33.33%,55.26%,75.20,1.18,10.28%,10.28%,0.00%,155043
25,"BFR",1.85,0.42,18.71%,9.00%,27.23%,-21.24%,109.07%,64.50,7.38,10.15%,7.89%,2.09%,647331
26,"EXTR",1.50,0.39,-12.46%,-14.54%,17.32%,-27.21%,98.16%,39.26,5.93,9.93%,9.32%,0.56%,3650830
27,"SVLC",,0.12,26.40%,42.97%,46.80%,-1.52%,129.20%,78.62,2.59,9.75%,6.15%,3.39%,729110
28,"IM",0.94,0.52,14.23%,17.96%,28.47%,8.96%,67.81%,77.49,28.46,9.67%,1.46%,8.09%,5336922
